		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	0.001	0.000901	0.002926	0.021822	0.000765	0.002096	0.001078	0.000687	0.001436	0.001204	0.001984	0.001146	0.002179	0.001344	0.001377	0.001733	0.001394	0.001534	0.001122	0.001547	0.001778	0.002365	0.001326	0.001402	0.001883	0.000664	0.001053	0.001239	0.002124	0.001763	0.002025	0.001067	0.001403	0.001212	0.002078	0.001478	0.001125	0.001464	0.001891	0.001616	0.001208	0.002314	0.001953	0.001164	0.002368	0.001153	0.001114	0.000772	0.001517	0.001427	0.001713	0.001801	0.001317	0.000975	0.001491	0.001242	0.001378	0.001348	0.001520	0.002166	0.001372	0.000908	0.003073	0.001545	0.001232
	0.01	0.008028	0.015449	0.031639	0.014086	0.014212	0.005066	0.006286	0.007311	0.010676	0.010789	0.012361	0.012989	0.018526	0.014833	0.010312	0.007665	0.016423	0.010972	0.011539	0.013053	0.010658	0.014797	0.016662	0.012760	0.016619	0.015105	0.019773	0.014231	0.011953	0.010858	0.009361	0.011311	0.011067	0.015812	0.014392	0.004831	0.011938	0.008819	0.010498	0.013488	0.015517	0.013831	0.015783	0.013150	0.010158	0.017677	0.013666	0.010642	0.008148	0.008880	0.007216	0.009729	0.014189	0.012280	0.009076	0.019549	0.009646	0.012336	0.017778	0.010051	0.012361	0.019846	0.011979	0.004744
	0.01	0.012468	0.013870	0.013879	0.013629	0.012888	0.006670	0.008646	0.015854	0.009751	0.012822	0.012311	0.013140	0.016924	0.013829	0.012254	0.010708	0.018535	0.008339	0.014769	0.011076	0.014786	0.016808	0.023571	0.021793	0.013200	0.013110	0.017768	0.012019	0.012003	0.011670	0.010592	0.025880	0.015278	0.010173	0.017907	0.006820	0.008450	0.012231	0.010017	0.022889	0.014317	0.011510	0.018484	0.014892	0.011106	0.015427	0.014329	0.008661	0.017581	0.007752	0.017089	0.008342	0.008872	0.008877	0.010466	0.015593	0.008070	0.011939	0.016763	0.011340	0.011694	0.014468	0.009014	0.014486
	0.01	0.009127	0.021889	0.087217	0.026881	0.014936	0.021496	0.009125	0.009022	0.012108	0.016895	0.019179	0.018145	0.014856	0.015775	0.018890	0.013374	0.018350	0.009179	0.019720	0.020348	0.012941	0.016966	0.017819	0.012433	0.017817	0.014045	0.016091	0.013685	0.013106	0.010544	0.011679	0.019208	0.014249	0.013925	0.022287	0.015813	0.017144	0.015723	0.009572	0.024811	0.010745	0.009737	0.013304	0.017442	0.014660	0.015884	0.018051	0.013638	0.013895	0.008321	0.010415	0.009115	0.015756	0.014901	0.012506	0.020365	0.010502	0.011615	0.010168	0.011859	0.013313	0.013503	0.011568	0.019055
	0.1	0.100757	0.159267	0.118158	0.078905	0.084254	0.116727	0.092957	0.077647	0.110954	0.099404	0.118907	0.167608	0.109730	0.095568	0.137156	0.104846	0.163769	0.081945	0.127882	0.120042	0.136042	0.108671	0.077335	0.050268	0.094610	0.148660	0.096098	0.076202	0.073510	0.100771	0.085146	0.128194	0.190585	0.084032	0.201111	0.080888	0.094294	0.087155	0.054823	0.074510	0.078895	0.189951	0.111708	0.088749	0.137661	0.115723	0.123106	0.061743	0.094389	0.090726	0.111931	0.080845	0.118507	0.148008	0.118618	0.192035	0.073441	0.130021	0.111368	0.140287	0.120808	0.112725	0.089234	0.082150
	0.1	0.100061	0.189382	0.075218	0.097734	0.126612	0.093644	0.074263	0.057845	0.119340	0.121668	0.118559	0.176134	0.128767	0.099962	0.125174	0.117813	0.112872	0.079504	0.077608	0.087335	0.126549	0.102386	0.128626	0.095089	0.088784	0.157781	0.104960	0.074973	0.104856	0.131874	0.076191	0.130289	0.121140	0.097782	0.174352	0.084574	0.081616	0.136528	0.078124	0.139430	0.096375	0.117414	0.076286	0.184973	0.109274	0.190227	0.117129	0.155515	0.116593	0.095276	0.123903	0.081468	0.101117	0.114820	0.091096	0.110875	0.069742	0.119756	0.084368	0.129810	0.119107	0.159951	0.062944	0.063459
	0.1	0.099452	0.092830	0.066502	0.105356	0.070033	0.101783	0.067001	0.048853	0.088354	0.114147	0.110248	0.095791	0.117313	0.076729	0.158033	0.076245	0.132030	0.112805	0.065644	0.077634	0.154581	0.087657	0.102572	0.060067	0.066613	0.130078	0.117548	0.094886	0.077142	0.114506	0.071914	0.102241	0.209942	0.114529	0.103488	0.107709	0.149698	0.096076	0.084801	0.179270	0.054774	0.144219	0.103137	0.099278	0.148310	0.148060	0.112102	0.189219	0.131729	0.115223	0.090862	0.082807	0.087102	0.124550	0.061408	0.103601	0.096666	0.108011	0.085233	0.123783	0.129433	0.110663	0.079768	0.070880
	1.0	0.761246	1.097486	1.232132	0.978241	0.939352	0.829920	1.133768	1.031749	0.910688	1.068503	0.825262	0.897222	0.999333	0.968130	1.080182	1.387100	1.197969	1.029625	0.679912	1.047814	1.124877	1.012909	0.734187	1.124256	0.849158	1.135816	0.884942	0.979306	0.927490	0.972381	0.771410	0.936112	0.831287	0.999756	0.983025	0.724641	1.090023	1.238392	1.003112	1.114094	0.805513	0.876106	1.067702	0.866976	0.704212	0.952860	0.797431	1.168792	1.201140	1.146982	1.037510	1.453868	0.807780	1.116854	0.873670	1.018272	0.970084	0.919300	1.014700	0.747798	1.032682	1.049475	1.140139	1.070213
	1.0	1.114591	1.028197	0.877397	1.231992	0.682991	0.670861	0.518013	0.700863	1.145082	0.973194	0.965178	0.979371	1.139775	0.982670	0.998487	0.551113	0.905286	0.568272	1.324906	0.994518	1.076514	1.120040	1.186501	0.961310	1.074610	0.935512	1.159465	1.164259	1.112252	0.863274	1.050090	1.173021	1.102047	0.923696	1.119444	1.257592	1.067465	0.945109	1.016754	0.958616	1.270737	1.244362	1.091925	0.838031	1.169917	1.133947	1.015640	1.091072	0.902343	0.924759	1.083400	0.635439	1.127864	0.839493	0.968466	1.259535	1.084494	1.019081	0.962330	0.962448	1.090311	1.051349	0.897912	0.831218
	1.0	1.124163	0.874316	0.890471	0.789766	1.377658	1.499219	1.348219	1.267389	0.944230	0.958302	1.209560	1.123408	0.860892	1.049200	0.921331	1.061787	0.896745	1.402104	0.995182	0.957668	0.798609	0.867051	1.079312	0.914435	1.076232	0.928672	0.955593	0.856434	0.960258	1.164344	1.178500	0.890867	1.066667	1.076548	0.897531	1.017768	0.842512	0.816499	0.980134	0.927290	0.923750	0.879532	0.840373	1.294994	1.125871	0.913193	1.186930	0.740136	0.896517	0.928259	0.879090	0.910693	1.064356	1.043653	1.157864	0.722193	0.945421	1.061620	1.022969	1.289754	0.877006	0.899175	0.961949	1.098569
																																																																	
scaled(min)	0.0001	0.000214	0.000407	0.016898	0.000170	0.000201	0.000120	0.000128	0.000190	0.000214	0.000148	0.000162	0.000335	0.000210	0.000209	0.000507	0.000187	0.000175	0.000241	0.000202	0.000224	0.000286	0.000193	0.000164	0.000163	0.000169	0.000282	0.000306	0.000166	0.000341	0.000162	0.000182	0.000248	0.000265	0.000189	0.000360	0.000472	0.000133	0.000155	0.000105	0.000391	0.000289	0.000175	0.000157	0.000292	0.000131	0.000318	0.000276	0.000418	0.000147	0.000143	0.000268	0.000120	0.000121	0.000168	0.000219	0.000239	0.000195	0.000193	0.000138	0.000172	0.000198	0.000205	0.000232	0.000163
scaled(max)	1.0	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
