		AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15000	1.355e+04	2.315e+04	1.181e+04	1.363e+04	1.018e+04	2.204e+04	9.079e+03	9.232e+03	2.094e+04	1.029e+04	2.065e+05	1.405e+04	9.914e+03	9.718e+03	2.701e+04	1.669e+04	1.133e+04	1.128e+04	1.428e+04	1.444e+04	1.114e+04	1.301e+04	1.305e+04	1.002e+04	1.599e+04	1.141e+04	1.455e+04	1.298e+04	1.411e+04	8.820e+03	1.492e+04	7.437e+03	3.050e+04	7.063e+03	1.211e+04	1.387e+04	8.020e+04	1.252e+04	8.635e+03	1.467e+04	1.870e+04	1.468e+04	4.460e+03	2.407e+04	4.306e+04	7.155e+03	2.354e+04	1.203e+04	1.020e+04	2.682e+04	1.276e+04	1.194e+04	1.042e+04	1.035e+04	1.762e+04	1.217e+04	1.581e+04	1.292e+04	1.336e+04	9.879e+03	2.755e+04	1.224e+04	1.501e+04
	15000	1.366e+04	2.426e+04	1.263e+04	1.248e+04	1.209e+04	2.217e+04	1.085e+04	1.142e+04	2.248e+04	1.113e+04	2.285e+05	1.564e+04	1.027e+04	1.071e+04	2.941e+04	1.735e+04	1.348e+04	1.157e+04	2.097e+04	1.511e+04	1.210e+04	1.425e+04	1.418e+04	1.108e+04	1.739e+04	1.167e+04	1.557e+04	1.260e+04	1.555e+04	9.678e+03	1.599e+04	8.725e+03	3.215e+04	7.352e+03	1.263e+04	1.813e+04	9.210e+04	1.360e+04	9.377e+03	1.618e+04	1.990e+04	1.805e+04	4.553e+03	2.784e+04	4.534e+04	7.508e+03	2.592e+04	1.209e+04	1.142e+04	3.017e+04	1.451e+04	1.372e+04	1.259e+04	1.219e+04	1.870e+04	1.351e+04	1.587e+04	1.450e+04	1.503e+04	1.215e+04	2.930e+04	1.588e+04	1.523e+04
	150000	1.094e+05	1.870e+05	1.094e+05	1.123e+05	1.081e+05	2.166e+05	9.289e+04	8.220e+04	1.753e+05	1.117e+05	1.292e+06	1.472e+05	1.087e+05	1.008e+05	2.231e+05	1.650e+05	9.975e+04	9.121e+04	1.564e+05	1.269e+05	9.492e+04	1.215e+05	1.243e+05	9.658e+04	1.528e+05	9.238e+04	1.405e+05	1.227e+05	1.154e+05	8.609e+04	1.308e+05	7.510e+04	2.630e+05	5.698e+04	1.104e+05	1.306e+05	6.196e+05	1.309e+05	9.038e+04	1.337e+05	1.799e+05	1.277e+05	4.793e+04	2.066e+05	3.531e+05	7.500e+04	2.180e+05	1.255e+05	1.051e+05	2.349e+05	1.376e+05	1.050e+05	1.022e+05	1.002e+05	1.555e+05	1.211e+05	1.436e+05	1.334e+05	1.414e+05	1.068e+05	2.355e+05	1.302e+05	1.520e+05
	150000	1.348e+05	1.962e+05	1.260e+05	1.285e+05	1.123e+05	2.282e+05	9.775e+04	9.496e+04	2.004e+05	1.141e+05	1.376e+06	1.459e+05	1.107e+05	1.031e+05	2.247e+05	1.691e+05	1.161e+05	1.136e+05	1.715e+05	1.463e+05	1.209e+05	1.429e+05	1.265e+05	1.090e+05	1.667e+05	1.154e+05	1.564e+05	1.226e+05	1.491e+05	9.143e+04	1.434e+05	7.116e+04	2.705e+05	6.425e+04	1.312e+05	1.380e+05	6.776e+05	1.379e+05	9.542e+04	1.718e+05	1.901e+05	1.409e+05	4.736e+04	2.268e+05	3.780e+05	8.182e+04	2.271e+05	1.263e+05	1.159e+05	2.594e+05	1.443e+05	1.216e+05	1.188e+05	1.147e+05	1.833e+05	1.390e+05	1.545e+05	1.384e+05	1.406e+05	1.006e+05	2.533e+05	1.500e+05	1.591e+05
	150000	1.321e+05	1.732e+05	1.148e+05	1.179e+05	9.909e+04	2.151e+05	9.193e+04	9.430e+04	1.938e+05	1.091e+05	1.344e+06	1.374e+05	1.095e+05	1.021e+05	2.376e+05	1.560e+05	1.151e+05	1.058e+05	1.475e+05	1.323e+05	8.857e+04	1.118e+05	1.223e+05	9.959e+04	1.520e+05	9.080e+04	1.424e+05	1.075e+05	1.194e+05	8.468e+04	1.366e+05	7.834e+04	2.575e+05	5.618e+04	1.237e+05	1.500e+05	6.373e+05	1.349e+05	9.571e+04	1.543e+05	1.657e+05	1.347e+05	4.646e+04	2.215e+05	3.537e+05	8.092e+04	2.656e+05	1.115e+05	1.000e+05	2.546e+05	1.193e+05	1.095e+05	1.100e+05	1.227e+05	1.624e+05	1.288e+05	1.439e+05	1.043e+05	1.233e+05	8.608e+04	2.405e+05	1.303e+05	1.519e+05
																																																																
																																																																
	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)
	150000	1.254e+05	1.855e+05	1.167e+05	1.196e+05	1.065e+05	2.200e+05	9.419e+04	9.049e+04	1.898e+05	1.116e+05	1.337e+06	1.435e+05	1.096e+05	1.020e+05	2.285e+05	1.634e+05	1.103e+05	1.036e+05	1.585e+05	1.351e+05	1.014e+05	1.254e+05	1.244e+05	1.017e+05	1.572e+05	9.954e+04	1.464e+05	1.176e+05	1.280e+05	8.740e+04	1.369e+05	7.486e+04	2.637e+05	5.914e+04	1.218e+05	1.395e+05	6.448e+05	1.346e+05	9.384e+04	1.533e+05	1.786e+05	1.345e+05	4.725e+04	2.183e+05	3.616e+05	7.925e+04	2.369e+05	1.211e+05	1.070e+05	2.496e+05	1.337e+05	1.120e+05	1.103e+05	1.126e+05	1.671e+05	1.296e+05	1.473e+05	1.254e+05	1.351e+05	9.782e+04	2.431e+05	1.368e+05	1.543e+05
																																																																
																																																																
	0.0001	0.000097	0.000154	0.000195	0.000060	0.000072	0.000134	0.000124	0.000102	0.000124	0.000077	0.000740	0.000116	0.000142	0.000110	0.000187	0.000142	0.000080	0.000113	0.000165	0.000161	0.000101	0.000160	0.000151	0.000104	0.000145	0.000162	0.000087	0.000226	0.000206	0.000138	0.000173	0.000114	0.000254	0.000173	0.000442	0.000097	0.000378	0.000080	0.000125	0.000202	0.000227	0.000189	0.000134	0.000139	0.000295	0.000240	0.000193	0.000139	0.000184	0.000180	0.000079	0.000104	0.000112	0.000168	0.000198	0.000131	0.000134	0.000220	0.000195	0.000131	0.000120	0.000182	0.000152
	0.0001	0.000163	0.000178	0.000099	0.000300	0.000125	0.000155	0.000067	0.000140	0.000078	0.000095	0.000789	0.000151	0.000135	0.000159	0.000223	0.000139	0.000107	0.000190	0.000141	0.000205	0.000167	0.000181	0.000098	0.000228	0.000164	0.000156	0.000149	0.000197	0.000107	0.000210	0.000118	0.000104	0.000297	0.000182	0.000188	0.000117	0.000247	0.000122	0.000099	0.000196	0.000131	0.000094	0.000134	0.000207	0.000258	0.000238	0.000131	0.000109	0.000090	0.000257	0.000130	0.000112	0.000139	0.000153	0.000092	0.000203	0.000166	0.000101	0.000104	0.000115	0.000126	0.000108	0.000152
	0.0001	0.000224	0.000169	0.000158	0.000115	0.000115	0.000168	0.000188	0.000178	0.000146	0.000138	0.000337	0.000153	0.000127	0.000139	0.000187	0.000135	0.000182	0.000103	0.000160	0.000118	0.000120	0.000100	0.000131	0.000160	0.000127	0.000172	0.000185	0.000146	0.000201	0.000063	0.000167	0.000080	0.000262	0.000156	0.000129	0.000150	0.000378	0.000095	0.000187	0.000093	0.000112	0.000098	0.000106	0.000133	0.000178	0.000052	0.000209	0.000133	0.000093	0.000229	0.000097	0.000151	0.000148	0.000148	0.000182	0.000199	0.000114	0.000133	0.000111	0.000169	0.000107	0.000197	0.000136
	0.001	0.001023	0.001306	0.001269	0.001173	0.000541	0.001530	0.001343	0.001166	0.001572	0.000967	0.003742	0.001280	0.000995	0.001209	0.001931	0.001191	0.001216	0.001130	0.001387	0.001459	0.001144	0.001580	0.001277	0.001138	0.001201	0.001222	0.001096	0.001168	0.001373	0.000710	0.001208	0.001029	0.001557	0.001530	0.001152	0.001682	0.002373	0.001002	0.001059	0.001193	0.001396	0.001284	0.000711	0.001663	0.001683	0.000923	0.001141	0.001093	0.001367	0.001570	0.001006	0.001210	0.001350	0.001079	0.001226	0.001178	0.001270	0.001287	0.001166	0.000934	0.001569	0.001596	0.001090
	0.001	0.001356	0.001559	0.001191	0.001430	0.001037	0.001346	0.001122	0.001320	0.001427	0.000876	0.003522	0.001218	0.001077	0.001145	0.001828	0.001302	0.001067	0.001147	0.001132	0.001147	0.001010	0.001103	0.001192	0.001377	0.001111	0.001123	0.001065	0.001592	0.001222	0.000968	0.001371	0.001054	0.001440	0.001411	0.001062	0.001513	0.002461	0.001212	0.000757	0.001244	0.001274	0.001207	0.000781	0.001774	0.001603	0.001075	0.001174	0.001259	0.001244	0.001800	0.001041	0.001101	0.001042	0.001072	0.001225	0.000983	0.001126	0.001241	0.001064	0.001051	0.001394	0.001483	0.001102
	0.001	0.001126	0.001470	0.001065	0.001370	0.000929	0.001465	0.001157	0.001312	0.001215	0.000799	0.003505	0.001113	0.001012	0.000959	0.001696	0.001394	0.000961	0.001244	0.001298	0.001305	0.001066	0.001242	0.001273	0.001054	0.001279	0.001023	0.001146	0.001567	0.001155	0.000879	0.001088	0.000918	0.001461	0.001025	0.001064	0.001263	0.002148	0.001214	0.000920	0.001098	0.001220	0.001174	0.000862	0.001221	0.001642	0.000807	0.001013	0.001214	0.001183	0.001299	0.001153	0.001264	0.001052	0.001168	0.001228	0.001148	0.001137	0.001179	0.001272	0.001061	0.001343	0.001206	0.001073
	0.01	0.012046	0.013500	0.012625	0.012902	0.011557	0.013005	0.011544	0.011973	0.013317	0.008819	0.022799	0.012103	0.010823	0.012098	0.014328	0.012855	0.011502	0.012554	0.012499	0.011327	0.013647	0.012682	0.013519	0.012289	0.011044	0.013310	0.011899	0.013611	0.011666	0.012631	0.011814	0.011151	0.014553	0.012648	0.012354	0.013692	0.020971	0.011263	0.009375	0.012287	0.014198	0.011956	0.010768	0.014108	0.016061	0.011216	0.012057	0.012905	0.012529	0.013826	0.012643	0.012262	0.011539	0.010205	0.012907	0.012114	0.011871	0.012249	0.012300	0.012655	0.014630	0.014628	0.012489
	0.01	0.011313	0.012188	0.011950	0.011943	0.007763	0.012966	0.011421	0.011550	0.012110	0.009729	0.022366	0.012179	0.010641	0.009894	0.014761	0.012293	0.011479	0.010304	0.011803	0.011675	0.012641	0.013091	0.010780	0.010880	0.010875	0.012326	0.009548	0.013738	0.011886	0.011449	0.011501	0.011353	0.012552	0.012726	0.011975	0.012509	0.017978	0.010443	0.010207	0.011379	0.012941	0.012432	0.009812	0.013109	0.014597	0.010672	0.011097	0.010917	0.012821	0.013185	0.012665	0.010915	0.011764	0.012140	0.011763	0.011476	0.012941	0.013577	0.011588	0.011682	0.012196	0.011740	0.011215
	0.01	0.012401	0.010796	0.012391	0.012761	0.010739	0.014057	0.012048	0.010845	0.013240	0.011287	0.026304	0.012154	0.011096	0.010527	0.015103	0.011172	0.011258	0.010798	0.012571	0.010751	0.012006	0.012525	0.012456	0.011634	0.010155	0.014037	0.010459	0.013408	0.011508	0.010203	0.011938	0.011441	0.013160	0.012657	0.011357	0.011424	0.018883	0.011513	0.011108	0.012129	0.012976	0.014062	0.009366	0.014517	0.014824	0.009358	0.011866	0.012221	0.011720	0.014205	0.011996	0.012822	0.011922	0.011030	0.012087	0.012059	0.011795	0.010906	0.010321	0.010191	0.012983	0.012494	0.011159
	0.1	0.102270	0.121768	0.100942	0.099389	0.101174	0.101337	0.096254	0.110013	0.110057	0.094834	0.148997	0.100149	0.091551	0.097099	0.116769	0.098603	0.107236	0.103506	0.096506	0.105238	0.108044	0.104221	0.100980	0.099017	0.099137	0.105341	0.100906	0.107017	0.106729	0.104738	0.108686	0.104164	0.102369	0.120082	0.097606	0.103798	0.130624	0.089625	0.091377	0.100240	0.108800	0.108014	0.094325	0.118998	0.117129	0.095374	0.113223	0.099073	0.100836	0.119451	0.100706	0.109032	0.107363	0.103603	0.106479	0.091412	0.108329	0.109385	0.109922	0.124768	0.112029	0.110955	0.092783
	0.1	0.108010	0.124844	0.101160	0.114028	0.095543	0.100200	0.096386	0.102022	0.110322	0.092214	0.154425	0.097872	0.090454	0.095294	0.118211	0.102156	0.102726	0.108903	0.090089	0.106869	0.109838	0.103783	0.104944	0.098525	0.101741	0.114648	0.099359	0.110351	0.110291	0.100915	0.108970	0.099338	0.115685	0.119426	0.099489	0.099432	0.124376	0.093075	0.092023	0.095743	0.104740	0.109162	0.094387	0.110276	0.119078	0.090287	0.099372	0.099316	0.095334	0.107453	0.095443	0.106588	0.094449	0.091929	0.105439	0.093910	0.107328	0.103056	0.098880	0.100991	0.113318	0.089485	0.097289
	0.1	0.108886	0.130817	0.108186	0.104412	0.113494	0.100757	0.115199	0.126168	0.118428	0.099722	0.170855	0.108973	0.093695	0.105003	0.128708	0.106207	0.122154	0.111689	0.132334	0.111792	0.119301	0.113661	0.114022	0.108884	0.110671	0.117190	0.106327	0.107157	0.121513	0.110733	0.116798	0.116538	0.121911	0.124316	0.103705	0.129914	0.142834	0.101086	0.099931	0.105557	0.111467	0.134248	0.096346	0.127520	0.125390	0.094749	0.109410	0.099795	0.106693	0.120871	0.108475	0.122495	0.114135	0.108261	0.111897	0.104247	0.107716	0.115646	0.111231	0.124243	0.120527	0.116062	0.098683
	1.0	0.872133	1.008126	0.936996	0.939296	1.015334	0.984676	0.986200	0.908439	0.923324	1.000612	0.966180	1.025836	0.991521	0.988002	0.976641	1.010096	0.904261	0.880846	0.987190	0.938912	0.935674	0.968728	0.999767	0.949438	0.972110	0.928073	0.959453	1.043276	0.901703	0.984992	0.955317	1.003134	0.997393	0.963596	0.906364	0.935901	0.960912	0.972687	0.963122	0.872512	1.007349	0.949982	1.014392	0.946415	0.976557	0.946399	0.920300	1.036273	0.982134	0.941066	1.028938	0.936900	0.926099	0.890260	0.930629	0.933916	0.974951	1.063854	1.046751	1.091433	0.968775	0.951278	0.984880
	1.0	1.074466	1.058027	1.079323	1.074842	1.054239	1.037466	1.037769	1.049419	1.055801	1.021897	1.028995	1.016542	1.009834	1.010794	0.983328	1.035133	1.052031	1.097410	1.082011	1.082413	1.191286	1.139600	1.016869	1.071521	1.060672	1.159787	1.068242	1.042728	1.165510	1.046126	1.047403	0.950456	1.025983	1.086400	1.077882	0.989055	1.050774	1.024806	1.016894	1.120836	1.064695	1.048147	1.002386	1.039014	1.045238	1.032464	0.958545	1.042852	1.083176	1.039012	1.078879	1.085827	1.077124	1.019216	1.097167	1.072390	1.048722	1.104159	1.040795	1.028551	1.042039	1.096137	1.030969
	1.0	1.053401	0.933847	0.983681	0.985862	0.930426	0.977857	0.976031	1.042142	1.020874	0.977491	1.004824	0.957622	0.998645	1.001204	1.040031	0.954771	1.043709	1.021744	0.930799	0.978675	0.873040	0.891672	0.983363	0.979041	0.967219	0.912140	0.972305	0.913996	0.932787	0.968882	0.997280	1.046411	0.976625	0.950004	1.015753	1.075044	0.988314	1.002507	1.019984	1.006653	0.927956	1.001871	0.983222	1.014571	0.978206	1.021137	1.121155	0.920875	0.934690	1.019921	0.892183	0.977273	0.996777	1.090524	0.972204	0.993694	0.976327	0.831987	0.912454	0.880015	0.989187	0.952585	0.984151
																																																																
scaled(min)	0.0001	0.000162	0.000167	0.000151	0.000159	0.000104	0.000152	0.000126	0.000140	0.000116	0.000103	0.000622	0.000140	0.000135	0.000136	0.000199	0.000138	0.000123	0.000136	0.000156	0.000162	0.000129	0.000147	0.000127	0.000164	0.000145	0.000163	0.000140	0.000190	0.000171	0.000137	0.000153	0.000100	0.000271	0.000170	0.000253	0.000121	0.000334	0.000099	0.000137	0.000164	0.000157	0.000127	0.000125	0.000160	0.000244	0.000177	0.000178	0.000127	0.000122	0.000222	0.000102	0.000122	0.000133	0.000156	0.000157	0.000177	0.000138	0.000152	0.000137	0.000138	0.000118	0.000162	0.000147
scaled(max)	1.0	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
