			AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		15000	7.253e-07	1.248e-06	2.413e-07	8.023e-07	1.093e-06	7.309e-07	6.368e-07	8.903e-07	6.842e-07	1.211e-06	8.649e-07	1.006e-06	9.576e-07	9.382e-07	9.890e-07	1.362e-06	1.076e-06	7.453e-07	4.838e-07	3.376e-07	7.881e-07	7.188e-07	1.511e-06	1.171e-06	7.812e-07	1.381e-06	4.887e-07	7.873e-07	1.045e-06	8.637e-07	6.004e-07	8.499e-07	4.843e-07	9.097e-07	3.035e-07	1.131e-06	5.345e-07	1.392e-06	1.130e-06	6.003e-07	1.208e-06	9.678e-07	8.599e-07	1.004e-06	6.469e-07	1.205e-06	5.943e-07	1.576e-06	8.166e-07	8.292e-07	1.179e-06	1.042e-06	4.835e-07	9.149e-07	6.590e-07	1.504e-06	8.243e-07	1.099e-06	3.492e-07	8.301e-07	4.778e-07	1.338e-06	6.413e-07	9.049e-07
		15000	9.922e-07	9.006e-07	2.578e-07	1.088e-06	7.238e-07	6.227e-07	5.308e-07	7.869e-07	7.200e-07	1.496e-06	7.199e-07	9.487e-07	9.211e-07	1.033e-06	1.193e-06	7.546e-07	1.381e-06	8.259e-07	5.275e-07	4.052e-07	9.418e-07	6.006e-07	7.715e-07	9.760e-07	5.679e-07	1.080e-06	8.489e-07	1.023e-06	6.041e-07	9.121e-07	5.632e-07	7.528e-07	7.201e-07	1.231e-06	3.788e-07	1.136e-06	1.092e-06	1.059e-06	1.115e-06	7.751e-07	7.818e-07	1.039e-06	1.130e-06	5.333e-07	8.070e-07	1.277e-06	4.889e-07	1.883e-06	9.362e-07	1.200e-06	8.409e-07	1.007e-06	5.801e-07	1.168e-06	8.010e-07	1.290e-06	1.210e-06	1.052e-06	8.009e-07	1.061e-06	8.087e-07	8.998e-07	8.366e-07	9.971e-07
		150000	6.619e-06	6.199e-06	3.216e-06	8.244e-06	7.847e-06	6.228e-06	7.997e-06	6.350e-06	5.673e-06	9.173e-06	5.569e-06	8.820e-06	6.249e-06	8.716e-06	9.833e-06	8.739e-06	7.348e-06	7.821e-06	4.305e-06	4.594e-06	9.469e-06	4.713e-06	4.401e-06	1.185e-05	4.829e-06	9.730e-06	4.449e-06	8.919e-06	5.416e-06	5.424e-06	5.952e-06	8.485e-06	1.802e-06	9.571e-06	2.373e-06	7.257e-06	7.091e-06	8.345e-06	7.907e-06	6.480e-06	7.551e-06	7.014e-06	7.830e-06	4.716e-06	5.311e-06	8.038e-06	4.556e-06	1.432e-05	4.674e-06	7.536e-06	5.602e-06	1.006e-05	5.359e-06	7.545e-06	6.826e-06	7.062e-06	8.405e-06	5.748e-06	6.998e-06	5.689e-06	3.930e-06	1.087e-05	1.018e-05	8.703e-06
		150000	8.038e-06	7.346e-06	2.881e-06	8.130e-06	9.106e-06	5.850e-06	7.337e-06	1.160e-05	7.217e-06	1.165e-05	7.208e-06	9.579e-06	9.997e-06	9.797e-06	7.976e-06	9.654e-06	8.691e-06	6.529e-06	7.564e-06	5.447e-06	9.074e-06	4.782e-06	8.705e-06	1.721e-05	6.159e-06	8.751e-06	5.507e-06	9.677e-06	6.592e-06	7.106e-06	8.077e-06	1.042e-05	4.076e-06	1.349e-05	2.309e-06	8.666e-06	8.967e-06	9.323e-06	7.031e-06	6.789e-06	8.632e-06	1.299e-05	8.027e-06	4.898e-06	8.420e-06	1.187e-05	5.026e-06	1.210e-05	5.717e-06	1.131e-05	1.095e-05	9.281e-06	7.325e-06	5.634e-06	1.001e-05	1.428e-05	9.903e-06	1.129e-05	4.233e-06	1.070e-05	4.294e-06	1.234e-05	1.243e-05	1.004e-05
		150000	6.740e-06	8.144e-06	2.999e-06	7.794e-06	1.029e-05	8.473e-06	9.714e-06	1.370e-05	6.188e-06	1.198e-05	7.944e-06	1.072e-05	5.901e-06	9.745e-06	7.366e-06	1.016e-05	8.908e-06	8.170e-06	4.943e-06	4.058e-06	7.718e-06	5.158e-06	7.692e-06	8.571e-06	5.325e-06	7.991e-06	4.850e-06	7.723e-06	5.612e-06	6.747e-06	7.763e-06	9.908e-06	4.162e-06	1.410e-05	2.718e-06	8.843e-06	8.211e-06	8.870e-06	7.248e-06	4.897e-06	8.470e-06	7.077e-06	9.009e-06	7.018e-06	9.221e-06	8.004e-06	5.367e-06	1.233e-05	6.056e-06	8.686e-06	1.056e-05	8.657e-06	7.282e-06	5.918e-06	9.656e-06	7.846e-06	6.947e-06	1.050e-05	8.119e-06	8.594e-06	3.798e-06	1.149e-05	9.136e-06	1.310e-05
																																																																		
																																																																		
		1.1760912590556813	-8.978811	-8.517412	-7.369776	-8.712870	-8.584526	-9.248798	-8.954286	-8.346112	-9.153663	-8.659953	-9.019951	-8.658763	-8.852633	-8.472628	-8.310602	-8.593290	-8.849551	-8.957818	-8.768530	-8.719877	-8.837436	-9.160962	-8.833274	-8.473531	-9.009839	-8.697020	-8.575118	-9.067374	-8.628563	-8.808829	-8.636952	-8.521722	-9.139004	-8.630599	-9.248875	-8.411280	-8.877129	-8.794254	-8.928855	-8.909037	-8.314348	-8.597567	-8.560509	-8.795609	-9.325506	-8.479255	-8.629302	-8.316683	-8.870955	-8.788879	-8.808270	-8.950394	-9.161025	-8.877456	-8.486782	-8.502517	-8.742321	-8.819301	-8.989700	-8.589391	-8.853252	-8.557050	-8.752518	-8.447089
		1.1760912590556813	-8.766750	-8.568958	-7.144784	-8.665144	-8.789949	-8.911155	-8.778325	-8.741363	-9.186552	-8.998699	-9.213746	-8.470570	-8.955460	-8.593971	-8.394803	-8.718739	-8.832092	-8.956245	-8.629302	-9.107905	-8.613323	-8.831797	-8.583027	-8.701147	-8.889410	-8.869345	-8.991826	-8.823619	-8.873869	-9.071143	-8.620876	-8.846795	-9.089803	-8.540306	-9.070888	-8.507659	-9.015248	-9.109747	-8.742561	-9.015428	-8.630413	-8.925184	-8.957818	-8.673459	-9.008065	-8.619970	-8.773142	-8.565910	-8.996971	-9.071195	-8.574629	-8.934794	-8.941954	-8.732125	-8.608712	-8.818728	-8.498667	-8.708853	-8.969400	-8.945770	-9.239578	-8.653256	-8.817871	-8.365120
		1.1760912590556813	-8.681937	-8.552842	-7.009706	-8.623241	-8.703116	-8.839832	-9.107071	-8.407712	-8.922632	-8.679854	-8.655804	-8.677161	-8.778586	-8.765483	-8.653843	-8.734475	-8.901356	-8.496345	-9.396964	-9.089322	-8.889410	-8.972243	-9.045227	-8.609772	-8.988853	-8.668978	-8.682146	-8.807711	-9.053941	-8.788879	-9.051685	-8.736601	-9.305658	-8.647817	-9.082705	-8.670195	-8.733533	-8.876475	-8.823041	-8.736838	-8.906578	-8.921543	-8.955852	-8.878769	-9.041150	-8.827105	-9.650722	-8.315783	-9.001653	-9.013497	-8.543482	-8.698319	-9.012468	-8.854493	-8.658961	-8.494850	-8.572514	-8.817585	-8.794525	-8.667360	-8.910095	-8.923360	-8.715118	-8.708409
		2.1760912590556813	-8.068440	-7.624154	-5.840734	-7.906578	-8.057199	-8.176200	-7.994391	-7.616364	-8.016329	-7.692504	-8.172049	-7.686555	-7.894149	-7.820161	-7.595166	-7.832092	-7.610125	-7.819301	-7.948847	-8.160396	-7.786748	-8.032967	-7.901010	-7.785156	-7.959398	-7.938171	-7.874519	-7.818156	-8.079564	-7.904134	-8.314886	-7.786482	-8.164119	-7.747390	-8.236198	-7.804100	-7.886391	-7.696156	-7.983384	-8.157953	-7.910448	-7.899629	-7.843148	-7.940815	-7.982967	-7.964170	-8.160145	-7.566230	-7.961777	-7.843148	-7.632458	-7.765230	-7.974285	-7.826231	-8.019224	-7.894490	-7.994819	-7.965773	-7.849551	-7.942334	-8.221270	-7.634512	-7.722162	-7.533429
		2.1760912590556813	-7.894831	-7.785156	-6.880414	-7.952725	-7.818728	-7.954677	-7.995249	-7.824778	-7.884389	-7.513286	-8.008641	-7.854182	-7.864549	-7.792366	-7.841939	-7.802719	-7.828274	-7.893129	-7.994819	-8.096693	-7.909389	-7.915066	-7.798057	-7.704653	-8.191047	-7.920819	-7.935542	-7.887060	-7.889074	-7.927750	-8.119758	-7.694434	-8.282996	-7.650917	-8.209926	-7.809949	-7.780677	-7.740167	-7.803824	-8.255316	-7.861066	-7.640544	-7.778325	-8.126447	-7.828274	-7.896196	-8.130710	-7.612077	-8.138227	-7.958213	-7.772885	-7.675923	-7.925549	-8.036448	-7.958607	-7.797239	-7.826231	-8.072989	-7.786482	-7.945387	-8.125055	-7.873544	-7.759950	-7.550367
		2.1760912590556813	-7.960983	-7.778847	-6.988853	-7.986741	-7.520281	-8.043255	-8.138466	-7.730487	-8.029746	-7.667966	-8.076031	-7.798876	-7.975104	-7.878112	-7.922269	-7.918653	-7.735418	-8.015338	-7.877456	-8.072732	-7.911155	-8.144723	-7.891435	-7.591930	-8.201902	-7.976336	-7.996539	-7.933674	-7.993534	-7.966979	-8.023604	-7.902396	-8.363813	-7.715344	-8.416235	-7.892790	-7.796152	-7.900665	-7.933301	-8.262489	-7.906929	-7.970211	-7.884722	-7.909037	-8.014304	-8.027242	-8.488651	-7.714668	-8.311402	-7.904482	-7.743282	-7.798603	-8.128777	-7.980468	-7.885056	-7.847100	-7.814458	-7.991400	-7.758205	-7.883060	-8.264321	-7.568315	-7.760200	-7.723768
		3.1760912590556813	-6.923360	-6.897566	-6.885056	-6.911155	-6.945770	-7.235674	-6.925915	-6.454940	-7.350276	-6.876475	-7.049927	-6.843148	-6.694434	-6.870632	-7.117874	-6.839832	-6.873219	-6.953505	-7.284414	-7.135667	-6.953895	-7.037868	-7.090979	-6.484259	-6.965372	-6.838632	-7.051881	-6.813609	-7.029235	-7.058986	-7.138525	-7.014843	-7.297656	-6.671824	-7.320118	-7.114526	-6.836242	-6.795609	-6.946537	-7.260903	-6.943858	-7.057694	-6.875170	-7.082127	-7.115771	-6.694864	-7.212469	-6.749580	-7.193684	-6.924088	-7.116055	-6.852633	-6.948462	-7.116793	-7.032592	-6.670195	-6.854804	-6.977572	-6.897566	-7.039244	-7.226652	-6.638650	-6.801618	-6.906929
		3.1760912590556813	-7.078730	-6.839832	-7.087194	-6.871601	-7.123436	-7.182898	-7.089482	-6.733298	-7.280420	-6.800245	-7.092374	-6.849244	-6.872895	-7.059733	-7.043784	-6.888737	-6.856985	-7.130123	-7.032873	-7.139004	-6.885389	-7.036874	-6.881074	-6.518128	-7.062432	-6.951947	-7.074997	-7.086716	-6.987163	-7.092266	-7.044890	-6.849244	-7.238072	-6.880085	-7.350081	-7.013766	-7.018272	-6.937042	-7.023512	-7.080765	-6.938171	-7.020270	-6.936667	-7.184090	-7.041675	-6.830032	-7.143452	-6.911510	-6.994819	-7.073503	-7.036968	-6.896538	-7.264401	-7.187956	-6.999566	-6.735418	-6.962972	-7.033201	-6.859178	-7.044457	-7.200866	-6.823619	-6.889747	-6.867420
		3.1760912590556813	-7.025626	-6.921181	-6.356251	-6.706196	-6.943858	-7.077534	-6.870310	-6.769807	-7.295163	-6.741363	-7.008641	-6.729554	-6.848018	-6.833274	-6.727694	-6.848630	-6.841939	-7.132709	-6.946922	-7.035316	-6.813326	-6.977572	-7.021089	-6.684449	-7.067273	-6.915066	-6.956638	-6.757707	-6.946154	-7.170825	-7.027242	-6.969805	-7.231880	-6.680478	-7.322576	-6.946922	-6.968188	-6.886057	-6.822464	-7.174185	-7.112720	-6.929224	-6.890084	-6.907630	-6.964971	-6.750313	-7.277695	-6.842241	-6.926282	-7.060780	-7.038626	-6.865504	-6.879426	-6.956245	-6.874519	-6.800519	-6.872895	-6.997834	-6.966979	-7.001653	-7.188425	-6.706196	-6.861066	-6.822464
		4.176091259055681	-6.121191	-6.071092	-6.291239	-6.283412	-6.137034	-6.128836	-6.164119	-5.980468	-6.172437	-5.976336	-6.056407	-5.926648	-6.152119	-6.000000	-5.966979	-5.967784	-6.145633	-6.153663	-6.324772	-6.246034	-6.216811	-6.105352	-6.255707	-5.997402	-6.041771	-6.010105	-6.229443	-6.033014	-6.308123	-6.167619	-6.126738	-6.086027	-6.161088	-6.057843	-6.443456	-6.129304	-6.026641	-6.085816	-6.342657	-6.457922	-6.130592	-5.719194	-5.849551	-6.441171	-6.189700	-6.107571	-6.424350	-5.984221	-6.143876	-6.102758	-6.036401	-6.150028	-6.248952	-6.047256	-5.968996	-5.874844	-5.969400	-5.969805	-6.202455	-6.011263	-6.254535	-6.024752	-5.972650	-5.960189
		4.176091259055681	-6.139482	-5.903785	-6.617443	-6.095663	-5.961380	-6.136142	-6.195997	-6.050464	-6.164817	-5.916856	-6.063034	-5.997402	-6.018816	-6.027705	-6.004804	-5.865823	-5.968188	-6.127669	-6.315334	-6.471598	-6.103419	-6.143392	-5.820736	-5.931443	-6.107238	-5.859806	-6.310958	-6.103860	-5.980884	-6.063637	-6.221559	-6.070632	-6.314886	-6.041102	-6.517841	-5.946537	-6.272052	-5.856361	-5.946922	-6.221632	-5.917933	-6.014214	-6.065552	-5.998266	-6.189163	-5.919013	-6.225994	-5.802444	-6.087991	-6.081341	-5.928486	-5.982132	-6.315604	-6.038626	-6.181115	-5.822752	-6.083915	-5.959002	-6.456926	-6.080870	-6.320754	-5.873544	-6.192939	-6.043399
		4.176091259055681	-6.003401	-6.045468	-6.588717	-5.963371	-6.140381	-6.205721	-6.275069	-6.104080	-6.142668	-5.825068	-6.142728	-6.022871	-6.035693	-5.985900	-5.923360	-6.122283	-5.859806	-6.083073	-6.277778	-6.392331	-6.026041	-6.221415	-6.112664	-6.010550	-6.245728	-5.966576	-6.071143	-5.990124	-6.218891	-6.039958	-6.249337	-6.123320	-6.142607	-5.909742	-6.421590	-5.944622	-5.961777	-5.975104	-5.952725	-6.110642	-6.106904	-5.983384	-5.946922	-6.273028	-6.093126	-5.893809	-6.310780	-5.725150	-6.028631	-5.920819	-6.075256	-5.996971	-6.236497	-5.932557	-6.096367	-5.889410	-5.917215	-5.977984	-6.096422	-5.974285	-6.092213	-6.045854	-6.077482	-6.001261
		5.176091259055681	-5.179208	-5.207678	-5.492684	-5.083862	-5.105296	-5.205651	-5.097073	-5.197226	-5.246187	-5.037489	-5.254223	-5.054531	-5.204189	-5.059683	-5.007314	-5.058538	-5.133831	-5.106738	-5.366027	-5.337809	-5.023696	-5.326703	-5.356449	-4.926282	-5.316143	-5.011887	-5.351738	-5.049684	-5.266321	-5.265680	-5.225337	-5.071348	-5.744245	-5.019043	-5.624702	-5.139243	-5.149293	-5.078574	-5.101988	-5.188425	-5.121996	-5.154034	-5.106238	-5.326426	-5.274824	-5.094852	-5.341416	-4.844057	-5.330311	-5.122859	-5.251657	-4.997402	-5.270916	-5.122341	-5.165834	-5.151072	-5.075462	-5.240483	-5.155026	-5.244964	-5.405607	-4.963770	-4.992252	-5.060331
		5.176091259055681	-5.094852	-5.133949	-5.540457	-5.089909	-5.040672	-5.232844	-5.134481	-4.935542	-5.141643	-4.933674	-5.142185	-5.018680	-5.000130	-5.008907	-5.098215	-5.015293	-5.060930	-5.185153	-5.121248	-5.263843	-5.042201	-5.320390	-5.060231	-4.764219	-5.210490	-5.057942	-5.259085	-5.014259	-5.180983	-5.148375	-5.092750	-4.982132	-5.389766	-4.869988	-5.636576	-5.062181	-5.047353	-5.030444	-5.152983	-5.168194	-5.063889	-4.886391	-5.095447	-5.309981	-5.074688	-4.925549	-5.298778	-4.917215	-5.242832	-4.946537	-4.960586	-5.032405	-5.135192	-5.249183	-4.999566	-4.845272	-5.004233	-4.947306	-5.373352	-4.970616	-5.367138	-4.908685	-4.905529	-4.998266
		5.176091259055681	-5.171340	-5.089162	-5.523024	-5.108240	-4.987585	-5.071963	-5.012602	-4.863279	-5.208450	-4.921543	-5.099961	-4.969805	-5.229074	-5.011218	-5.132768	-4.993106	-5.050220	-5.087778	-5.306009	-5.391688	-5.112495	-5.287519	-5.113961	-5.066969	-5.273680	-5.097399	-5.314258	-5.112214	-5.250882	-5.170889	-5.109970	-5.004014	-5.380698	-4.850781	-5.565751	-5.053400	-5.085604	-5.052076	-5.139782	-5.310070	-5.072117	-5.150151	-5.045323	-5.153787	-5.035222	-5.096693	-5.270268	-4.909037	-5.217814	-5.061180	-4.976336	-5.062633	-5.137749	-5.227825	-5.015203	-5.105352	-5.158203	-4.978811	-5.090497	-5.065805	-5.420445	-4.939680	-5.039244	-4.882729
																																																																		
		steyx	0.088575	0.061504	0.419255	0.121625	0.143477	0.112630	0.120058	0.167981	0.123450	0.123232	0.126986	0.077308	0.115047	0.094685	0.158331	0.074634	0.106915	0.129161	0.193661	0.121840	0.099109	0.099373	0.149221	0.148630	0.096645	0.080078	0.107160	0.107009	0.121180	0.084832	0.165838	0.105841	0.138440	0.100174	0.069452	0.122452	0.109851	0.118585	0.113813	0.143178	0.150492	0.146675	0.107372	0.133511	0.126890	0.143491	0.245053	0.118041	0.119908	0.094639	0.133786	0.102172	0.127801	0.098551	0.128097	0.128281	0.099808	0.098673	0.154250	0.108876	0.113105	0.131839	0.093865	0.115110
																																																																		
