			AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		15000	1.456e-07	2.052e-07	1.234e-20	1.230e-07	1.701e-07	2.484e-07	1.852e-07	1.151e-07	1.099e-07	2.893e-07	2.091e-07	1.854e-07	1.577e-07	1.092e-07	1.042e-07	1.674e-07	1.665e-07	1.828e-07	1.521e-07	1.249e-07	1.400e-07	1.522e-07	1.423e-07	1.682e-07	9.367e-08	1.599e-07	1.094e-07	1.698e-07	7.820e-08	1.251e-07	1.426e-07	1.492e-07	1.464e-07	1.167e-07	5.677e-08	6.462e-08	1.732e-07	1.861e-07	2.255e-07	1.090e-07	1.406e-07	1.890e-07	2.336e-07	6.970e-08	1.997e-07	2.196e-07	8.624e-08	2.129e-07	1.402e-07	1.494e-07	1.391e-07	2.203e-07	1.721e-07	1.292e-07	1.090e-07	1.708e-07	9.235e-08	1.845e-07	1.431e-07	1.654e-07	1.341e-07	3.764e-07	1.153e-07	1.682e-07
		15000	1.389e-07	2.119e-07	2.995e-20	1.334e-07	1.658e-07	2.835e-07	1.914e-07	1.346e-07	1.307e-07	3.088e-07	2.312e-07	2.108e-07	1.676e-07	1.145e-07	1.152e-07	1.814e-07	1.720e-07	2.118e-07	1.572e-07	1.785e-07	1.457e-07	1.670e-07	1.521e-07	1.835e-07	1.067e-07	1.747e-07	1.155e-07	1.826e-07	8.210e-08	1.388e-07	1.519e-07	1.645e-07	1.799e-07	1.242e-07	5.950e-08	6.694e-08	2.274e-07	2.236e-07	2.637e-07	1.235e-07	1.585e-07	2.023e-07	2.802e-07	7.204e-08	2.313e-07	2.302e-07	9.099e-08	2.353e-07	1.470e-07	1.620e-07	1.571e-07	2.595e-07	1.949e-07	1.524e-07	1.281e-07	1.867e-07	1.120e-07	1.870e-07	1.633e-07	1.893e-07	1.672e-07	4.040e-07	1.408e-07	1.716e-07
		150000	1.224e-06	1.997e-06	1.152e-17	1.248e-06	1.371e-06	2.462e-06	2.062e-06	1.266e-06	1.003e-06	2.483e-06	2.162e-06	1.792e-06	1.823e-06	1.284e-06	1.246e-06	1.582e-06	1.836e-06	1.595e-06	1.340e-06	1.541e-06	1.507e-06	1.447e-06	1.460e-06	1.626e-06	1.048e-06	1.653e-06	9.758e-07	1.794e-06	9.354e-07	1.137e-06	1.460e-06	1.464e-06	1.555e-06	1.306e-06	5.087e-07	6.837e-07	1.710e-06	1.952e-06	2.369e-06	1.198e-06	1.498e-06	2.170e-06	2.241e-06	8.132e-07	1.932e-06	2.160e-06	9.365e-07	2.161e-06	1.580e-06	1.481e-06	1.467e-06	2.458e-06	1.666e-06	1.248e-06	1.203e-06	1.683e-06	1.123e-06	1.861e-06	1.642e-06	1.889e-06	1.559e-06	3.468e-06	1.253e-06	1.855e-06
		150000	1.430e-06	1.848e-06	6.765e-18	1.448e-06	1.621e-06	2.541e-06	2.188e-06	1.387e-06	1.193e-06	2.924e-06	2.260e-06	1.930e-06	1.739e-06	1.241e-06	1.271e-06	1.582e-06	1.885e-06	1.885e-06	1.677e-06	1.648e-06	1.632e-06	1.777e-06	1.681e-06	1.648e-06	1.161e-06	1.867e-06	1.239e-06	2.006e-06	9.485e-07	1.498e-06	1.527e-06	1.614e-06	1.403e-06	1.334e-06	6.304e-07	8.445e-07	1.791e-06	2.133e-06	2.562e-06	1.271e-06	1.841e-06	2.214e-06	2.392e-06	8.349e-07	2.113e-06	2.552e-06	1.042e-06	2.470e-06	1.602e-06	1.684e-06	1.635e-06	2.523e-06	1.849e-06	1.614e-06	1.385e-06	2.023e-06	1.253e-06	1.964e-06	1.731e-06	1.967e-06	1.559e-06	3.970e-06	1.519e-06	1.944e-06
		150000	1.450e-06	1.677e-06	5.236e-18	1.344e-06	1.472e-06	2.269e-06	2.035e-06	1.233e-06	1.169e-06	2.867e-06	2.135e-06	1.841e-06	1.647e-06	1.346e-06	1.238e-06	1.703e-06	1.789e-06	1.847e-06	1.666e-06	1.402e-06	1.548e-06	1.171e-06	1.366e-06	1.604e-06	1.077e-06	1.653e-06	8.869e-07	1.866e-06	8.487e-07	1.185e-06	1.442e-06	1.532e-06	1.586e-06	1.297e-06	4.853e-07	7.871e-07	2.045e-06	2.002e-06	2.480e-06	1.254e-06	1.666e-06	1.896e-06	2.271e-06	7.415e-07	2.059e-06	2.233e-06	1.022e-06	2.694e-06	1.400e-06	1.320e-06	1.570e-06	2.115e-06	1.721e-06	1.511e-06	1.414e-06	1.671e-06	1.186e-06	1.861e-06	1.070e-06	1.584e-06	1.235e-06	3.468e-06	1.227e-06	1.855e-06
																																																																		
																																																																		
		1.1760912590556813	-10.049051	-9.759451	-21.996971	-9.730020	-10.151072	-9.729787	-9.751536	-9.882066	-10.083178	-9.552532	-9.758952	-9.590574	-9.855737	-9.856361	-9.976748	-9.819874	-9.735182	-9.902396	-9.867420	-9.790485	-9.783306	-9.904134	-9.773400	-9.674484	-10.141583	-9.759201	-9.939680	-9.918293	-9.956638	-9.762456	-9.730487	-9.741842	-9.751046	-9.878112	-10.219395	-9.715569	-9.845272	-9.613858	-9.745210	-9.897566	-9.617083	-9.477425	-9.430860	-10.020042	-9.751046	-9.517269	-9.738261	-9.531948	-9.784362	-9.643401	-9.903090	-9.739690	-9.821023	-9.903438	-9.823330	-9.587707	-10.031891	-9.710188	-9.630599	-9.558305	-9.819587	-9.465974	-9.809949	-9.691863
		1.1760912590556813	-9.681102	-9.677988	-21.791827	-10.035222	-9.460171	-9.478731	-9.708409	-10.159392	-9.915066	-9.728391	-9.666351	-9.567031	-9.708409	-9.885723	-9.830914	-9.770318	-9.738261	-9.774432	-9.626720	-9.848937	-9.697236	-9.694219	-9.709298	-9.904831	-9.779108	-9.706196	-9.957424	-9.653061	-9.999132	-10.070888	-9.547907	-9.894490	-9.773400	-9.769296	-10.210631	-10.119244	-9.784891	-9.828566	-9.535958	-10.011396	-9.663340	-9.735654	-9.744245	-10.045757	-9.573326	-9.578232	-9.744004	-9.705975	-9.903785	-9.951947	-9.723538	-9.549597	-9.778325	-9.797784	-9.869988	-9.961380	-9.834756	-9.631341	-9.968592	-9.828566	-9.866142	-9.449283	-10.054728	-9.691863
		1.1760912590556813	-9.792904	-9.714443	-21.526367	-9.823909	-9.865823	-9.525056	-9.659754	-9.666956	-9.827981	-9.484391	-9.502656	-9.997834	-9.720333	-9.915066	-9.877784	-9.805208	-9.755228	-9.539403	-9.910448	-9.804931	-9.935917	-9.832092	-10.002920	-9.767766	-9.933674	-9.800519	-9.924818	-9.570409	-10.162033	-9.774432	-10.082127	-9.750313	-9.902049	-9.862963	-10.271809	-10.333295	-9.666553	-9.611189	-9.632085	-9.701365	-10.015383	-9.812197	-9.730020	-10.105850	-9.775985	-9.743523	-10.424812	-9.494307	-9.825068	-9.931443	-9.738261	-9.651695	-9.667562	-9.786217	-9.881405	-9.658961	-9.855426	-9.792096	-9.865504	-9.822752	-9.699622	-9.494036	-9.789147	-9.740884
		2.1760912590556813	-8.986320	-8.757210	-17.648977	-8.882066	-8.850473	-8.812761	-8.647625	-8.818156	-8.983803	-8.414539	-8.659953	-8.731422	-8.760200	-8.976336	-8.934047	-8.709965	-8.795337	-8.697453	-8.848018	-8.798876	-8.802995	-8.839832	-8.744486	-8.773916	-9.048420	-8.801068	-9.015968	-8.780415	-9.186886	-8.896881	-9.002483	-8.837734	-8.797512	-9.010283	-9.237922	-9.272134	-8.588717	-8.694864	-8.619066	-8.950394	-8.846490	-8.687611	-8.595680	-9.293453	-8.609949	-8.678402	-9.095122	-8.705313	-8.822752	-8.744486	-8.841638	-8.601366	-8.741363	-8.798330	-8.975514	-8.772370	-9.000913	-8.721018	-8.834459	-8.764977	-8.937418	-8.311402	-8.830620	-8.807711
		2.1760912590556813	-8.903785	-8.689732	-21.209715	-8.890759	-8.760951	-8.548060	-8.696372	-8.928486	-8.925915	-8.471340	-8.698102	-8.754981	-8.789681	-8.938548	-8.962972	-8.742082	-8.761201	-8.744004	-8.839231	-8.898253	-8.903785	-8.883060	-8.910095	-8.788346	-8.944622	-8.830326	-9.060381	-8.786217	-9.057050	-8.962972	-8.864231	-8.789681	-8.783570	-9.049586	-9.284498	-9.318036	-8.637706	-8.675512	-8.534171	-9.087034	-8.832092	-8.725842	-8.612610	-9.236273	-8.587707	-8.710411	-9.057298	-8.690796	-8.779108	-8.782516	-8.794525	-8.581533	-8.787014	-8.904482	-8.975514	-8.778064	-9.099524	-8.761954	-8.860121	-8.803271	-8.885389	-8.364516	-8.851706	-8.801893
		2.1760912590556813	-8.853562	-8.723538	-21.380907	-8.966979	-8.785951	-8.610834	-8.667764	-8.908685	-8.931443	-8.527975	-8.741602	-8.757707	-8.825068	-8.967784	-9.030025	-8.791827	-8.738261	-8.770062	-8.813609	-8.839832	-8.852015	-8.868381	-8.849244	-8.768021	-9.087034	-8.771600	-9.113679	-8.763211	-9.066108	-8.983803	-8.883392	-8.911155	-8.848018	-9.043543	-9.403953	-9.321118	-8.698319	-8.755475	-8.537003	-9.010239	-8.889747	-8.746420	-8.635074	-9.184754	-8.762708	-8.704433	-9.182435	-8.743042	-8.802444	-8.806041	-8.959002	-8.558934	-8.724458	-8.910095	-8.931814	-8.778064	-9.012870	-8.770830	-8.871601	-8.726767	-8.891097	-8.386898	-8.941195	-8.813326
		3.1760912590556813	-7.873219	-7.712646	-20.456553	-7.863914	-7.770574	-7.532688	-7.666956	-7.858550	-7.890084	-7.452471	-7.686133	-7.719877	-7.726767	-7.911864	-7.888066	-7.787014	-7.712870	-7.710411	-7.768530	-7.804100	-7.825649	-7.740884	-7.799971	-7.727462	-7.973058	-7.804377	-7.932185	-7.713768	-8.048711	-7.920819	-7.745694	-7.823619	-7.765736	-7.927750	-8.230254	-8.171276	-7.652085	-7.613501	-7.566550	-7.963770	-7.787280	-7.621784	-7.599462	-8.092105	-7.627088	-7.601539	-8.001174	-7.620332	-7.753501	-7.730721	-7.841939	-7.542572	-7.710188	-7.810791	-7.926648	-7.719422	-7.957818	-7.676335	-7.780677	-7.718967	-7.784627	-7.327348	-7.797784	-7.701584
		3.1760912590556813	-7.858550	-7.752027	-21.124129	-7.881405	-7.804100	-7.672028	-7.666956	-7.867100	-7.927750	-7.514847	-7.653451	-7.754981	-7.714893	-7.911864	-7.998699	-7.766496	-7.738499	-7.716247	-7.865823	-7.830620	-7.808270	-7.772628	-7.785421	-7.811916	-8.014663	-7.813326	-7.964971	-7.770830	-8.045709	-7.914709	-7.787280	-7.837734	-7.762959	-8.003445	-8.238975	-8.174314	-7.695294	-7.690583	-7.591930	-7.935168	-7.816161	-7.656986	-7.588212	-8.160773	-7.682564	-7.621966	-8.044793	-7.687188	-7.835053	-7.701365	-7.868381	-7.531210	-7.721704	-7.810791	-7.865504	-7.752027	-7.985060	-7.673459	-7.757707	-7.718967	-7.825649	-7.402854	-7.902396	-7.744727
		3.1760912590556813	-7.902743	-7.816445	-19.480697	-7.863914	-7.779108	-7.562725	-7.632644	-7.852942	-7.971429	-7.460924	-7.593460	-7.661344	-7.720789	-7.903090	-7.934794	-7.754734	-7.761452	-7.727926	-7.814175	-7.801343	-7.854182	-7.784098	-7.814458	-7.759451	-7.990974	-7.836839	-7.917574	-7.756714	-8.057744	-7.920819	-7.831503	-7.826231	-7.748849	-7.943095	-8.236123	-8.210984	-7.723998	-7.671213	-7.555175	-7.898253	-7.784362	-7.659953	-7.534617	-8.160773	-7.627088	-7.639407	-8.097182	-7.669789	-7.794254	-7.789414	-7.818156	-7.565271	-7.684660	-7.807711	-7.897566	-7.734239	-7.957818	-7.699839	-7.823619	-7.777544	-7.883060	-7.386053	-7.845576	-7.747632
		4.176091259055681	-6.904482	-6.696372	-18.658961	-6.904482	-6.830914	-6.591082	-6.726536	-6.933301	-6.941574	-6.532984	-6.676954	-6.755228	-6.802168	-6.955852	-6.961777	-6.776245	-6.792904	-6.720561	-6.835053	-6.876802	-6.862329	-6.814741	-6.861382	-6.780154	-7.022459	-6.796152	-6.996539	-6.758454	-7.106793	-6.908685	-6.821023	-6.820448	-6.781202	-6.993534	-7.242984	-7.198802	-6.706637	-6.694434	-6.646853	-6.959793	-6.831797	-6.711751	-6.639975	-7.162475	-6.674690	-6.655411	-7.041006	-6.619608	-6.844360	-6.805208	-6.815593	-6.617083	-6.761452	-6.848630	-6.921906	-6.758703	-7.016644	-6.725150	-6.830032	-6.749336	-6.790485	-6.421590	-6.878440	-6.782779
		4.176091259055681	-6.836839	-6.687823	-19.908685	-6.910095	-6.769296	-6.604848	-6.732359	-6.938925	-6.959002	-6.538652	-6.679646	-6.731890	-6.802168	-6.961777	-6.982132	-6.776245	-6.778586	-6.738024	-6.817871	-6.903438	-6.853872	-6.817585	-6.846795	-6.774174	-7.028399	-6.796152	-6.960983	-6.770062	-7.106793	-6.902743	-6.845880	-6.826231	-6.834459	-6.932929	-7.245881	-7.189633	-6.761452	-6.730254	-6.646853	-6.962574	-6.852015	-6.723538	-6.631527	-7.156767	-6.699622	-6.658368	-7.064291	-6.671824	-6.853252	-6.825649	-6.856673	-6.656986	-6.764219	-6.888737	-6.962574	-6.767512	-7.034563	-6.734004	-6.844360	-6.781464	-6.872571	-6.424350	-6.938171	-6.774174
		4.176091259055681	-6.857298	-6.673869	-19.523603	-6.874844	-6.780415	-6.547447	-6.718058	-6.870955	-6.883724	-6.510323	-6.636012	-6.676129	-6.775726	-6.941195	-6.938548	-6.741363	-6.764472	-6.674074	-6.803547	-6.748362	-6.836540	-6.777284	-6.817871	-6.736364	-6.971836	-6.757707	-6.937418	-6.738499	-7.085657	-6.857611	-6.818442	-6.783834	-6.744969	-6.905878	-7.225483	-7.174314	-6.643210	-6.650528	-6.578890	-6.908333	-6.799971	-6.694004	-6.552532	-7.142426	-6.635824	-6.637895	-7.041006	-6.628378	-6.832683	-6.790485	-6.803824	-6.585863	-6.710188	-6.817015	-6.892451	-6.728856	-6.950782	-6.728158	-6.787014	-6.722849	-6.776764	-6.393619	-6.851397	-6.765483
		5.176091259055681	-5.912219	-5.699622	-16.938548	-5.903785	-5.862963	-5.608712	-5.685711	-5.897566	-5.998699	-5.605023	-5.665144	-5.746662	-5.739213	-5.891435	-5.904482	-5.800794	-5.736127	-5.797239	-5.872895	-5.812197	-5.821887	-5.839531	-5.835647	-5.788879	-5.979639	-5.781727	-6.010639	-5.746178	-6.029003	-5.944240	-5.835647	-5.834459	-5.808270	-5.884057	-6.293538	-6.165134	-5.767004	-5.709520	-5.625435	-5.921543	-5.824488	-5.663540	-5.649558	-6.089803	-5.713993	-5.665546	-6.028492	-5.665345	-5.801343	-5.829445	-5.833570	-5.609418	-5.778325	-5.903785	-5.919734	-5.773916	-5.949620	-5.730254	-5.784627	-5.723768	-5.807154	-5.459921	-5.902049	-5.731656
		5.176091259055681	-5.844664	-5.733298	-17.169732	-5.839231	-5.790217	-5.594995	-5.659953	-5.857924	-5.923360	-5.534023	-5.645892	-5.714443	-5.759700	-5.906228	-5.895854	-5.800794	-5.724689	-5.724689	-5.775467	-5.783043	-5.787280	-5.750313	-5.774432	-5.783043	-5.935168	-5.728856	-5.906929	-5.697669	-6.022963	-5.824488	-5.816161	-5.792096	-5.852942	-5.874844	-6.200384	-6.073400	-5.746904	-5.671009	-5.591421	-5.895854	-5.734946	-5.654822	-5.621239	-6.078366	-5.675101	-5.593119	-5.982132	-5.607303	-5.795337	-5.773658	-5.786482	-5.598083	-5.733063	-5.792096	-5.858550	-5.694004	-5.902049	-5.706859	-5.761703	-5.706196	-5.807154	-5.401209	-5.818442	-5.711304
		5.176091259055681	-5.838632	-5.775467	-17.281000	-5.871601	-5.832092	-5.644166	-5.691436	-5.909037	-5.932185	-5.542572	-5.670602	-5.734946	-5.783306	-5.870955	-5.907279	-5.768785	-5.747390	-5.733533	-5.778325	-5.853252	-5.810229	-5.931443	-5.864549	-5.794796	-5.967784	-5.781727	-6.052125	-5.729088	-6.071246	-5.926282	-5.841035	-5.814741	-5.799697	-5.887060	-6.313990	-6.103970	-5.689307	-5.698536	-5.605548	-5.901702	-5.778325	-5.722162	-5.643783	-6.129889	-5.686344	-5.651111	-5.990549	-5.569602	-5.853872	-5.879426	-5.804100	-5.674690	-5.764219	-5.820736	-5.849551	-5.777024	-5.925915	-5.730254	-5.970616	-5.800245	-5.908333	-5.459921	-5.911155	-5.731656
																																																																		
		steyx	0.085738	0.042164	1.108058	0.068864	0.140175	0.088144	0.035590	0.103159	0.060001	0.076255	0.061618	0.099403	0.045992	0.037578	0.054142	0.029954	0.024793	0.078090	0.068231	0.045463	0.057301	0.067310	0.073584	0.050588	0.084493	0.036832	0.062719	0.077133	0.060814	0.081267	0.122965	0.047043	0.046876	0.080301	0.053405	0.153817	0.068876	0.059379	0.057948	0.086778	0.095714	0.077310	0.077900	0.073127	0.064560	0.059046	0.166729	0.071491	0.038785	0.083934	0.061278	0.058919	0.042884	0.049589	0.048335	0.082198	0.072829	0.041737	0.087144	0.068622	0.064628	0.053485	0.072417	0.042349
																																																																		
