		AHCY	AKR1C1	ALUsq-Eur	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15000	4.287e-08	9.929e-08	2.234e-07	5.857e-08	5.983e-08	2.679e-08	6.673e-08	5.043e-08	3.486e-08	9.080e-08	4.907e-08	4.584e-07	7.307e-08	4.820e-08	5.060e-08	1.160e-07	7.911e-08	4.370e-08	4.678e-08	6.564e-08	4.455e-08	4.117e-08	3.750e-08	6.739e-08	5.208e-08	1.046e-07	5.605e-08	6.275e-08	4.779e-08	7.606e-08	4.831e-08	7.100e-08	3.593e-08	1.665e-07	2.214e-08	4.360e-08	4.363e-08	1.448e-07	7.268e-08	1.697e-08	5.521e-08	7.199e-08	4.854e-08	2.406e-08	8.003e-08	9.116e-08	3.854e-08	8.727e-08	4.596e-08	5.330e-08	9.242e-08	4.573e-08	6.656e-08	4.236e-08	4.771e-08	6.627e-08	4.838e-08	6.711e-08	3.127e-08	6.701e-08	4.713e-08	1.182e-07	3.393e-08	4.205e-08
	15000	4.497e-08	1.038e-07	2.989e-07	6.447e-08	5.848e-08	3.047e-08	6.963e-08	5.653e-08	4.247e-08	9.798e-08	5.151e-08	5.231e-07	7.859e-08	5.086e-08	5.638e-08	1.240e-07	8.333e-08	5.002e-08	4.876e-08	9.326e-08	4.727e-08	4.526e-08	4.083e-08	7.530e-08	5.950e-08	1.139e-07	5.923e-08	6.843e-08	4.955e-08	8.522e-08	5.182e-08	7.810e-08	4.200e-08	1.754e-07	2.334e-08	4.504e-08	5.517e-08	1.643e-07	7.886e-08	1.857e-08	6.326e-08	7.784e-08	5.667e-08	2.444e-08	9.475e-08	9.540e-08	4.038e-08	9.691e-08	4.828e-08	5.870e-08	1.041e-07	5.138e-08	7.702e-08	5.147e-08	5.809e-08	7.295e-08	5.602e-08	6.772e-08	3.661e-08	7.729e-08	5.974e-08	1.278e-07	4.051e-08	4.322e-08
	150000	4.218e-07	1.034e-06	2.500e-06	6.204e-07	5.516e-07	3.667e-07	7.959e-07	6.036e-07	3.728e-07	9.565e-07	6.106e-07	3.897e-06	9.525e-07	6.191e-07	6.475e-07	1.196e-06	9.282e-07	4.628e-07	4.814e-07	8.533e-07	5.479e-07	4.574e-07	4.300e-07	7.293e-07	5.890e-07	1.161e-06	5.247e-07	7.325e-07	5.710e-07	7.260e-07	5.583e-07	7.691e-07	4.407e-07	1.767e-06	2.226e-07	4.867e-07	5.286e-07	1.484e-06	8.626e-07	2.313e-07	6.391e-07	9.130e-07	5.370e-07	3.217e-07	8.911e-07	1.017e-06	4.699e-07	1.057e-06	5.710e-07	6.011e-07	9.994e-07	5.937e-07	7.197e-07	5.040e-07	5.783e-07	7.490e-07	5.994e-07	7.803e-07	4.406e-07	8.867e-07	6.410e-07	1.292e-06	4.349e-07	5.320e-07
	150000	5.134e-07	1.014e-06	2.007e-06	7.171e-07	6.500e-07	3.878e-07	8.476e-07	6.584e-07	4.556e-07	1.101e-06	6.380e-07	4.236e-06	9.079e-07	6.504e-07	6.645e-07	1.131e-06	9.463e-07	5.395e-07	5.858e-07	9.211e-07	5.925e-07	5.503e-07	5.088e-07	7.610e-07	6.498e-07	1.321e-06	6.544e-07	8.244e-07	5.798e-07	9.955e-07	5.852e-07	8.719e-07	3.922e-07	1.816e-06	2.682e-07	5.612e-07	5.734e-07	1.632e-06	8.885e-07	2.483e-07	7.984e-07	9.374e-07	5.805e-07	3.294e-07	9.988e-07	1.144e-06	5.245e-07	1.124e-06	5.718e-07	6.925e-07	1.130e-06	6.253e-07	7.962e-07	6.245e-07	6.652e-07	8.675e-07	6.867e-07	8.370e-07	4.643e-07	9.260e-07	6.264e-07	1.444e-06	5.401e-07	5.666e-07
	150000	5.137e-07	9.019e-07	1.812e-06	6.620e-07	5.945e-07	3.353e-07	7.908e-07	5.916e-07	4.440e-07	1.067e-06	5.991e-07	4.052e-06	8.514e-07	6.403e-07	6.544e-07	1.286e-06	9.097e-07	5.288e-07	5.808e-07	7.752e-07	5.649e-07	4.078e-07	4.023e-07	7.273e-07	6.045e-07	1.170e-06	5.219e-07	7.670e-07	5.122e-07	7.666e-07	5.529e-07	8.193e-07	4.529e-07	1.765e-06	2.159e-07	5.250e-07	5.829e-07	1.535e-06	8.716e-07	2.482e-07	7.130e-07	8.311e-07	5.524e-07	3.058e-07	9.812e-07	1.058e-06	5.162e-07	1.261e-06	5.076e-07	5.912e-07	1.095e-06	5.167e-07	7.437e-07	5.830e-07	6.884e-07	7.517e-07	6.379e-07	7.928e-07	3.169e-07	7.594e-07	5.186e-07	1.295e-06	4.568e-07	5.320e-07
																																																																	
																																																																	
	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)
	150000	4.830e-07	9.833e-07	2.106e-06	6.665e-07	5.987e-07	3.633e-07	8.114e-07	6.179e-07	4.241e-07	1.042e-06	6.159e-07	4.062e-06	9.039e-07	6.366e-07	6.555e-07	1.204e-06	9.281e-07	5.104e-07	5.493e-07	8.499e-07	5.684e-07	4.718e-07	4.470e-07	7.392e-07	6.144e-07	1.217e-06	5.670e-07	7.746e-07	5.543e-07	8.294e-07	5.655e-07	8.201e-07	4.286e-07	1.783e-06	2.356e-07	5.243e-07	5.616e-07	1.550e-06	8.742e-07	2.426e-07	7.168e-07	8.938e-07	5.566e-07	3.190e-07	9.570e-07	1.073e-06	5.035e-07	1.147e-06	5.501e-07	6.283e-07	1.075e-06	5.786e-07	7.532e-07	5.705e-07	6.440e-07	7.894e-07	6.413e-07	8.034e-07	4.073e-07	8.574e-07	5.953e-07	1.344e-06	4.773e-07	5.435e-07
																																																																	
																																																																	
	0.0001	0.000036	0.000068	0.020586	0.000101	0.000029	0.000023	0.000048	0.000062	0.000042	0.000055	0.000034	0.000259	0.000060	0.000074	0.000061	0.000085	0.000073	0.000033	0.000053	0.000083	0.000063	0.000043	0.000060	0.000079	0.000052	0.000083	0.000084	0.000039	0.000103	0.000111	0.000072	0.000085	0.000057	0.000133	0.000072	0.000221	0.000035	0.000110	0.000040	0.000036	0.000095	0.000105	0.000078	0.000066	0.000055	0.000089	0.000135	0.000081	0.000064	0.000095	0.000073	0.000031	0.000055	0.000046	0.000083	0.000089	0.000062	0.000062	0.000077	0.000101	0.000058	0.000052	0.000061	0.000055
	0.0001	0.000072	0.000082	0.023382	0.000048	0.000147	0.000041	0.000058	0.000032	0.000061	0.000035	0.000045	0.000280	0.000078	0.000066	0.000086	0.000094	0.000074	0.000047	0.000090	0.000071	0.000079	0.000073	0.000073	0.000049	0.000119	0.000095	0.000079	0.000069	0.000096	0.000053	0.000111	0.000057	0.000052	0.000166	0.000074	0.000083	0.000040	0.000066	0.000064	0.000028	0.000090	0.000057	0.000035	0.000068	0.000088	0.000076	0.000132	0.000055	0.000047	0.000046	0.000107	0.000052	0.000060	0.000059	0.000072	0.000038	0.000096	0.000075	0.000032	0.000051	0.000050	0.000055	0.000035	0.000055
	0.0001	0.000091	0.000076	0.028585	0.000083	0.000057	0.000037	0.000064	0.000104	0.000077	0.000068	0.000064	0.000109	0.000079	0.000062	0.000073	0.000086	0.000069	0.000084	0.000047	0.000080	0.000044	0.000051	0.000035	0.000070	0.000086	0.000076	0.000088	0.000089	0.000066	0.000109	0.000032	0.000084	0.000041	0.000140	0.000065	0.000053	0.000056	0.000108	0.000048	0.000062	0.000038	0.000051	0.000037	0.000059	0.000053	0.000053	0.000025	0.000089	0.000058	0.000047	0.000096	0.000038	0.000077	0.000060	0.000071	0.000079	0.000092	0.000054	0.000044	0.000055	0.000079	0.000049	0.000067	0.000047
	0.001	0.000505	0.000740	0.718310	0.000761	0.000667	0.000239	0.000735	0.000823	0.000593	0.000894	0.000529	0.001625	0.000768	0.000596	0.000743	0.001060	0.000680	0.000658	0.000605	0.000819	0.000692	0.000590	0.000743	0.000723	0.000706	0.000786	0.000758	0.000608	0.000653	0.000861	0.000449	0.000716	0.000631	0.000901	0.000784	0.000633	0.000801	0.000959	0.000642	0.000442	0.000636	0.000726	0.000625	0.000430	0.000853	0.000652	0.000594	0.000579	0.000643	0.000829	0.000805	0.000545	0.000733	0.000691	0.000614	0.000662	0.000685	0.000676	0.000541	0.000657	0.000505	0.000880	0.000691	0.000502
	0.001	0.000663	0.000855	0.037107	0.000740	0.000808	0.000472	0.000673	0.000669	0.000690	0.000767	0.000475	0.001547	0.000711	0.000666	0.000700	0.001005	0.000751	0.000585	0.000613	0.000679	0.000540	0.000516	0.000511	0.000682	0.000858	0.000721	0.000666	0.000588	0.000867	0.000732	0.000592	0.000794	0.000654	0.000834	0.000694	0.000578	0.000684	0.000986	0.000744	0.000295	0.000658	0.000654	0.000599	0.000479	0.000896	0.000598	0.000655	0.000602	0.000713	0.000740	0.000930	0.000579	0.000643	0.000513	0.000618	0.000654	0.000570	0.000607	0.000504	0.000599	0.000580	0.000764	0.000656	0.000507
	0.001	0.000596	0.000798	0.031296	0.000635	0.000801	0.000415	0.000699	0.000697	0.000679	0.000665	0.000426	0.001496	0.000654	0.000610	0.000558	0.000902	0.000798	0.000543	0.000688	0.000744	0.000614	0.000536	0.000598	0.000747	0.000638	0.000840	0.000586	0.000632	0.000853	0.000689	0.000553	0.000622	0.000544	0.000842	0.000524	0.000570	0.000611	0.000797	0.000751	0.000374	0.000561	0.000620	0.000566	0.000530	0.000627	0.000613	0.000495	0.000533	0.000670	0.000709	0.000663	0.000617	0.000769	0.000518	0.000705	0.000642	0.000663	0.000605	0.000489	0.000746	0.000580	0.000724	0.000515	0.000501
	0.01	0.007468	0.009161	0.064947	0.008671	0.008943	0.006717	0.008050	0.008537	0.008356	0.009003	0.006055	0.013864	0.008896	0.007650	0.008638	0.009624	0.008971	0.007838	0.008268	0.008911	0.007252	0.008615	0.007715	0.009441	0.008652	0.008461	0.009552	0.007999	0.009244	0.008783	0.009238	0.008136	0.007804	0.010097	0.008673	0.008072	0.008406	0.011443	0.008104	0.005128	0.007894	0.009129	0.007385	0.007612	0.009336	0.008754	0.008415	0.007783	0.009038	0.009396	0.008836	0.008243	0.008728	0.007684	0.007375	0.008153	0.008521	0.008374	0.007430	0.007819	0.008657	0.009563	0.008291	0.007508
	0.01	0.006887	0.008345	0.040981	0.008194	0.008204	0.004581	0.008060	0.008355	0.007717	0.008146	0.006529	0.013265	0.009056	0.007617	0.006966	0.010197	0.008453	0.007716	0.006848	0.008346	0.007621	0.008024	0.008024	0.007538	0.007781	0.008041	0.008730	0.006941	0.009240	0.008926	0.008333	0.007881	0.008019	0.008790	0.008618	0.008240	0.007327	0.009379	0.007697	0.005532	0.007381	0.008471	0.007596	0.006753	0.008137	0.008230	0.007517	0.007041	0.007140	0.010235	0.008250	0.008448	0.008461	0.007716	0.008651	0.007446	0.007757	0.008508	0.007796	0.008142	0.007854	0.008447	0.006789	0.006680
	0.01	0.007793	0.007009	0.142665	0.008606	0.008777	0.006232	0.008881	0.008612	0.007217	0.009154	0.007639	0.015998	0.008962	0.007744	0.007842	0.010155	0.008003	0.007561	0.007449	0.008997	0.007012	0.007681	0.007431	0.008716	0.008248	0.007789	0.009929	0.007331	0.009054	0.008738	0.007472	0.008140	0.008280	0.009705	0.008634	0.007288	0.006600	0.009843	0.008479	0.006109	0.007967	0.008462	0.008742	0.006709	0.009506	0.007894	0.006512	0.007429	0.008102	0.008597	0.009444	0.007697	0.009241	0.007700	0.008016	0.007833	0.008301	0.007919	0.006728	0.007347	0.006714	0.008804	0.007503	0.006627
	0.1	0.082117	0.098983	0.324592	0.089542	0.087606	0.076005	0.082065	0.083675	0.085633	0.091426	0.080744	0.110497	0.081289	0.077757	0.080858	0.098312	0.081815	0.087604	0.081226	0.083272	0.077388	0.087298	0.080061	0.090070	0.086633	0.086418	0.090194	0.083717	0.086212	0.089996	0.091340	0.087233	0.089967	0.084592	0.095260	0.079821	0.082367	0.096044	0.079544	0.070610	0.081916	0.085240	0.084742	0.074459	0.089673	0.085070	0.080988	0.091778	0.085288	0.089516	0.094064	0.082134	0.089060	0.082892	0.084570	0.085939	0.078976	0.085353	0.081053	0.085214	0.098432	0.088564	0.079725	0.076021
	0.1	0.088764	0.100976	0.106061	0.087877	0.099933	0.073747	0.082237	0.081620	0.082191	0.087182	0.079672	0.112860	0.080836	0.075715	0.077197	0.096319	0.085242	0.085625	0.085158	0.077236	0.078373	0.087255	0.083886	0.091166	0.084761	0.085926	0.098854	0.081006	0.086212	0.091709	0.085434	0.086575	0.083831	0.093399	0.093986	0.083158	0.077684	0.093399	0.083136	0.069951	0.077019	0.080541	0.087203	0.075431	0.083623	0.084958	0.076539	0.076063	0.083543	0.084837	0.085988	0.079040	0.088370	0.074251	0.074088	0.083950	0.075437	0.083536	0.076780	0.078158	0.079166	0.087968	0.071092	0.077364
	0.1	0.093112	0.105563	0.141905	0.096729	0.097678	0.083878	0.085811	0.091492	0.100134	0.094076	0.083634	0.128789	0.086942	0.079893	0.086015	0.102962	0.089789	0.098008	0.088762	0.109735	0.083158	0.095924	0.091335	0.101867	0.096837	0.093565	0.104462	0.088339	0.089387	0.102753	0.091641	0.095232	0.097993	0.098392	0.099080	0.085905	0.098231	0.105977	0.090205	0.076546	0.088249	0.087086	0.101808	0.076622	0.099004	0.088910	0.080193	0.084465	0.087761	0.093432	0.096855	0.088806	0.102257	0.090219	0.090207	0.092412	0.087349	0.084295	0.089892	0.090148	0.100347	0.095113	0.084879	0.079517
	1.0	0.873352	1.051561	1.186897	0.930833	0.921330	1.009451	0.980857	0.976910	0.878969	0.918387	0.991395	0.959458	1.053728	0.972510	0.987846	0.993081	1.000144	0.906799	0.876335	1.004040	0.963877	0.969410	0.961897	0.986607	0.958607	0.953724	0.925397	0.945609	1.030066	0.875367	0.987326	0.937812	1.028231	0.991212	0.944955	0.928285	0.941183	0.957214	0.986693	0.953421	0.891560	1.021443	0.964728	1.008569	0.931107	0.947810	0.933205	0.921267	1.037930	0.956759	0.929847	1.026157	0.955523	0.883436	0.898028	0.948822	0.934615	0.971287	1.081846	1.034213	1.076708	0.961548	0.911231	0.978781
	1.0	1.063013	1.031221	0.952841	1.075919	1.085686	1.067535	1.044571	1.065602	1.074191	1.057129	1.035882	1.042922	1.004388	1.021678	1.013782	0.939109	1.019647	1.057083	1.066383	1.083817	1.042339	1.166302	1.138170	1.029491	1.057560	1.085159	1.154145	1.064245	1.045941	1.200313	1.034897	1.063163	0.915072	1.018699	1.138531	1.070380	1.020951	1.052677	1.016319	1.023495	1.113787	1.048741	1.042877	1.032710	1.043642	1.066170	1.041639	0.979663	1.039384	1.102239	1.051358	1.080774	1.057090	1.094654	1.032973	1.098936	1.070738	1.041865	1.140039	1.080051	1.052184	1.074671	1.131652	1.042438
	1.0	1.063634	0.917218	0.860263	0.993248	0.992985	0.923013	0.974572	0.957488	1.046841	1.024484	0.972723	0.997620	0.941884	1.005812	0.998373	1.067811	0.980210	1.036118	1.057282	0.912143	0.993784	0.864288	0.899933	0.983902	0.983833	0.961117	0.920459	0.990146	0.923993	0.924320	0.977776	0.999025	1.056696	0.990090	0.916513	1.001335	1.037866	0.990110	0.996988	1.023083	0.994652	0.929815	0.992395	0.958721	1.025252	0.986021	1.025156	1.099070	0.922685	0.941002	1.018794	0.893069	0.987387	1.021911	1.068999	0.952242	0.994647	0.986847	0.778114	0.885735	0.871109	0.963781	0.957117	0.978781
																																																																	
scaled(min)	0.0001	0.000066	0.000075	0.024184	0.000077	0.000078	0.000034	0.000057	0.000066	0.000060	0.000052	0.000047	0.000216	0.000072	0.000068	0.000074	0.000088	0.000072	0.000055	0.000063	0.000078	0.000062	0.000055	0.000056	0.000066	0.000086	0.000085	0.000084	0.000066	0.000088	0.000091	0.000072	0.000075	0.000050	0.000147	0.000070	0.000119	0.000044	0.000095	0.000051	0.000042	0.000074	0.000071	0.000050	0.000065	0.000065	0.000073	0.000098	0.000075	0.000056	0.000063	0.000092	0.000041	0.000064	0.000055	0.000075	0.000069	0.000083	0.000063	0.000051	0.000069	0.000062	0.000052	0.000055	0.000052
scaled(max)	1.0	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
