			AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDKN3	CHD5	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC	ULK2	WSB1
		15000	1.439e+04	9.520e+03	1.244e+04	7.057e+03	6.410e+03	1.272e+04	5.880e+03	9.182e+03	6.534e+03	1.898e+04	1.887e+04	1.556e+04	1.003e+04	8.990e+03	1.600e+04	1.140e+04	1.530e+04	9.834e+03	1.075e+04	1.056e+04	1.096e+04	1.035e+04	1.494e+04	1.236e+04	1.930e+04	1.162e+04	1.052e+04	1.265e+04	1.651e+04	5.406e+03	8.189e+03	6.450e+03	1.991e+04	4.566e+03	1.343e+04	1.334e+04	6.521e+03	1.397e+04	6.930e+03	1.048e+04	1.915e+04	1.173e+04	4.308e+03	7.984e+03	1.822e+04	6.962e+03	1.825e+04	1.195e+04	1.603e+04	1.374e+04	1.469e+04	9.837e+03	7.698e+03	1.014e+04	2.250e+04	1.342e+04	1.914e+04	9.785e+03	1.788e+04	3.577e+03	1.696e+04	1.504e+04	1.238e+04
		15000	1.449e+04	9.207e+03	1.365e+04	7.046e+03	7.441e+03	1.347e+04	6.301e+03	1.038e+04	6.741e+03	1.903e+04	1.977e+04	1.683e+04	1.031e+04	9.925e+03	1.571e+04	1.122e+04	1.795e+04	9.560e+03	9.949e+03	1.012e+04	1.207e+04	1.379e+04	1.588e+04	1.328e+04	2.006e+04	1.235e+04	1.167e+04	1.287e+04	1.772e+04	5.498e+03	8.755e+03	7.855e+03	2.006e+04	5.072e+03	1.312e+04	1.635e+04	7.498e+03	1.540e+04	7.389e+03	1.157e+04	1.954e+04	1.307e+04	4.088e+03	9.052e+03	1.823e+04	7.063e+03	1.911e+04	1.220e+04	1.771e+04	1.532e+04	1.602e+04	1.019e+04	9.624e+03	1.262e+04	2.405e+04	1.482e+04	1.836e+04	1.122e+04	1.881e+04	4.658e+03	1.848e+04	1.878e+04	1.169e+04
		150000	1.464e+05	1.089e+05	1.368e+05	6.985e+04	8.366e+04	1.570e+05	7.460e+04	9.872e+04	8.061e+04	2.117e+05	1.995e+05	1.884e+05	1.328e+05	1.148e+05	1.658e+05	1.449e+05	1.604e+05	1.082e+05	1.497e+05	1.302e+05	1.255e+05	1.348e+05	1.603e+05	1.470e+05	2.090e+05	1.128e+05	1.283e+05	1.500e+05	1.580e+05	7.054e+04	9.720e+04	7.856e+04	2.301e+05	4.960e+04	1.346e+05	1.474e+05	8.765e+04	1.647e+05	8.464e+04	1.226e+05	2.209e+05	1.381e+05	5.676e+04	9.286e+04	1.914e+05	8.121e+04	2.201e+05	1.497e+05	1.735e+05	1.515e+05	1.580e+05	1.028e+05	9.547e+04	1.313e+05	2.485e+05	1.490e+05	1.998e+05	1.145e+05	2.224e+05	5.467e+04	1.880e+05	1.753e+05	1.458e+05
		150000	1.673e+05	1.092e+05	1.570e+05	9.067e+04	8.700e+04	1.717e+05	7.919e+04	1.204e+05	8.795e+04	2.496e+05	2.170e+05	1.955e+05	1.115e+05	1.163e+05	1.583e+05	1.485e+05	1.901e+05	1.261e+05	1.912e+05	1.364e+05	1.485e+05	1.554e+05	1.733e+05	1.628e+05	2.360e+05	1.432e+05	1.423e+05	1.515e+05	2.018e+05	7.357e+04	1.108e+05	7.989e+04	2.392e+05	5.985e+04	1.560e+05	1.551e+05	9.424e+04	1.726e+05	8.913e+04	1.515e+05	2.419e+05	1.523e+05	5.957e+04	1.047e+05	2.224e+05	9.498e+04	2.347e+05	1.572e+05	1.969e+05	1.704e+05	1.862e+05	1.220e+05	1.147e+05	1.424e+05	2.841e+05	1.840e+05	2.207e+05	1.379e+05	2.264e+05	5.599e+04	2.161e+05	2.139e+05	1.558e+05
		150000	1.649e+05	9.670e+04	1.518e+05	7.936e+04	7.642e+04	1.663e+05	7.547e+04	1.240e+05	8.551e+04	2.415e+05	2.198e+05	1.848e+05	1.335e+05	1.130e+05	1.931e+05	1.400e+05	1.827e+05	1.393e+05	1.370e+05	1.328e+05	1.101e+05	1.316e+05	1.657e+05	1.510e+05	2.111e+05	1.175e+05	1.365e+05	1.402e+05	1.611e+05	7.106e+04	1.088e+05	8.328e+04	2.262e+05	4.860e+04	1.536e+05	1.754e+05	8.733e+04	1.680e+05	8.587e+04	1.442e+05	2.312e+05	1.447e+05	5.547e+04	9.704e+04	2.086e+05	9.376e+04	2.069e+05	1.321e+05	1.649e+05	1.798e+05	1.574e+05	1.133e+05	1.080e+05	1.550e+05	2.596e+05	1.816e+05	2.122e+05	9.225e+04	1.933e+05	4.604e+04	1.945e+05	1.775e+05	1.493e+05
																																																																	
																																																																	
		1.1760912590556813	0.911850	0.695482	1.189771	0.150756	0.357935	0.922258	0.616686	0.752970	0.392345	1.066699	1.320769	1.048442	1.049606	0.723374	1.111934	0.931509	0.925157	0.808143	1.040207	0.946894	0.816175	1.029789	1.187803	0.925931	1.250420	1.052309	0.685652	1.231979	1.296884	0.562055	0.825491	0.690905	1.362105	0.630835	1.583765	0.879841	0.637890	0.812579	0.689131	1.132580	1.378580	1.106191	0.615740	0.560265	1.256718	1.117271	1.269980	1.023252	1.299289	1.007748	0.874250	0.759743	0.733598	1.063709	1.479431	1.077731	1.212720	1.074451	1.415140	0.301898	0.953953	1.284431	1.007748
		1.1760912590556813	1.201397	0.808616	0.900149	1.002598	0.657534	0.995240	0.259594	0.937418	0.540830	0.920853	1.402777	1.252853	0.994449	0.822103	1.165244	0.941263	1.072617	1.043755	1.088136	1.071514	1.036629	1.108227	0.979457	1.286905	1.307496	1.014940	0.964118	1.238799	0.983175	0.808143	0.648653	0.642959	1.481872	0.653598	1.198932	0.974512	0.401056	1.092370	0.597914	1.127105	1.207904	0.797475	0.634074	0.744293	1.222976	1.114277	1.088845	0.953470	1.021189	1.222196	1.060320	0.820464	0.882980	0.986727	1.143015	1.301681	1.295347	0.721481	1.072617	0.295347	0.986817	1.055378	1.055378
		1.1760912590556813	1.272538	0.744449	1.118926	0.511750	0.586700	1.021189	0.862430	1.002598	0.694605	1.195346	0.926394	1.232488	0.975478	0.898944	1.111263	0.909289	1.309843	0.759743	1.056905	0.792882	0.905202	0.863025	1.129368	1.146128	1.229170	1.072985	1.102434	1.059563	1.297542	0.220631	0.828724	0.518119	1.384353	0.552790	1.025306	1.090611	0.644832	0.915453	0.913019	0.720077	1.178113	0.813514	0.544440	0.464340	1.066326	0.393400	1.346549	1.016616	1.007748	1.154120	0.970904	0.943495	0.868644	0.977769	1.431364	1.267875	1.148603	0.835944	1.154424	0.459242	0.929879	1.322839	0.970533
		2.1760912590556813	2.084576	1.824126	1.994097	1.680245	1.614475	1.960471	1.675962	1.946600	1.549003	2.151982	2.207634	2.149219	1.953856	1.840232	2.157154	1.989717	2.115611	1.839415	2.016616	1.941710	1.875061	2.040602	2.146128	1.958898	2.212454	1.883661	1.945173	2.128076	2.140194	1.518119	1.727216	1.632660	2.214579	1.459694	1.987532	2.039414	1.590173	2.120574	1.670988	1.905958	2.238799	1.976029	1.514548	1.591399	2.058046	1.691612	2.118265	2.077368	2.180986	1.997037	2.109916	1.918921	1.810636	2.008174	2.273464	2.129045	2.175512	1.865637	2.264818	1.339650	2.116940	2.175222	1.910678
		2.1760912590556813	2.033021	1.762078	2.093422	1.625004	1.361728	2.114944	1.766264	1.888853	1.602603	2.281715	2.225568	2.180413	1.934094	1.897187	2.206286	1.897132	2.175222	1.901840	2.099335	2.007748	1.912435	2.090258	2.163758	2.053078	2.228913	2.007321	1.874250	2.033424	2.199481	1.387923	1.765221	1.715836	2.229682	1.605951	2.062582	2.141450	1.656194	2.035830	1.734800	1.946403	2.295567	1.981683	1.400020	1.802226	2.123852	1.749195	2.137671	2.037028	2.201670	2.098644	2.035430	1.889470	1.898396	1.939968	2.324077	2.128076	2.204391	1.880127	2.199755	1.249443	2.199755	2.310268	1.981184
		2.1760912590556813	2.153205	1.860278	2.074816	1.728922	1.688953	2.082426	1.696094	1.972619	1.573684	2.235023	2.208441	2.178401	2.036230	1.909823	2.172019	1.978683	2.155640	1.867821	1.992951	1.875871	1.839667	1.960709	2.119586	2.088845	2.202216	1.952792	1.925157	2.167022	2.193125	1.547898	1.856910	1.747489	2.211121	1.596267	2.006038	2.117271	1.698449	2.130655	1.565848	1.974235	2.270679	1.989539	1.476107	1.863263	2.117934	1.764176	2.174351	2.095866	2.200303	2.171726	2.107549	1.879784	1.754425	1.968716	2.340642	2.065580	2.169968	1.890756	2.173478	1.324488	2.154728	2.288696	1.993877
		3.1760912590556813	3.173769	2.932778	3.125806	2.836767	2.809694	3.116276	2.784403	3.041787	2.723866	3.310693	3.290702	3.265290	3.067815	3.028164	3.198932	3.072617	3.225309	3.023252	3.125806	3.026942	3.065580	3.135133	3.225309	3.120574	3.269046	3.100026	3.038223	3.172311	3.221414	2.755951	2.857574	2.822626	3.324899	2.697142	3.167908	3.215373	2.877659	3.188366	2.791620	3.049993	3.377852	3.077731	2.690373	2.913973	3.283979	2.918869	3.279667	3.132900	3.269046	3.168497	3.219585	3.003461	2.937217	3.049218	3.382917	3.206826	3.309204	3.036629	3.275542	2.582063	3.264109	3.305996	3.133858
		3.1760912590556813	3.126781	2.868997	3.077731	2.771146	2.632559	3.122544	2.771734	2.989939	2.713323	3.274850	3.241048	3.248219	3.052309	2.925209	3.202216	2.994141	3.177248	2.925982	3.081347	3.041787	3.029789	3.143951	3.131939	3.082785	3.230193	3.075182	2.984212	3.135769	3.209783	2.717920	2.837399	2.808211	3.253338	2.674494	3.132900	3.138934	2.755189	3.155943	2.784902	3.023664	3.334051	3.076640	2.600864	2.783904	3.252610	2.848559	3.221153	3.083861	3.232996	3.128399	3.161368	2.976258	2.927422	3.071145	3.363800	3.145196	3.300595	3.037825	3.282169	2.503382	3.191730	3.197281	3.060698
		3.1760912590556813	3.173186	2.786254	3.117271	2.813181	2.773201	3.162863	2.782544	2.972388	2.776047	3.304059	3.227887	3.226600	3.067443	2.975707	3.226600	3.014100	3.209515	2.980776	3.108903	2.905688	3.053846	3.118265	3.174060	3.088845	3.243534	3.091667	2.936765	3.153205	3.207365	2.639287	2.860098	2.824451	3.316180	2.685831	3.124504	3.134177	2.788875	3.162266	2.815378	3.056905	3.335257	3.054230	2.612042	2.895091	3.203848	2.780821	3.235528	3.121888	3.241546	3.188928	3.184407	3.017451	2.937819	3.059185	3.371622	3.190612	3.293141	2.988737	3.259116	2.453930	3.232488	3.273696	3.076640
		4.176091259055681	4.137037	3.950608	4.083144	3.816838	3.808818	4.132900	3.776265	3.971276	3.805841	4.242044	4.266702	4.192567	4.019116	3.911903	4.209515	4.012415	4.111599	4.009026	4.056142	4.000868	4.033826	4.075182	4.148603	4.081347	4.271144	4.040998	4.037825	4.092018	4.192010	3.672744	3.901186	3.831998	4.296226	3.665393	4.086004	4.156246	3.827434	4.133539	3.820530	4.036629	4.279667	4.087781	3.612890	3.901458	4.243286	3.872040	4.241297	4.080266	4.211921	4.150756	4.164650	3.996643	3.945715	4.068186	4.354108	4.151063	4.271609	4.011147	4.250176	3.661434	4.226858	4.230193	4.073352
		4.176091259055681	4.158061	3.978637	4.094820	3.848620	3.806858	4.104487	3.769377	3.962937	3.815179	4.278296	4.275772	4.192010	4.001301	3.953760	4.204120	4.056905	4.184691	3.992730	4.031408	4.023664	4.039811	4.014940	4.174351	4.092018	4.285557	4.065206	4.022016	4.102091	4.217747	3.732876	3.913231	3.809560	4.299071	3.659536	4.128076	4.125156	3.814314	4.145196	3.840733	4.020361	4.282169	4.069298	3.634276	3.902221	4.260548	3.842734	4.261263	4.077368	4.204934	4.137987	4.167022	3.992863	3.886378	4.006038	4.352183	4.127753	4.281942	3.990561	4.252368	3.553519	4.229426	4.177248	4.092721
		4.176091259055681	4.161068	3.964118	4.135133	3.847943	3.871631	4.129368	3.799409	4.016197	3.828724	4.279439	4.296007	4.226084	4.013259	3.996731	4.196176	4.049993	4.254064	3.980458	3.997779	4.005181	4.081707	4.139564	4.200850	4.123198	4.302331	4.091667	4.067071	4.109579	4.248464	3.740205	3.942256	3.895146	4.302331	3.705179	4.117934	4.213518	3.874945	4.187521	3.868586	4.063333	4.290925	4.116276	3.611511	3.956745	4.260787	3.848989	4.281261	4.086360	4.248219	4.185259	4.204663	4.008174	3.983356	4.101059	4.381115	4.170848	4.263873	4.049993	4.274389	3.668199	4.266702	4.273696	4.067815
		5.176091259055681	5.165541	5.037028	5.136086	4.844166	4.922518	5.195900	4.872739	4.994405	4.906389	5.325721	5.299943	5.275081	5.123198	5.059942	5.219585	5.161068	5.205204	5.034227	5.175222	5.114611	5.098644	5.129690	5.204934	5.167317	5.320146	5.052309	5.108227	5.176091	5.198657	4.848435	4.987666	4.895201	5.361917	4.695482	5.129045	5.168497	4.942752	5.216694	4.927576	5.088490	5.344196	5.140194	4.754042	4.967829	5.281942	4.909610	5.342620	5.175222	5.239299	5.180413	5.198657	5.011993	4.979867	5.118265	5.395326	5.173186	5.300595	5.058805	5.347135	4.737749	5.274158	5.243782	5.163758
		5.176091259055681	5.223496	5.038223	5.195900	4.957464	4.939519	5.234770	4.898670	5.080626	4.944236	5.397245	5.336460	5.291147	5.047275	5.065580	5.199481	5.171726	5.278982	5.100715	5.281488	5.134814	5.171726	5.191451	5.238799	5.211654	5.372912	5.155943	5.153205	5.180413	5.304921	4.866701	5.044540	4.902492	5.378761	4.777064	5.193125	5.190612	4.974235	5.237041	4.950024	5.180413	5.383636	5.182700	4.775028	5.019947	5.347135	4.977632	5.370513	5.196453	5.294246	5.231470	5.269980	5.086360	5.059563	5.153510	5.453471	5.264818	5.343802	5.139564	5.354876	4.748110	5.334655	5.330211	5.192567
		5.176091259055681	5.217221	4.985426	5.181272	4.899602	4.883207	5.220892	4.877774	5.093422	4.932017	5.382917	5.342028	5.266702	5.125481	5.053078	5.285782	5.146128	5.261739	5.143951	5.136721	5.123198	5.041787	5.119256	5.219323	5.178977	5.324488	5.070038	5.135133	5.146748	5.207096	4.851625	5.036629	4.920541	5.354493	4.686636	5.186391	5.244030	4.941163	5.225309	4.933841	5.158965	5.363988	5.160469	4.744058	4.986951	5.319314	4.972018	5.315760	5.120903	5.217221	5.254790	5.197005	5.054230	5.033424	5.190332	5.414305	5.259116	5.326745	4.964966	5.286232	4.663135	5.288920	5.249198	5.174060
																																																																	
		steyx	0.083764	0.044847	0.068559	0.173904	0.105055	0.046702	0.124691	0.063226	0.067416	0.077856	0.102162	0.053327	0.046141	0.053382	0.028029	0.037319	0.086018	0.072334	0.066899	0.073079	0.069223	0.070461	0.049777	0.088631	0.036638	0.059472	0.090925	0.059192	0.077409	0.135340	0.055672	0.051208	0.076140	0.058020	0.143289	0.063702	0.069928	0.074203	0.087403	0.103514	0.055312	0.071354	0.078963	0.091245	0.065792	0.178494	0.072462	0.037561	0.073884	0.064640	0.059385	0.046987	0.056520	0.046453	0.077831	0.072719	0.045034	0.086662	0.076826	0.078953	0.059083	0.074671	0.049484
																																																																	
		1.1760912590556813	1.128595	0.749516	1.069615	0.555035	0.534056	0.979563	0.579570	0.897662	0.542593	1.060966	1.216647	1.177928	1.006511	0.814807	1.129480	0.927353	1.102539	0.870547	1.061749	0.937097	0.919335	1.000347	1.098876	1.119655	1.262362	1.046745	0.917401	1.176780	1.192534	0.530276	0.767623	0.617327	1.409444	0.612408	1.269334	0.981654	0.561259	0.940134	0.733355	0.993254	1.254865	0.905727	0.598085	0.589633	1.182007	0.874983	1.235124	0.997779	1.109409	1.128021	0.968491	0.841234	0.828408	1.009402	1.351270	1.215763	1.218890	0.877292	1.214061	0.352162	0.956883	1.220883	1.011220
		2.1760912590556813	2.090268	1.815494	2.054112	1.678057	1.555052	2.052614	1.712773	1.936024	1.575096	2.222907	2.213881	2.169344	1.974727	1.882414	2.178486	1.955177	2.148824	1.869692	2.036301	1.941776	1.875721	2.030523	2.143157	2.033607	2.214528	1.947925	1.914860	2.109507	2.177600	1.484647	1.783116	1.698662	2.218460	1.553971	2.018717	2.099378	1.648272	2.095686	1.657212	1.942199	2.268348	1.982417	1.463558	1.752296	2.099944	1.734994	2.143429	2.070087	2.194320	2.089136	2.084298	1.896058	1.821152	1.972286	2.312728	2.107567	2.183290	1.878840	2.212684	1.304527	2.157141	2.258062	1.961913
		3.1760912590556813	3.157912	2.862676	3.106936	2.807031	2.738485	3.133894	2.779561	3.001371	2.737745	3.296534	3.253212	3.246703	3.062522	2.976360	3.209249	3.026953	3.204024	2.976670	3.105352	2.991472	3.049739	3.132449	3.177103	3.097401	3.247591	3.088958	2.986400	3.153761	3.212854	2.704386	2.851690	2.818429	3.298139	2.685822	3.141771	3.162828	2.807241	3.168858	2.797300	3.043521	3.349054	3.069534	2.634426	2.864322	3.246813	2.849416	3.245450	3.112883	3.247863	3.161942	3.188453	2.999057	2.934152	3.059849	3.372780	3.180878	3.300980	3.021064	3.272275	2.513125	3.229442	3.258991	3.090399
		4.176091259055681	4.152056	3.964454	4.104366	3.837800	3.829103	4.122251	3.781684	3.983470	3.816581	4.266593	4.279494	4.203554	4.011225	3.954131	4.203270	4.039771	4.183451	3.994071	4.028443	4.009904	4.051781	4.076562	4.174601	4.098855	4.286344	4.065957	4.042304	4.101229	4.219407	3.715275	3.918891	3.845568	4.299209	3.676703	4.110671	4.164973	3.838898	4.155419	3.843283	4.040108	4.284253	4.091118	3.619559	3.920141	4.254874	3.854588	4.261274	4.081331	4.221691	4.158001	4.178778	3.999227	3.938483	4.058428	4.362469	4.149888	4.272475	4.017234	4.258977	3.627717	4.240995	4.227046	4.077962
