		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15000	2.764e-06	1.877e-06	2.108e-10	3.116e-06	6.320e-06	2.908e-06	1.508e-06	8.962e-07	1.704e-06	7.078e-06	7.156e-07	5.979e-06	2.742e-06	2.526e-06	8.174e-06	6.903e-06	5.870e-06	2.577e-06	7.715e-07	3.031e-07	5.031e-06	1.323e-06	4.027e-06	3.358e-06	5.387e-07	1.674e-06	1.524e-06	3.334e-06	2.653e-06	2.177e-07	6.954e-07	4.801e-06	7.727e-07	5.902e-06	5.058e-07	5.585e-06	7.377e-06	4.065e-06	5.988e-06	1.537e-06	4.296e-06	6.244e-06	3.823e-06	2.018e-06	2.229e-06	4.759e-06	4.125e-07	5.958e-06	1.866e-06	2.782e-06	2.736e-06	4.082e-06	5.002e-07	4.797e-08	1.860e-06	3.850e-06	5.378e-06	4.647e-06	2.555e-06	4.921e-06	1.068e-07	3.191e-06	7.406e-06	5.238e-06
	15000	3.172e-06	1.545e-06	1.930e-11	3.475e-06	4.777e-06	2.651e-06	2.603e-06	8.498e-07	1.636e-06	8.055e-06	7.639e-07	6.026e-06	3.009e-06	2.684e-06	8.317e-06	5.530e-06	6.074e-06	3.039e-06	7.121e-07	5.164e-08	4.788e-06	1.344e-06	4.444e-06	4.481e-06	5.108e-07	1.804e-06	1.615e-06	4.257e-06	2.480e-06	2.175e-07	6.178e-07	4.608e-06	8.754e-07	5.141e-06	5.361e-07	5.011e-06	9.290e-06	4.055e-06	6.967e-06	1.743e-06	4.473e-06	6.672e-06	3.999e-06	2.162e-06	2.216e-06	4.183e-06	4.075e-07	6.479e-06	2.233e-06	2.622e-06	2.931e-06	4.462e-06	5.367e-07	3.655e-08	3.141e-06	4.325e-06	4.667e-06	4.262e-06	2.990e-06	3.594e-06	1.191e-07	3.319e-06	5.404e-06	5.239e-06
	150000	2.628e-05	1.617e-05	3.496e-08	3.161e-05	4.128e-05	2.172e-05	1.806e-05	9.016e-06	1.775e-05	6.959e-05	6.837e-06	4.560e-05	2.135e-05	2.100e-05	5.528e-05	5.475e-05	5.129e-05	3.691e-05	6.490e-06	2.842e-06	3.998e-05	1.981e-05	2.235e-05	3.567e-05	4.865e-06	1.503e-05	1.797e-05	2.978e-05	1.891e-05	2.690e-06	6.757e-06	3.871e-05	7.267e-06	4.423e-05	5.823e-06	5.230e-05	8.276e-05	3.072e-05	4.581e-05	1.273e-05	3.132e-05	3.999e-05	2.996e-05	1.729e-05	1.662e-05	3.458e-05	5.487e-06	5.865e-05	1.480e-05	3.096e-05	2.454e-05	2.900e-05	3.748e-06	1.261e-06	2.803e-05	2.987e-05	4.004e-05	3.001e-05	2.008e-05	3.414e-05	1.765e-06	2.489e-05	5.581e-05	4.220e-05
	150000	2.893e-05	1.352e-05	6.451e-09	3.511e-05	4.497e-05	2.361e-05	2.032e-05	7.838e-06	1.371e-05	6.439e-05	8.357e-06	5.082e-05	2.409e-05	1.922e-05	6.151e-05	4.917e-05	5.166e-05	2.845e-05	6.106e-06	3.136e-06	3.782e-05	1.186e-05	3.231e-05	4.954e-05	4.220e-06	1.314e-05	1.254e-05	3.270e-05	2.590e-05	2.439e-06	7.504e-06	3.613e-05	9.790e-06	4.580e-05	4.956e-06	4.562e-05	8.811e-05	3.080e-05	5.039e-05	1.351e-05	3.533e-05	5.616e-05	3.472e-05	1.721e-05	1.982e-05	3.831e-05	5.011e-06	5.365e-05	1.694e-05	2.512e-05	2.652e-05	3.206e-05	4.679e-06	5.276e-07	2.353e-05	2.990e-05	3.845e-05	3.135e-05	3.162e-05	3.340e-05	2.126e-06	3.311e-05	4.663e-05	4.440e-05
	150000	2.894e-05	1.416e-05	1.063e-08	2.592e-05	4.168e-05	2.132e-05	2.261e-05	1.004e-05	1.446e-05	5.839e-05	7.783e-06	5.396e-05	2.551e-05	2.162e-05	6.545e-05	6.011e-05	4.900e-05	2.639e-05	6.680e-06	6.682e-06	3.696e-05	4.128e-05	3.196e-05	5.616e-05	4.303e-06	1.463e-05	2.797e-05	3.531e-05	2.260e-05	3.942e-06	6.608e-06	3.587e-05	7.004e-06	4.304e-05	8.075e-06	4.347e-05	6.496e-05	3.296e-05	5.119e-05	1.157e-05	3.718e-05	5.209e-05	3.225e-05	1.844e-05	1.768e-05	3.579e-05	5.227e-06	9.562e-05	2.711e-05	6.451e-05	3.135e-05	3.494e-05	4.798e-06	5.283e-07	2.587e-05	3.951e-05	4.745e-05	4.455e-05	7.337e-05	6.290e-05	2.454e-06	3.095e-05	7.916e-05	3.771e-05
																																																																	
																																																																	
	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)
	150000	2.805e-05	1.462e-05	1.735e-08	3.088e-05	4.264e-05	2.222e-05	2.033e-05	8.965e-06	1.531e-05	6.412e-05	7.659e-06	5.013e-05	2.365e-05	2.061e-05	6.075e-05	5.468e-05	5.065e-05	3.058e-05	6.425e-06	4.220e-06	3.825e-05	2.432e-05	2.887e-05	4.712e-05	4.463e-06	1.427e-05	1.949e-05	3.260e-05	2.247e-05	3.024e-06	6.956e-06	3.690e-05	8.020e-06	4.436e-05	6.285e-06	4.713e-05	7.861e-05	3.149e-05	4.913e-05	1.260e-05	3.461e-05	4.941e-05	3.231e-05	1.765e-05	1.804e-05	3.623e-05	5.242e-06	6.931e-05	1.962e-05	4.020e-05	2.747e-05	3.200e-05	4.408e-06	7.723e-07	2.581e-05	3.309e-05	4.198e-05	3.530e-05	4.169e-05	4.348e-05	2.115e-06	2.965e-05	6.053e-05	4.144e-05
																																																																	
																																																																	
	0.0001	0.000211	0.000370	0.000143	0.000247	0.000141	0.000157	0.000182	0.000393	0.000154	0.000262	0.000079	0.000489	0.000164	0.000303	0.000388	0.000279	0.000330	0.000140	0.000240	0.000082	0.000308	0.000100	0.000356	0.000226	0.000089	0.000162	0.000131	0.000220	0.000274	0.000124	0.000223	0.000321	0.000131	0.000345	0.000187	0.001518	0.000155	0.000313	0.000103	0.000500	0.000541	0.000225	0.000361	0.000337	0.000170	0.000371	0.000390	0.000366	0.000194	0.000145	0.000152	0.000242	0.000190	0.000094	0.000199	0.000294	0.000272	0.000233	0.000170	0.000282	0.000060	0.000238	0.000261	0.000353
	0.0001	0.000359	0.000538	0.000157	0.000163	0.000458	0.000316	0.000211	0.000125	0.000203	0.000213	0.000086	0.000444	0.000467	0.000228	0.000530	0.000295	0.000366	0.000322	0.000292	0.000042	0.000462	0.000097	0.000332	0.000077	0.000214	0.000188	0.000135	0.000500	0.000444	0.000085	0.000496	0.000237	0.000120	0.000483	0.000162	0.000461	0.000247	0.000193	0.000338	0.000161	0.000390	0.000302	0.000247	0.000173	0.000223	0.000282	0.000361	0.000309	0.000183	0.000110	0.000289	0.000264	0.000286	0.000084	0.000134	0.000154	0.000299	0.000310	0.000123	0.000183	0.000046	0.000264	0.000213	0.000348
	0.0001	0.000415	0.000383	0.000462	0.000258	0.000235	0.000208	0.000178	0.000446	0.000274	0.000332	0.000157	0.000211	0.000362	0.000219	0.000794	0.000305	0.000361	0.000331	0.000161	0.000078	0.000325	0.000087	0.000224	0.000167	0.000277	0.000195	0.000155	0.000503	0.000349	0.000156	0.000100	0.000331	0.000110	0.000486	0.000165	0.000281	0.000269	0.000325	0.000172	0.001004	0.000150	0.000271	0.000216	0.000157	0.000147	0.000238	0.000072	0.000466	0.000196	0.000113	0.000384	0.000273	0.000207	0.000117	0.000165	0.000275	0.000284	0.000197	0.000102	0.000216	0.000055	0.000247	0.000313	0.000382
	0.001	0.001970	0.002148	0.314348	0.001951	0.001685	0.001357	0.001537	0.003599	0.001622	0.002712	0.000866	0.002119	0.001963	0.001625	0.002619	0.001672	0.001785	0.001472	0.001645	0.000824	0.002713	0.000558	0.002205	0.001196	0.001856	0.001471	0.001123	0.002129	0.001583	0.001144	0.001034	0.001925	0.001064	0.002252	0.001329	0.001922	0.001948	0.002232	0.002131	0.001894	0.002446	0.002627	0.002377	0.001531	0.002183	0.001583	0.001341	0.001470	0.001538	0.001476	0.002117	0.001562	0.001599	0.000871	0.001748	0.002232	0.001674	0.001693	0.000994	0.001487	0.000477	0.002502	0.001829	0.002734
	0.001	0.002477	0.002118	0.000239	0.001703	0.002151	0.002139	0.001787	0.002160	0.001847	0.002216	0.000978	0.002406	0.001901	0.002247	0.002774	0.002659	0.002138	0.001390	0.001891	0.000631	0.002206	0.000507	0.001703	0.001261	0.004533	0.001161	0.000995	0.002459	0.002308	0.001020	0.001738	0.002262	0.001330	0.002246	0.001394	0.001802	0.001763	0.002377	0.002012	0.001346	0.002014	0.002511	0.002321	0.001350	0.002288	0.001605	0.001191	0.001910	0.001740	0.001496	0.002329	0.002388	0.001488	0.000441	0.001753	0.001773	0.001534	0.001759	0.001056	0.001580	0.000449	0.001862	0.002169	0.002580
	0.001	0.002245	0.002003	0.000105	0.001560	0.001192	0.001812	0.001326	0.002482	0.001731	0.001644	0.000872	0.002374	0.002153	0.001782	0.002808	0.002171	0.001877	0.001330	0.000956	0.000760	0.002611	0.000531	0.002412	0.001194	0.001068	0.000751	0.000891	0.002549	0.001719	0.001093	0.001793	0.001743	0.000900	0.002097	0.001091	0.001816	0.001693	0.001617	0.002485	0.001911	0.002098	0.002491	0.002333	0.001807	0.001174	0.001503	0.001056	0.001432	0.001973	0.001214	0.001783	0.002080	0.001609	0.000622	0.002042	0.001459	0.001707	0.001768	0.001047	0.001950	0.000321	0.002217	0.001475	0.001868
	0.01	0.019512	0.012766	0.000241	0.012209	0.016547	0.015619	0.011953	0.014702	0.014321	0.016531	0.008360	0.019114	0.016169	0.014073	0.013737	0.017090	0.019038	0.013720	0.016871	0.006905	0.018524	0.006325	0.018876	0.015005	0.012461	0.011418	0.009665	0.020321	0.014829	0.008113	0.011558	0.014931	0.011221	0.018038	0.011810	0.015052	0.017097	0.019687	0.018001	0.012330	0.014661	0.018471	0.018298	0.015266	0.015044	0.018495	0.012101	0.015641	0.014218	0.009008	0.013735	0.018387	0.016986	0.004342	0.010783	0.014671	0.017289	0.017415	0.009926	0.004818	0.003265	0.020617	0.012601	0.019953
	0.01	0.016578	0.016659	0.000521	0.014398	0.017445	0.013994	0.015303	0.016565	0.011818	0.016328	0.008894	0.015704	0.014998	0.014719	0.012534	0.020045	0.016456	0.011304	0.011338	0.004656	0.016856	0.005490	0.018675	0.013870	0.014778	0.011334	0.008003	0.017606	0.014829	0.008632	0.009509	0.013714	0.010948	0.015265	0.013665	0.014454	0.013535	0.017547	0.018213	0.013544	0.015747	0.020237	0.017029	0.014048	0.011729	0.017244	0.012113	0.012524	0.012413	0.015748	0.016265	0.013141	0.014030	0.007391	0.014084	0.011289	0.013876	0.013863	0.008191	0.013137	0.003868	0.017275	0.012278	0.016985
	0.01	0.018699	0.015263	0.001906	0.010408	0.018183	0.018977	0.015686	0.016710	0.013628	0.016328	0.010853	0.018036	0.016321	0.016974	0.014779	0.017664	0.019500	0.014089	0.010991	0.005979	0.014731	0.005404	0.016742	0.011203	0.012640	0.012133	0.008608	0.015738	0.014522	0.009631	0.011016	0.015091	0.011457	0.017438	0.010618	0.013518	0.017021	0.017712	0.016927	0.013742	0.017397	0.019335	0.016970	0.012331	0.014540	0.017379	0.010987	0.013989	0.014457	0.010787	0.016007	0.016178	0.013114	0.005236	0.014870	0.014069	0.014069	0.015964	0.009408	0.013066	0.004444	0.017332	0.014719	0.018119
	0.1	0.109483	0.090513	0.050868	0.101133	0.098280	0.114689	0.103591	0.102369	0.107927	0.131044	0.083679	0.123647	0.122241	0.120068	0.120879	0.112845	0.108253	0.089330	0.105660	0.053697	0.119022	0.051857	0.107227	0.068735	0.079907	0.116706	0.060482	0.122835	0.118514	0.063664	0.129709	0.113486	0.080234	0.019030	0.093832	0.086909	0.101997	0.134441	0.111907	0.101719	0.117105	0.117843	0.124048	0.111692	0.102993	0.109919	0.098785	0.189881	0.096143	0.067941	0.103240	0.128344	0.092053	0.049864	0.128904	0.117154	0.101739	0.109763	0.069009	0.066007	0.057116	0.117707	0.078700	0.106983
	0.1	0.098538	0.128415	0.012152	0.100907	0.148206	0.130893	0.074176	0.099970	0.111324	0.110381	0.093433	0.119278	0.115941	0.122542	0.134559	0.126251	0.115893	0.084262	0.120072	0.071825	0.131518	0.054407	0.139471	0.071260	0.120713	0.117336	0.078181	0.102280	0.118069	0.071999	0.099966	0.130097	0.096343	0.133058	0.080482	0.118502	0.093843	0.129075	0.121881	0.121952	0.124126	0.126363	0.118323	0.114356	0.123559	0.131367	0.078696	0.085966	0.095123	0.069210	0.099600	0.127562	0.113467	0.062113	0.072065	0.116338	0.128109	0.131631	0.061286	0.113178	0.050496	0.107622	0.122346	0.126410
	0.1	0.113084	0.105701	0.001113	0.112532	0.112022	0.119325	0.128037	0.094794	0.106882	0.125617	0.099739	0.120215	0.127230	0.130207	0.136913	0.101140	0.119921	0.099368	0.110827	0.012237	0.125166	0.055271	0.153914	0.095091	0.114461	0.126449	0.082849	0.130596	0.110369	0.071933	0.088811	0.124867	0.109148	0.115901	0.085303	0.106323	0.118178	0.128757	0.141807	0.138297	0.129240	0.135024	0.123770	0.122516	0.122838	0.115467	0.077742	0.093483	0.113832	0.065229	0.106698	0.139437	0.121747	0.047326	0.121697	0.130691	0.111172	0.120725	0.071720	0.082659	0.056312	0.111939	0.089273	0.126434
	1.0	0.936898	1.106271	2.015334	1.023640	0.968029	0.977644	0.888342	1.005726	1.159625	1.085252	0.892675	0.909695	0.902748	1.018758	0.910009	1.001341	1.012636	1.206866	1.010064	0.673460	1.045138	0.814668	0.774071	0.756950	1.090155	1.053505	0.921854	0.913590	0.841567	0.889648	0.971345	1.048957	0.906072	0.997144	0.926541	1.109697	1.052792	0.975445	0.932424	1.010050	0.904941	0.809296	0.927267	0.979788	0.921286	0.954545	1.046804	0.846239	0.754460	0.770213	0.893338	0.906250	0.850208	1.632785	1.086013	0.902599	0.953788	0.850061	0.481650	0.785189	0.834515	0.839460	0.921971	1.018422
	1.0	1.031373	0.924971	0.371880	1.136982	1.054561	1.062716	0.999508	0.874321	0.895688	1.004159	1.091135	1.013832	1.018605	0.932406	1.012566	0.899287	1.019941	0.930245	0.950301	0.743128	0.988672	0.487731	1.119026	1.051284	0.945623	0.921028	0.643297	1.003170	1.152648	0.806637	1.078729	0.979044	1.220648	1.032539	0.788586	0.967961	1.120850	0.977985	1.025646	1.071939	1.020803	1.136535	1.074590	0.975255	1.098670	1.057508	0.955994	0.774096	0.863551	0.624927	0.965417	1.001875	1.061399	0.683154	0.911662	0.903505	0.915912	0.888018	0.758455	0.768169	1.005201	1.116695	0.770319	1.071515
	1.0	1.031729	0.968757	0.612786	0.839378	0.977410	0.959640	1.112150	1.119952	0.944686	0.910589	1.016190	1.076473	1.078647	1.048836	1.077425	1.099372	0.967423	0.862888	1.039635	1.583412	0.966190	1.697601	1.106904	1.191766	0.964222	1.025467	1.434850	1.083240	1.005785	1.303715	0.949926	0.971999	0.873280	0.970316	1.284873	0.922342	0.826358	1.046571	1.041930	0.918011	1.074256	1.054169	0.998143	1.044957	0.980044	0.987946	0.997202	1.379665	1.381988	1.604859	1.141245	1.091875	1.088393	0.684061	1.002325	1.193896	1.130300	1.261920	1.759894	1.446642	1.160284	1.043845	1.307709	0.910064
																																																																	
scaled(min)	0.0001	0.000328	0.000431	0.000254	0.000223	0.000278	0.000227	0.000190	0.000321	0.000210	0.000269	0.000107	0.000381	0.000331	0.000250	0.000571	0.000293	0.000352	0.000265	0.000231	0.000067	0.000365	0.000094	0.000304	0.000157	0.000193	0.000182	0.000140	0.000408	0.000355	0.000122	0.000273	0.000296	0.000120	0.000438	0.000171	0.000754	0.000223	0.000277	0.000205	0.000555	0.000360	0.000266	0.000275	0.000222	0.000180	0.000297	0.000274	0.000380	0.000191	0.000123	0.000275	0.000260	0.000228	0.000098	0.000166	0.000241	0.000285	0.000246	0.000131	0.000227	0.000054	0.000250	0.000262	0.000361
scaled(max)	1.0	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
