			AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		15000	7.062e-07	1.084e-06	2.068e-07	6.491e-07	5.681e-07	4.771e-07	1.031e-06	4.583e-07	5.129e-07	1.053e-06	5.588e-07	5.711e-07	6.972e-07	4.885e-07	5.406e-07	1.354e-06	9.381e-07	5.866e-07	5.568e-07	5.998e-07	8.255e-07	5.211e-07	5.777e-07	7.021e-07	5.734e-07	7.904e-07	5.658e-07	7.359e-07	6.207e-07	5.889e-07	4.654e-07	7.300e-07	3.254e-07	1.639e-06	3.372e-07	6.552e-07	7.066e-07	6.444e-07	6.966e-07	4.782e-07	7.768e-07	9.654e-07	7.147e-07	2.327e-07	4.533e-07	8.717e-07	3.563e-07	1.198e-06	5.593e-07	5.795e-07	1.336e-06	7.045e-07	5.397e-07	4.598e-07	5.997e-07	9.373e-07	7.027e-07	7.535e-07	5.638e-07	6.985e-07	4.273e-07	1.286e-06	7.040e-07	7.976e-07
		15000	7.312e-07	1.058e-06	2.335e-07	7.046e-07	5.587e-07	5.231e-07	1.107e-06	4.595e-07	5.534e-07	1.006e-06	5.749e-07	6.134e-07	7.229e-07	4.894e-07	5.730e-07	1.307e-06	9.345e-07	6.587e-07	5.347e-07	4.257e-07	7.944e-07	5.691e-07	7.570e-07	7.419e-07	6.028e-07	7.994e-07	5.878e-07	7.802e-07	6.237e-07	6.275e-07	4.557e-07	7.777e-07	3.847e-07	1.638e-06	3.735e-07	6.491e-07	8.453e-07	7.119e-07	7.612e-07	4.981e-07	8.266e-07	9.934e-07	7.788e-07	2.211e-07	5.149e-07	8.467e-07	3.599e-07	1.273e-06	5.650e-07	6.251e-07	1.424e-06	7.809e-07	5.875e-07	5.413e-07	7.272e-07	9.792e-07	7.503e-07	7.482e-07	6.536e-07	7.258e-07	5.282e-07	1.371e-06	8.090e-07	7.509e-07
		150000	5.809e-06	8.953e-06	1.834e-06	5.730e-06	4.424e-06	4.769e-06	9.871e-06	4.351e-06	4.409e-06	9.245e-06	5.251e-06	5.293e-06	6.967e-06	5.129e-06	5.383e-06	1.105e-05	8.679e-06	5.261e-06	4.806e-06	5.975e-06	7.741e-06	4.873e-06	5.983e-06	6.176e-06	5.374e-06	7.563e-06	4.490e-06	7.049e-06	5.717e-06	4.802e-06	4.432e-06	6.639e-06	3.271e-06	1.450e-05	2.872e-06	5.456e-06	6.343e-06	6.180e-06	6.641e-06	4.569e-06	6.952e-06	8.951e-06	6.673e-06	2.479e-06	4.295e-06	7.690e-06	3.564e-06	1.164e-05	5.361e-06	5.559e-06	1.088e-05	6.263e-06	4.776e-06	4.597e-06	6.185e-06	8.559e-06	6.119e-06	7.139e-06	5.222e-06	7.336e-06	4.670e-06	1.114e-05	6.686e-06	7.333e-06
		150000	6.832e-06	9.065e-06	1.850e-06	6.789e-06	5.607e-06	5.058e-06	1.059e-05	4.548e-06	5.238e-06	1.091e-05	5.713e-06	5.849e-06	7.219e-06	4.349e-06	5.513e-06	1.049e-05	8.985e-06	6.316e-06	5.351e-06	6.463e-06	8.030e-06	5.444e-06	6.856e-06	6.729e-06	5.760e-06	8.036e-06	5.367e-06	7.766e-06	6.120e-06	6.338e-06	4.692e-06	7.353e-06	3.133e-06	1.501e-05	3.261e-06	6.377e-06	6.728e-06	6.701e-06	7.098e-06	4.763e-06	8.471e-06	9.937e-06	7.356e-06	2.540e-06	4.771e-06	8.793e-06	4.090e-06	1.233e-05	5.488e-06	6.290e-06	1.216e-05	7.386e-06	5.541e-06	5.361e-06	6.846e-06	9.476e-06	7.570e-06	7.629e-06	6.428e-06	7.422e-06	4.871e-06	1.247e-05	8.129e-06	7.806e-06
		150000	6.799e-06	8.130e-06	1.783e-06	6.193e-06	5.055e-06	4.445e-06	1.054e-05	4.419e-06	5.328e-06	1.072e-05	5.591e-06	5.916e-06	6.977e-06	5.212e-06	5.347e-06	1.268e-05	8.619e-06	6.036e-06	5.875e-06	5.679e-06	7.852e-06	4.288e-06	6.021e-06	6.337e-06	5.577e-06	7.635e-06	4.630e-06	7.426e-06	5.551e-06	5.303e-06	4.490e-06	7.301e-06	3.474e-06	1.424e-05	2.819e-06	6.241e-06	7.605e-06	6.389e-06	6.926e-06	4.609e-06	7.930e-06	9.533e-06	6.996e-06	2.466e-06	4.524e-06	8.314e-06	4.022e-06	1.042e-05	4.953e-06	5.151e-06	1.256e-05	6.345e-06	5.253e-06	5.164e-06	7.259e-06	8.834e-06	7.599e-06	7.553e-06	4.392e-06	6.588e-06	4.227e-06	1.137e-05	6.797e-06	7.492e-06
																																																																		
																																																																		
		1.1760912590556813	-9.117760	-8.816445	-7.421819	-8.849858	-9.541664	-9.411616	-8.810510	-9.188023	-9.231732	-8.886725	-9.283329	-9.027890	-9.038484	-9.027149	-9.227458	-8.586533	-8.815877	-9.272459	-9.148619	-8.943858	-8.833570	-9.235152	-8.957031	-8.928855	-9.167811	-8.911155	-9.013766	-9.122398	-8.861697	-8.906578	-9.149967	-8.871601	-9.375099	-8.374688	-9.211832	-8.513003	-9.123551	-8.996109	-9.214670	-9.158891	-8.698970	-8.688246	-8.833570	-9.404614	-9.389127	-8.787546	-8.929593	-8.593630	-9.079459	-8.934420	-8.612966	-9.165961	-9.167300	-9.178225	-8.900665	-8.694864	-8.932557	-8.948076	-8.876475	-8.780940	-9.200935	-8.798603	-8.846795	-8.889410
		1.1760912590556813	-8.850473	-8.711080	-7.305219	-9.112720	-8.775985	-9.168898	-8.720561	-9.530915	-9.073400	-9.028260	-9.152859	-8.951558	-8.861382	-9.082127	-9.148375	-8.544850	-8.804654	-9.093881	-8.940437	-8.981716	-8.716247	-9.029467	-8.881074	-9.101549	-8.849244	-8.824488	-9.054827	-8.876475	-8.838033	-9.196270	-8.938548	-9.028678	-9.399463	-8.266883	-9.197432	-8.872895	-9.015698	-9.194295	-8.947691	-9.258691	-8.698970	-8.824488	-9.100289	-9.376027	-9.191789	-8.844360	-8.937042	-8.748362	-9.144420	-9.184223	-8.443939	-9.018453	-9.122053	-9.060581	-9.003357	-8.996109	-8.736364	-8.862963	-9.199489	-9.091569	-9.200453	-8.738737	-9.033905	-8.851397
		1.1760912590556813	-8.777804	-8.775208	-7.235674	-8.909742	-9.221270	-9.226945	-8.705754	-8.958607	-8.988853	-8.783306	-9.016599	-9.395234	-8.882066	-9.117077	-9.068440	-8.597395	-8.828859	-8.885723	-9.193684	-8.925184	-8.949620	-9.166088	-9.094690	-8.971022	-8.943476	-8.915424	-8.986320	-8.748119	-8.987585	-8.902049	-9.462055	-8.873544	-9.499764	-8.356942	-9.276626	-9.018408	-8.909389	-8.994391	-9.131944	-8.971429	-9.069713	-8.842543	-9.089269	-9.454322	-9.451979	-8.968188	-9.626536	-8.518557	-9.072270	-9.202940	-8.498941	-9.093342	-9.023788	-9.070377	-8.970616	-8.721018	-8.773142	-9.001610	-9.129947	-9.016690	-9.040386	-8.798057	-8.784627	-8.923360
		2.1760912590556813	-8.081550	-7.888401	-5.993962	-8.018907	-8.246417	-8.506681	-7.755970	-8.143332	-8.185153	-7.789949	-8.209082	-8.169604	-7.998699	-8.208590	-8.152489	-7.648011	-7.954677	-8.106127	-8.195929	-7.988430	-7.867420	-8.234257	-7.992679	-8.018272	-8.117703	-7.975514	-8.135074	-8.069357	-8.105186	-8.051734	-8.419417	-8.036212	-8.414426	-7.602408	-8.319664	-8.070326	-7.992252	-8.091890	-8.085234	-8.212752	-7.964570	-7.818728	-8.023283	-8.671417	-8.248028	-8.021911	-8.352519	-7.827981	-8.139842	-8.077690	-7.670806	-8.109859	-8.135608	-8.121248	-8.096747	-7.885723	-7.994819	-8.025028	-8.134896	-8.048420	-8.343423	-7.669789	-7.874844	-8.006917
		2.1760912590556813	-7.988007	-7.800519	-7.145815	-8.038199	-8.144481	-8.224098	-7.774174	-8.213959	-8.109020	-7.826231	-8.237697	-8.181576	-8.030631	-8.127319	-8.132768	-7.651111	-7.871601	-8.119815	-8.176721	-8.067273	-7.990124	-8.330311	-8.108017	-8.048080	-8.102758	-8.027751	-8.180390	-8.006917	-7.993962	-8.104191	-8.269056	-7.962972	-8.373557	-7.621420	-8.327256	-8.120560	-8.001348	-8.050415	-8.009439	-8.364014	-7.938548	-7.843451	-8.029188	-8.589729	-8.176004	-8.029793	-8.351055	-7.775726	-8.098106	-8.088523	-7.589223	-8.029188	-8.176070	-8.269218	-8.075514	-7.874519	-8.039862	-8.052174	-8.160585	-8.066057	-8.291749	-7.726304	-7.888401	-7.984640
		2.1760912590556813	-8.046289	-7.847406	-7.231880	-8.110698	-8.211407	-8.287434	-7.910448	-8.218388	-8.136558	-7.913996	-8.274987	-8.184223	-8.041627	-8.193684	-8.199008	-7.681937	-7.867100	-8.155026	-8.270835	-8.053548	-7.934794	-8.267124	-8.019542	-8.024155	-8.212469	-8.047692	-8.248336	-7.985900	-8.038010	-8.144118	-8.312025	-8.071553	-8.470441	-7.622512	-8.460673	-8.136558	-8.052566	-8.159329	-8.023283	-8.265280	-8.004760	-7.879097	-8.030211	-8.566390	-8.466355	-8.090658	-8.396206	-7.834756	-8.115828	-8.122283	-7.754487	-8.033530	-8.121536	-8.221776	-8.029374	-7.952725	-7.993534	-8.041436	-8.173666	-7.980468	-8.273436	-7.752027	-8.007623	-8.080870
		3.1760912590556813	-7.035552	-6.880085	-6.901702	-7.077015	-7.152798	-7.224972	-6.844360	-7.228413	-7.154716	-6.855426	-7.227678	-7.159894	-7.009750	-7.179864	-7.122456	-6.755970	-6.917215	-7.118901	-7.152304	-7.042680	-6.968188	-7.162664	-7.034140	-7.027196	-7.127028	-7.027566	-7.132356	-7.020543	-7.053499	-7.127960	-7.203148	-7.062532	-7.393726	-6.642637	-7.361611	-7.062332	-6.984640	-7.011307	-7.032405	-7.259874	-6.985900	-6.856361	-7.038057	-7.491336	-7.237171	-6.939302	-7.269864	-6.790217	-7.131179	-7.107794	-6.722391	-7.015248	-7.141222	-7.196953	-7.097834	-6.913284	-6.998266	-7.004935	-7.108072	-7.088842	-7.200797	-6.739213	-6.967381	-6.959398
		3.1760912590556813	-7.088203	-6.928855	-7.150458	-7.122053	-7.200728	-7.378616	-6.838033	-7.241618	-7.197158	-6.888401	-7.246877	-7.217241	-7.026226	-7.189297	-7.212115	-6.742802	-6.985060	-7.157328	-7.230401	-7.137451	-6.961777	-7.230327	-7.023329	-7.108965	-7.155647	-7.065956	-7.182501	-7.064442	-7.095826	-7.135548	-7.242073	-7.074585	-7.412514	-6.705975	-7.369979	-7.096693	-7.049586	-7.124881	-7.069968	-7.270916	-7.010817	-6.893809	-7.043255	-7.564793	-7.348528	-6.972650	-7.343710	-6.837137	-7.201487	-7.146545	-6.758703	-7.085234	-7.163866	-7.193277	-7.069000	-6.966576	-7.064442	-7.023329	-7.119930	-7.046385	-7.268895	-6.796695	-7.057744	-7.023512
		3.1760912590556813	-7.037868	-6.991826	-6.582196	-7.077275	-7.162475	-7.243973	-6.812197	-7.245193	-7.202179	-6.862963	-7.169219	-7.249646	-7.049149	-7.166279	-7.166152	-6.722391	-6.961777	-7.126970	-7.182435	-7.049879	-7.076290	-7.200453	-7.059982	-7.071143	-7.143513	-7.038152	-7.146667	-7.104633	-7.079042	-7.129713	-7.306009	-7.070479	-7.377890	-6.651306	-7.357140	-7.104633	-7.052076	-7.098651	-7.059284	-7.247107	-6.977984	-6.892790	-7.096530	-7.556737	-7.254379	-7.021363	-7.395882	-6.821599	-7.144905	-7.114978	-6.703554	-7.046966	-7.130475	-7.188894	-7.067070	-6.924088	-7.010684	-7.022322	-7.145269	-7.064846	-7.325690	-6.749580	-6.978811	-7.013676
		4.176091259055681	-6.165706	-5.990124	-6.358823	-6.191451	-6.273762	-6.325506	-5.955068	-6.335922	-6.292004	-6.023283	-6.260744	-6.252511	-6.164500	-6.297225	-6.318487	-5.873219	-6.070888	-6.320209	-6.286341	-6.218388	-6.103198	-6.285419	-6.184688	-6.183030	-6.259006	-6.109244	-6.283162	-6.121421	-6.218101	-6.243668	-6.396531	-6.146971	-6.460171	-5.784627	-6.461803	-6.223807	-6.121536	-6.186753	-6.160773	-6.343231	-6.100125	-6.016599	-6.133595	-6.654430	-6.348625	-6.077742	-6.424697	-5.956245	-6.260111	-6.228119	-5.863914	-6.148619	-6.270026	-6.296709	-6.162980	-6.028956	-6.138346	-6.126970	-6.228413	-6.166917	-6.292089	-5.896538	-6.124881	-6.110194
		4.176091259055681	-6.151072	-5.964971	-6.684449	-6.187688	-6.245575	-6.321391	-5.986741	-6.338850	-6.289967	-5.977572	-6.252744	-6.243288	-6.156643	-6.311135	-6.267124	-5.868381	-6.027751	-6.231658	-6.254301	-6.221994	-6.083283	-6.283079	-6.238298	-6.153601	-6.241542	-6.102153	-6.247337	-6.133181	-6.207118	-6.229958	-6.332174	-6.136677	-6.487582	-5.785421	-6.472112	-6.183626	-6.150826	-6.190844	-6.157017	-6.320390	-6.109691	-6.015293	-6.145876	-6.633204	-6.343614	-6.059633	-6.448184	-5.921543	-6.252355	-6.236947	-5.874194	-6.152119	-6.267848	-6.337431	-6.222066	-6.028121	-6.153230	-6.122917	-6.248875	-6.155834	-6.369267	-5.890759	-6.152427	-6.098215
		4.176091259055681	-6.135964	-5.975514	-6.631713	-6.152057	-6.252821	-6.281415	-5.955852	-6.337714	-6.256961	-5.997402	-6.240408	-6.212256	-6.140922	-6.310336	-6.241845	-5.883724	-6.029421	-6.181312	-6.271890	-6.370896	-6.099961	-6.244811	-6.120904	-6.129655	-6.219827	-6.097236	-6.230770	-6.107794	-6.205024	-6.202386	-6.341321	-6.109188	-6.414878	-5.785686	-6.427709	-6.187688	-6.072989	-6.147581	-6.118501	-6.302683	-6.082705	-6.002876	-6.108574	-6.655411	-6.288277	-6.072270	-6.443818	-5.895172	-6.247952	-6.204051	-5.846490	-6.107405	-6.230992	-6.266562	-6.138346	-6.009129	-6.124765	-6.125982	-6.184688	-6.139183	-6.277202	-5.862963	-6.092051	-6.124418
		5.176091259055681	-5.235899	-5.048031	-5.736601	-5.241845	-5.354185	-5.321573	-5.005639	-5.361411	-5.355660	-5.034093	-5.279758	-5.276298	-5.156954	-5.289967	-5.268976	-4.956638	-5.061530	-5.278932	-5.318216	-5.223662	-5.111203	-5.312204	-5.223081	-5.209293	-5.269702	-5.121306	-5.347754	-5.151872	-5.242832	-5.318578	-5.353400	-5.177897	-5.485319	-4.838632	-5.541816	-5.263126	-5.197705	-5.209012	-5.177767	-5.340179	-5.157890	-5.048128	-5.175679	-5.605723	-5.367037	-5.114074	-5.448062	-4.934047	-5.270754	-5.255003	-4.963371	-5.203218	-5.320936	-5.337525	-5.208660	-5.067577	-5.213320	-5.146363	-5.282163	-5.134541	-5.330683	-4.953115	-5.174834	-5.134718
		5.176091259055681	-5.165452	-5.042632	-5.732828	-5.168194	-5.251269	-5.296021	-4.975104	-5.342180	-5.280835	-4.962175	-5.243136	-5.232918	-5.141523	-5.361611	-5.258612	-4.979225	-5.046482	-5.199558	-5.271565	-5.189566	-5.095284	-5.264082	-5.163929	-5.172049	-5.239578	-5.094960	-5.270268	-5.109803	-5.213249	-5.198048	-5.328642	-5.133535	-5.504040	-4.823619	-5.486649	-5.195384	-5.172114	-5.173860	-5.148864	-5.322119	-5.072065	-5.002745	-5.133358	-5.595166	-5.321391	-5.055863	-5.388277	-4.909037	-5.260586	-5.201349	-4.915066	-5.131591	-5.256412	-5.270754	-5.164563	-5.023375	-5.120904	-5.117532	-5.191924	-5.129479	-5.312382	-4.904134	-5.089963	-5.107571
		5.176091259055681	-5.167555	-5.089909	-5.748849	-5.208099	-5.296279	-5.352128	-4.977159	-5.354676	-5.273436	-4.969805	-5.252511	-5.227972	-5.156331	-5.282996	-5.271890	-4.896881	-5.064543	-5.219251	-5.230992	-5.245728	-5.105020	-5.367745	-5.220331	-5.198116	-5.253599	-5.117191	-5.334419	-5.129245	-5.255629	-5.275478	-5.347754	-5.136618	-5.459170	-4.846490	-5.549905	-5.204746	-5.118901	-5.194567	-5.159518	-5.336393	-5.100727	-5.020770	-5.155150	-5.608007	-5.344477	-5.080190	-5.395558	-4.982132	-5.305132	-5.288108	-4.901010	-5.197568	-5.279593	-5.287014	-5.139123	-5.053843	-5.119244	-5.121881	-5.357338	-5.181246	-5.373968	-4.944240	-5.167683	-5.125402
																																																																		
		steyx	0.078948	0.038022	0.373766	0.062885	0.156382	0.088163	0.048504	0.118744	0.057144	0.073038	0.061752	0.096449	0.049425	0.041803	0.049033	0.026601	0.031559	0.086914	0.069089	0.066657	0.062474	0.067099	0.063153	0.043729	0.078397	0.041616	0.052515	0.082468	0.050820	0.074877	0.120800	0.047794	0.043701	0.067513	0.048429	0.130352	0.057231	0.061254	0.068857	0.075875	0.093055	0.044320	0.062809	0.069616	0.088943	0.067190	0.169906	0.068747	0.030859	0.068539	0.054981	0.054424	0.042326	0.052285	0.043581	0.071537	0.067266	0.041407	0.081065	0.070647	0.065722	0.055111	0.069382	0.045484
																																																																		
