			AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		15000	2.764e-06	1.877e-06	2.108e-10	3.116e-06	6.320e-06	2.908e-06	1.508e-06	8.962e-07	1.704e-06	7.078e-06	7.156e-07	5.979e-06	2.742e-06	2.526e-06	8.174e-06	6.903e-06	5.870e-06	2.577e-06	7.715e-07	3.031e-07	5.031e-06	1.323e-06	4.027e-06	3.358e-06	5.387e-07	1.674e-06	1.524e-06	3.334e-06	2.653e-06	2.177e-07	6.954e-07	4.801e-06	7.727e-07	5.902e-06	5.058e-07	5.585e-06	7.377e-06	4.065e-06	5.988e-06	1.537e-06	4.296e-06	6.244e-06	3.823e-06	2.018e-06	2.229e-06	4.759e-06	4.125e-07	5.958e-06	1.866e-06	2.782e-06	2.736e-06	4.082e-06	5.002e-07	4.797e-08	1.860e-06	3.850e-06	5.378e-06	4.647e-06	2.555e-06	4.921e-06	1.068e-07	3.191e-06	7.406e-06	5.238e-06
		15000	3.172e-06	1.545e-06	1.930e-11	3.475e-06	4.777e-06	2.651e-06	2.603e-06	8.498e-07	1.636e-06	8.055e-06	7.639e-07	6.026e-06	3.009e-06	2.684e-06	8.317e-06	5.530e-06	6.074e-06	3.039e-06	7.121e-07	5.164e-08	4.788e-06	1.344e-06	4.444e-06	4.481e-06	5.108e-07	1.804e-06	1.615e-06	4.257e-06	2.480e-06	2.175e-07	6.178e-07	4.608e-06	8.754e-07	5.141e-06	5.361e-07	5.011e-06	9.290e-06	4.055e-06	6.967e-06	1.743e-06	4.473e-06	6.672e-06	3.999e-06	2.162e-06	2.216e-06	4.183e-06	4.075e-07	6.479e-06	2.233e-06	2.622e-06	2.931e-06	4.462e-06	5.367e-07	3.655e-08	3.141e-06	4.325e-06	4.667e-06	4.262e-06	2.990e-06	3.594e-06	1.191e-07	3.319e-06	5.404e-06	5.239e-06
		150000	2.628e-05	1.617e-05	3.496e-08	3.161e-05	4.128e-05	2.172e-05	1.806e-05	9.016e-06	1.775e-05	6.959e-05	6.837e-06	4.560e-05	2.135e-05	2.100e-05	5.528e-05	5.475e-05	5.129e-05	3.691e-05	6.490e-06	2.842e-06	3.998e-05	1.981e-05	2.235e-05	3.567e-05	4.865e-06	1.503e-05	1.797e-05	2.978e-05	1.891e-05	2.690e-06	6.757e-06	3.871e-05	7.267e-06	4.423e-05	5.823e-06	5.230e-05	8.276e-05	3.072e-05	4.581e-05	1.273e-05	3.132e-05	3.999e-05	2.996e-05	1.729e-05	1.662e-05	3.458e-05	5.487e-06	5.865e-05	1.480e-05	3.096e-05	2.454e-05	2.900e-05	3.748e-06	1.261e-06	2.803e-05	2.987e-05	4.004e-05	3.001e-05	2.008e-05	3.414e-05	1.765e-06	2.489e-05	5.581e-05	4.220e-05
		150000	2.893e-05	1.352e-05	6.451e-09	3.511e-05	4.497e-05	2.361e-05	2.032e-05	7.838e-06	1.371e-05	6.439e-05	8.357e-06	5.082e-05	2.409e-05	1.922e-05	6.151e-05	4.917e-05	5.166e-05	2.845e-05	6.106e-06	3.136e-06	3.782e-05	1.186e-05	3.231e-05	4.954e-05	4.220e-06	1.314e-05	1.254e-05	3.270e-05	2.590e-05	2.439e-06	7.504e-06	3.613e-05	9.790e-06	4.580e-05	4.956e-06	4.562e-05	8.811e-05	3.080e-05	5.039e-05	1.351e-05	3.533e-05	5.616e-05	3.472e-05	1.721e-05	1.982e-05	3.831e-05	5.011e-06	5.365e-05	1.694e-05	2.512e-05	2.652e-05	3.206e-05	4.679e-06	5.276e-07	2.353e-05	2.990e-05	3.845e-05	3.135e-05	3.162e-05	3.340e-05	2.126e-06	3.311e-05	4.663e-05	4.440e-05
		150000	2.894e-05	1.416e-05	1.063e-08	2.592e-05	4.168e-05	2.132e-05	2.261e-05	1.004e-05	1.446e-05	5.839e-05	7.783e-06	5.396e-05	2.551e-05	2.162e-05	6.545e-05	6.011e-05	4.900e-05	2.639e-05	6.680e-06	6.682e-06	3.696e-05	4.128e-05	3.196e-05	5.616e-05	4.303e-06	1.463e-05	2.797e-05	3.531e-05	2.260e-05	3.942e-06	6.608e-06	3.587e-05	7.004e-06	4.304e-05	8.075e-06	4.347e-05	6.496e-05	3.296e-05	5.119e-05	1.157e-05	3.718e-05	5.209e-05	3.225e-05	1.844e-05	1.768e-05	3.579e-05	5.227e-06	9.562e-05	2.711e-05	6.451e-05	3.135e-05	3.494e-05	4.798e-06	5.283e-07	2.587e-05	3.951e-05	4.745e-05	4.455e-05	7.337e-05	6.290e-05	2.454e-06	3.095e-05	7.916e-05	3.771e-05
																																																																		
																																																																		
		1.1760912590556813	-8.227385	-8.266803	-11.606425	-8.117931	-8.222283	-8.456926	-8.430860	-8.453457	-8.626904	-7.774174	-9.219683	-7.611011	-8.412514	-8.203981	-7.627088	-7.817300	-7.777544	-8.367239	-8.811353	-9.462307	-7.928855	-8.615467	-7.988007	-7.972650	-9.401866	-8.636952	-8.593971	-8.144844	-8.211337	-9.424928	-8.809388	-7.926648	-8.977984	-7.815025	-8.928855	-7.145512	-7.915066	-8.006564	-8.296451	-8.200453	-7.727694	-7.953115	-7.933301	-8.226067	-8.512155	-7.871278	-8.689519	-7.596022	-8.418961	-8.234108	-8.380698	-8.111315	-9.078002	-10.137451	-8.289544	-8.011619	-7.942334	-8.085445	-8.150519	-7.910802	-9.899285	-8.152242	-7.802168	-7.834459
		1.1760912590556813	-7.996539	-8.104301	-11.563837	-8.297139	-7.708853	-8.153292	-8.367644	-8.951170	-8.507100	-7.864231	-9.180719	-7.652670	-7.957031	-8.327810	-7.492279	-7.791827	-7.731656	-8.006387	-8.726767	-9.751536	-7.752272	-8.627456	-8.018680	-8.438899	-9.019906	-8.571217	-8.580540	-7.787812	-8.001436	-9.591760	-8.462559	-8.058042	-9.018136	-7.668775	-8.991826	-7.662541	-7.711974	-8.216096	-7.779369	-8.693575	-7.869988	-7.826814	-8.098160	-8.515415	-8.395774	-7.990974	-8.723308	-7.669383	-8.444060	-8.355660	-8.100946	-8.072784	-8.899285	-10.189297	-8.459921	-8.292941	-7.901702	-7.961380	-8.291749	-8.100398	-10.008198	-8.105961	-7.889410	-7.840433
		1.1760912590556813	-7.934420	-8.251502	-11.096259	-8.098269	-7.999132	-8.334325	-8.442493	-8.398483	-8.377682	-7.671620	-8.919374	-7.976336	-8.067070	-8.345535	-7.316413	-7.777284	-7.738499	-7.994391	-8.985900	-9.482408	-7.905878	-8.676335	-8.190036	-8.103970	-8.907982	-8.554707	-8.520425	-7.785156	-8.105906	-9.325231	-9.159204	-7.913284	-9.053253	-7.666553	-8.985479	-7.877456	-7.675306	-7.990124	-8.072168	-7.897566	-8.284331	-7.873219	-8.155336	-8.558776	-8.577410	-8.064392	-9.423659	-7.490529	-8.415782	-8.341416	-7.976336	-8.059484	-9.039577	-10.045613	-8.371815	-8.041006	-7.924088	-8.158578	-8.371713	-8.027890	-9.932185	-8.134718	-7.723079	-7.800245
		2.1760912590556813	-7.257668	-7.503209	-8.263365	-7.219971	-7.143452	-7.520713	-7.505289	-7.491336	-7.605198	-6.759700	-8.178486	-6.973875	-7.333295	-7.474955	-6.798330	-7.038959	-7.043735	-7.346498	-7.975925	-8.458546	-6.983803	-7.867420	-7.195997	-7.249106	-8.081812	-7.677988	-7.659754	-7.158578	-7.448794	-8.461049	-8.143150	-7.148497	-8.068898	-7.000435	-8.078106	-7.042872	-6.815025	-7.153168	-6.980053	-7.622148	-7.072373	-6.886725	-7.114695	-7.568475	-7.404724	-7.241542	-8.153106	-6.991826	-7.520425	-7.226726	-7.235450	-7.301204	-8.151749	-9.172114	-7.345727	-7.131591	-7.153292	-7.223444	-7.382475	-7.189431	-8.996109	-7.129655	-6.955852	-6.945770
		2.1760912590556813	-7.158203	-7.509199	-11.382790	-7.279179	-7.037536	-7.323032	-7.439854	-7.713095	-7.548674	-6.847406	-8.125518	-6.918653	-7.347270	-7.334325	-6.773400	-6.837436	-6.965372	-7.371407	-7.915424	-8.574792	-7.073812	-7.908685	-7.308300	-7.225921	-7.694004	-7.780940	-7.712422	-7.096042	-7.285167	-8.510745	-7.917574	-7.078522	-7.971836	-7.001697	-8.057496	-7.070837	-6.858237	-7.125750	-7.004935	-7.770318	-7.156830	-6.906228	-7.124997	-7.623058	-7.384260	-7.235600	-8.204676	-6.878112	-7.466736	-7.220909	-7.193956	-7.116850	-8.183229	-9.468010	-7.344477	-7.231436	-7.191182	-7.206908	-7.356153	-7.163043	-9.022139	-7.258061	-6.881735	-6.971022
		2.1760912590556813	-7.200866	-7.533429	-11.741363	-7.317314	-7.293794	-7.395234	-7.569441	-7.652670	-7.576754	-6.977159	-8.175484	-6.924453	-7.293112	-7.434861	-6.768021	-6.925549	-7.021957	-7.390726	-8.211832	-8.493766	-7.000521	-7.888737	-7.157204	-7.249646	-8.321846	-7.969805	-7.760450	-7.080504	-7.413075	-8.480697	-7.904134	-7.191654	-8.141583	-7.031424	-8.163866	-7.067526	-6.875822	-7.293026	-6.913284	-7.618344	-7.139004	-6.909742	-7.122744	-7.496482	-7.674074	-7.264002	-8.256882	-7.003401	-7.412289	-7.311758	-7.309981	-7.176721	-8.149048	-9.318668	-7.278107	-7.316143	-7.144784	-7.204815	-7.359817	-7.071604	-9.168322	-7.182236	-7.049294	-7.111147
		3.1760912590556813	-6.261775	-6.729088	-11.379552	-6.423659	-6.151441	-6.459671	-6.614394	-6.880085	-6.659159	-5.974694	-7.193616	-6.018589	-6.417482	-6.537452	-6.078574	-6.029467	-6.015788	-6.377165	-6.964971	-7.535510	-6.149599	-6.813044	-6.263603	-6.150519	-7.254847	-6.788079	-6.724919	-6.178880	-6.477295	-7.610302	-7.094744	-6.258848	-7.045757	-6.096856	-7.129479	-6.149109	-5.871601	-6.207608	-6.053351	-6.808549	-6.294650	-6.039672	-6.228266	-6.569602	-6.566390	-6.173925	-7.197705	-5.964971	-6.554551	-6.441171	-6.423313	-6.230327	-7.125634	-8.474566	-6.555487	-6.313811	-6.139183	-6.211266	-6.383210	-6.678816	-8.160836	-6.213746	-6.117589	-6.082600
		3.1760912590556813	-6.332547	-6.613501	-11.043591	-6.352031	-6.128485	-6.507379	-6.507100	-6.828274	-6.742561	-5.980053	-7.166725	-6.103915	-6.450139	-6.517984	-6.118387	-5.960189	-6.079094	-6.461301	-7.137570	-7.706637	-6.190575	-6.874519	-6.268250	-6.184688	-7.180785	-6.791290	-6.806875	-6.241164	-6.477295	-7.583359	-7.179470	-6.295764	-7.056456	-6.169347	-7.066108	-6.166725	-5.973058	-6.257589	-6.048274	-6.767766	-6.263603	-6.000000	-6.259479	-6.605723	-6.674484	-6.204328	-7.197295	-6.061480	-6.613501	-6.198596	-6.349887	-6.376234	-7.208660	-8.243516	-6.439496	-6.427593	-6.234704	-6.310336	-6.466609	-6.243212	-8.087194	-6.290560	-6.128894	-6.152551
		3.1760912590556813	-6.280255	-6.651500	-10.480566	-6.492954	-6.110474	-6.375099	-6.496345	-6.824488	-6.680686	-5.980053	-7.080294	-6.043784	-6.413413	-6.456056	-6.046820	-6.015113	-6.005375	-6.365624	-7.151072	-7.598083	-6.249106	-6.881405	-6.315693	-6.277448	-7.248644	-6.761703	-6.775208	-6.289883	-6.486383	-7.535809	-7.115601	-6.254223	-7.036732	-6.111540	-7.175679	-6.195792	-5.873544	-6.253521	-6.080086	-6.761452	-6.220331	-6.019815	-6.260982	-6.662341	-6.581202	-6.200935	-7.239653	-6.013452	-6.547294	-6.362911	-6.356844	-6.285922	-7.237997	-8.393189	-6.415895	-6.331987	-6.228707	-6.249029	-6.406492	-6.245575	-8.026872	-6.289121	-6.050122	-6.124476
		4.176091259055681	-5.512720	-5.878440	-9.054335	-5.505428	-5.377682	-5.593801	-5.676542	-6.037299	-5.781990	-5.075566	-6.193210	-5.207748	-5.538952	-5.606425	-5.134126	-5.209715	-5.260982	-5.563519	-6.168194	-6.644740	-5.341702	-5.899285	-5.509199	-5.489589	-6.447819	-5.778586	-5.928486	-5.397506	-5.574629	-6.715569	-6.044649	-5.377993	-6.191451	-6.073606	-6.229369	-5.387640	-5.095934	-5.373249	-5.259795	-5.892112	-5.392223	-5.234853	-5.397072	-5.705313	-5.730954	-5.399899	-6.285838	-4.880744	-5.724458	-5.563678	-5.547294	-5.386475	-6.391688	-7.414426	-5.477947	-5.411504	-5.369470	-5.411728	-5.541060	-5.542118	-6.917933	-5.457175	-5.322028	-5.353302
		4.176091259055681	-5.558462	-5.726536	-9.676129	-5.506403	-5.199283	-5.536406	-5.821599	-6.047595	-5.768530	-5.150089	-6.145330	-5.223371	-5.561933	-5.597567	-5.087565	-5.160962	-5.231362	-5.588886	-6.112664	-6.518414	-5.298346	-5.878440	-5.395018	-5.473919	-6.268653	-5.776245	-5.817015	-5.477034	-5.576263	-6.662142	-6.157765	-5.318668	-6.111989	-5.229001	-6.296021	-5.252977	-5.132120	-5.390939	-5.222718	-5.813326	-5.366936	-5.204537	-5.417596	-5.695079	-5.651890	-5.322484	-6.384576	-5.224900	-5.729088	-5.555643	-5.562884	-5.389127	-6.300856	-7.319030	-5.730487	-5.414539	-5.269379	-5.332827	-5.592609	-5.307947	-6.971429	-5.496073	-5.130416	-5.280835
		4.176091259055681	-5.498667	-5.811072	-10.714443	-5.459045	-5.320845	-5.576590	-5.584526	-6.070683	-5.786217	-5.093934	-6.116963	-5.219971	-5.521578	-5.571217	-5.080033	-5.257275	-5.216525	-5.517269	-6.147459	-7.287014	-5.319846	-5.871601	-5.352226	-5.348625	-6.291749	-5.743763	-5.791827	-5.370896	-5.605548	-6.662541	-6.209152	-5.336488	-6.057793	-5.288952	-6.270754	-5.300076	-5.031984	-5.392009	-5.156954	-5.758703	-5.349401	-5.175744	-5.398049	-5.665144	-5.654430	-5.378512	-6.389872	-5.188492	-5.651111	-5.581367	-5.532984	-5.350470	-6.270268	-7.437113	-5.502932	-5.364014	-5.330962	-5.370387	-5.524329	-5.444422	-6.924088	-5.478993	-5.267285	-5.280752
		5.176091259055681	-4.580375	-4.791290	-7.456429	-4.500176	-4.384260	-4.663140	-4.743282	-5.044986	-4.750802	-4.157453	-5.165134	-4.341035	-4.670602	-4.677781	-4.257432	-4.261616	-4.289967	-4.432856	-5.187755	-5.546376	-4.398157	-4.703116	-4.650722	-4.447697	-5.312917	-4.823041	-4.745452	-4.526075	-4.723308	-5.570248	-5.170246	-4.412177	-5.138645	-4.354283	-5.234853	-4.281498	-4.082180	-4.512579	-4.339040	-4.895172	-4.504178	-4.398049	-4.523458	-4.762205	-4.779369	-4.461175	-5.260665	-4.231732	-4.829738	-4.509199	-4.610125	-4.537602	-5.426200	-5.899285	-4.552377	-4.524765	-4.397506	-4.522734	-4.697236	-4.466736	-5.753255	-4.603975	-4.253288	-4.374688
		5.176091259055681	-4.538652	-4.869023	-8.190373	-4.454569	-4.347077	-4.626904	-4.692076	-5.105795	-4.862963	-4.191182	-5.077950	-4.293965	-4.618163	-4.716247	-4.211054	-4.308300	-4.286846	-4.545918	-5.214243	-5.503624	-4.422278	-4.925915	-4.490663	-4.305044	-5.374688	-4.881405	-4.901702	-4.485452	-4.586700	-5.612788	-5.124707	-4.442132	-5.009217	-4.339135	-5.304869	-4.340845	-4.054975	-4.511449	-4.297656	-4.869345	-4.451856	-4.250573	-4.459420	-4.764219	-4.702896	-4.416688	-5.300076	-4.270430	-4.771087	-4.599980	-4.576426	-4.494036	-5.329847	-6.277695	-4.628378	-4.524329	-4.415104	-4.503762	-4.500038	-4.476254	-5.672437	-4.480041	-4.331335	-4.352617
		5.176091259055681	-4.538501	-4.848937	-7.973467	-4.586365	-4.380072	-4.671213	-4.645699	-4.998266	-4.839832	-4.233662	-5.108853	-4.267928	-4.593290	-4.665144	-4.184090	-4.221053	-4.309804	-4.578561	-5.175224	-5.175094	-4.432268	-4.384260	-4.495393	-4.250573	-5.366229	-4.834756	-4.553308	-4.452102	-4.645892	-5.404283	-5.179930	-4.445269	-5.154654	-4.366128	-5.092857	-4.361810	-4.187354	-4.482013	-4.290815	-4.936667	-4.429691	-4.283246	-4.491470	-4.734239	-4.752518	-4.446238	-5.281747	-4.019451	-4.566870	-4.190373	-4.503762	-4.456677	-5.318940	-6.277119	-4.587204	-4.403293	-4.323764	-4.351152	-4.134481	-4.201349	-5.610125	-4.509339	-4.101494	-4.423543
																																																																		
		steyx	0.078282	0.091781	1.059796	0.070866	0.126791	0.079780	0.071294	0.144901	0.061002	0.061919	0.076153	0.086563	0.098905	0.047457	0.113842	0.059147	0.059477	0.114874	0.100442	0.243691	0.053361	0.159726	0.074575	0.128814	0.176946	0.089246	0.105039	0.095124	0.083847	0.098423	0.162880	0.051872	0.058603	0.228677	0.072860	0.199950	0.073562	0.065743	0.124033	0.195387	0.118905	0.059655	0.053288	0.080296	0.084388	0.077818	0.184269	0.136267	0.068133	0.131875	0.095243	0.052288	0.063268	0.168096	0.086621	0.083655	0.061243	0.062497	0.135360	0.156300	0.133713	0.057299	0.091442	0.051443
																																																																		
