			AHCY	AKR1C1	ALUsq-Eur	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		15000	4.287e-08	9.929e-08	2.234e-07	5.857e-08	5.983e-08	2.679e-08	6.673e-08	5.043e-08	3.486e-08	9.080e-08	4.907e-08	4.584e-07	7.307e-08	4.820e-08	5.060e-08	1.160e-07	7.911e-08	4.370e-08	4.678e-08	6.564e-08	4.455e-08	4.117e-08	3.750e-08	6.739e-08	5.208e-08	1.046e-07	5.605e-08	6.275e-08	4.779e-08	7.606e-08	4.831e-08	7.100e-08	3.593e-08	1.665e-07	2.214e-08	4.360e-08	4.363e-08	1.448e-07	7.268e-08	1.697e-08	5.521e-08	7.199e-08	4.854e-08	2.406e-08	8.003e-08	9.116e-08	3.854e-08	8.727e-08	4.596e-08	5.330e-08	9.242e-08	4.573e-08	6.656e-08	4.236e-08	4.771e-08	6.627e-08	4.838e-08	6.711e-08	3.127e-08	6.701e-08	4.713e-08	1.182e-07	3.393e-08	4.205e-08
		15000	4.497e-08	1.038e-07	2.989e-07	6.447e-08	5.848e-08	3.047e-08	6.963e-08	5.653e-08	4.247e-08	9.798e-08	5.151e-08	5.231e-07	7.859e-08	5.086e-08	5.638e-08	1.240e-07	8.333e-08	5.002e-08	4.876e-08	9.326e-08	4.727e-08	4.526e-08	4.083e-08	7.530e-08	5.950e-08	1.139e-07	5.923e-08	6.843e-08	4.955e-08	8.522e-08	5.182e-08	7.810e-08	4.200e-08	1.754e-07	2.334e-08	4.504e-08	5.517e-08	1.643e-07	7.886e-08	1.857e-08	6.326e-08	7.784e-08	5.667e-08	2.444e-08	9.475e-08	9.540e-08	4.038e-08	9.691e-08	4.828e-08	5.870e-08	1.041e-07	5.138e-08	7.702e-08	5.147e-08	5.809e-08	7.295e-08	5.602e-08	6.772e-08	3.661e-08	7.729e-08	5.974e-08	1.278e-07	4.051e-08	4.322e-08
		150000	4.218e-07	1.034e-06	2.500e-06	6.204e-07	5.516e-07	3.667e-07	7.959e-07	6.036e-07	3.728e-07	9.565e-07	6.106e-07	3.897e-06	9.525e-07	6.191e-07	6.475e-07	1.196e-06	9.282e-07	4.628e-07	4.814e-07	8.533e-07	5.479e-07	4.574e-07	4.300e-07	7.293e-07	5.890e-07	1.161e-06	5.247e-07	7.325e-07	5.710e-07	7.260e-07	5.583e-07	7.691e-07	4.407e-07	1.767e-06	2.226e-07	4.867e-07	5.286e-07	1.484e-06	8.626e-07	2.313e-07	6.391e-07	9.130e-07	5.370e-07	3.217e-07	8.911e-07	1.017e-06	4.699e-07	1.057e-06	5.710e-07	6.011e-07	9.994e-07	5.937e-07	7.197e-07	5.040e-07	5.783e-07	7.490e-07	5.994e-07	7.803e-07	4.406e-07	8.867e-07	6.410e-07	1.292e-06	4.349e-07	5.320e-07
		150000	5.134e-07	1.014e-06	2.007e-06	7.171e-07	6.500e-07	3.878e-07	8.476e-07	6.584e-07	4.556e-07	1.101e-06	6.380e-07	4.236e-06	9.079e-07	6.504e-07	6.645e-07	1.131e-06	9.463e-07	5.395e-07	5.858e-07	9.211e-07	5.925e-07	5.503e-07	5.088e-07	7.610e-07	6.498e-07	1.321e-06	6.544e-07	8.244e-07	5.798e-07	9.955e-07	5.852e-07	8.719e-07	3.922e-07	1.816e-06	2.682e-07	5.612e-07	5.734e-07	1.632e-06	8.885e-07	2.483e-07	7.984e-07	9.374e-07	5.805e-07	3.294e-07	9.988e-07	1.144e-06	5.245e-07	1.124e-06	5.718e-07	6.925e-07	1.130e-06	6.253e-07	7.962e-07	6.245e-07	6.652e-07	8.675e-07	6.867e-07	8.370e-07	4.643e-07	9.260e-07	6.264e-07	1.444e-06	5.401e-07	5.666e-07
		150000	5.137e-07	9.019e-07	1.812e-06	6.620e-07	5.945e-07	3.353e-07	7.908e-07	5.916e-07	4.440e-07	1.067e-06	5.991e-07	4.052e-06	8.514e-07	6.403e-07	6.544e-07	1.286e-06	9.097e-07	5.288e-07	5.808e-07	7.752e-07	5.649e-07	4.078e-07	4.023e-07	7.273e-07	6.045e-07	1.170e-06	5.219e-07	7.670e-07	5.122e-07	7.666e-07	5.529e-07	8.193e-07	4.529e-07	1.765e-06	2.159e-07	5.250e-07	5.829e-07	1.535e-06	8.716e-07	2.482e-07	7.130e-07	8.311e-07	5.524e-07	3.058e-07	9.812e-07	1.058e-06	5.162e-07	1.261e-06	5.076e-07	5.912e-07	1.095e-06	5.167e-07	7.437e-07	5.830e-07	6.884e-07	7.517e-07	6.379e-07	7.928e-07	3.169e-07	7.594e-07	5.186e-07	1.295e-06	4.568e-07	5.320e-07
																																																																		
																																																																		
		1.1760912590556813	-10.754241	-10.175029	-7.362911	-10.171405	-10.754487	-11.076549	-10.406382	-10.418164	-10.752272	-10.242149	-10.681937	-8.978811	-10.264880	-10.328920	-10.395774	-9.991400	-10.170632	-10.772370	-10.536704	-10.152859	-10.445148	-10.693575	-10.572027	-10.234630	-10.495393	-9.996109	-10.321300	-10.525201	-10.241467	-10.034845	-10.387640	-10.155212	-10.610480	-9.624336	-10.770574	-9.935542	-10.709965	-9.769296	-10.455064	-11.062181	-10.167555	-10.027751	-10.359817	-10.675512	-10.281083	-10.019406	-10.167491	-10.034469	-10.456304	-10.223880	-10.108295	-10.739690	-10.381116	-10.582196	-10.274660	-10.154096	-10.400226	-10.305483	-10.505011	-10.063838	-10.461426	-10.152427	-10.534766	-10.523458
		1.1760912590556813	-10.461301	-10.093557	-7.307594	-10.492009	-10.056011	-10.823619	-10.328179	-10.699839	-10.584526	-10.441651	-10.562091	-8.944240	-10.151872	-10.373352	-10.246877	-9.944240	-10.165897	-10.621602	-10.308035	-10.220620	-10.345342	-10.462811	-10.487582	-10.442854	-10.136677	-9.938171	-10.349207	-10.273354	-10.273925	-10.357239	-10.203773	-10.328735	-10.647817	-9.528415	-10.759700	-10.362110	-10.646468	-9.990974	-10.253366	-11.167747	-10.189297	-10.295421	-10.715795	-10.661344	-10.074894	-10.089963	-10.176135	-10.203218	-10.590913	-10.543179	-9.940815	-10.521722	-10.344765	-10.473790	-10.335734	-10.525784	-10.211266	-10.220115	-10.887395	-10.356350	-10.530031	-10.129655	-10.775208	-10.525492
		1.1760912590556813	-10.358030	-10.125170	-7.220331	-10.257275	-10.470698	-10.867100	-10.282246	-10.190171	-10.488384	-10.152798	-10.403293	-9.355266	-10.148253	-10.400554	-10.318397	-9.982967	-10.194975	-10.366532	-10.591421	-10.168770	-10.599980	-10.622512	-10.803824	-10.287266	-10.278025	-10.032499	-10.301986	-10.159706	-10.438064	-10.045709	-10.737786	-10.162285	-10.755228	-9.601366	-10.817015	-10.558305	-10.498941	-9.775985	-10.379136	-10.822175	-10.565591	-10.344381	-10.682354	-10.722849	-10.294650	-10.244125	-10.893809	-9.990124	-10.497846	-10.530473	-9.984640	-10.652280	-10.236647	-10.465593	-10.338471	-10.202386	-10.231214	-10.366431	-10.751291	-10.326334	-10.327995	-10.185952	-10.493766	-10.591082
		2.1760912590556813	-9.612788	-9.137928	-5.820161	-9.294821	-9.398592	-10.060780	-9.224608	-9.293965	-9.599462	-9.031050	-9.487049	-8.180390	-9.158453	-9.420788	-9.312382	-8.894149	-9.199764	-9.473919	-9.478470	-9.157141	-9.404945	-9.555487	-9.478862	-9.271971	-9.363011	-9.019043	-9.366532	-9.327256	-9.441052	-9.146059	-9.595337	-9.231362	-9.568154	-8.794254	-9.733768	-9.479255	-9.346981	-8.827689	-9.251115	-9.969805	-9.341416	-9.187621	-9.458795	-9.862646	-9.088203	-9.154964	-9.524329	-9.177309	-9.451119	-9.283162	-9.062683	-9.500863	-9.258218	-9.404394	-9.402854	-9.281914	-9.357437	-9.265120	-9.656788	-9.249569	-9.522011	-8.927015	-9.481486	-9.563837
		2.1760912590556813	-9.494307	-9.075152	-7.107015	-9.307241	-9.315244	-9.765483	-9.263046	-9.383840	-9.533874	-9.097725	-9.533429	-8.201764	-9.192262	-9.372839	-9.338471	-8.917215	-9.156954	-9.524619	-9.473015	-9.238975	-9.513003	-9.613679	-9.641304	-9.297397	-9.278272	-9.056852	-9.422623	-9.341702	-9.318397	-9.216597	-9.474955	-9.186219	-9.552377	-8.827981	-9.786748	-9.518701	-9.415443	-8.815877	-9.187020	-10.145512	-9.326242	-9.232918	-9.476904	-9.816161	-9.066918	-9.192871	-9.481618	-9.160585	-9.406603	-9.332827	-9.000000	-9.474826	-9.314706	-9.534023	-9.400335	-9.287098	-9.437113	-9.312204	-9.688034	-9.289121	-9.462055	-8.988853	-9.504456	-9.559878
		2.1760912590556813	-9.541060	-9.105186	-7.180983	-9.373557	-9.319302	-9.821887	-9.246570	-9.365624	-9.540758	-9.159455	-9.581202	-8.216454	-9.228413	-9.410833	-9.436875	-8.964170	-9.130592	-9.557363	-9.422508	-9.198871	-9.456926	-9.596708	-9.573164	-9.257825	-9.406714	-8.990124	-9.478470	-9.310336	-9.325047	-9.242756	-9.504872	-9.292430	-9.632644	-8.823619	-9.908685	-9.524329	-9.464200	-8.908333	-9.182501	-10.042010	-9.395342	-9.256647	-9.501276	-9.772113	-9.221559	-9.181708	-9.602929	-9.213533	-9.433445	-9.351445	-9.147398	-9.447697	-9.237171	-9.529002	-9.342657	-9.295421	-9.371611	-9.313632	-9.700929	-9.194295	-9.461929	-9.012244	-9.609065	-9.565271
		3.1760912590556813	-8.442854	-8.045372	-6.863914	-8.238147	-8.271322	-8.612610	-8.184954	-8.277778	-8.450506	-8.027936	-8.428408	-7.249414	-8.094690	-8.312471	-8.247030	-7.935917	-8.079564	-8.397940	-8.342753	-8.120732	-8.384892	-8.390939	-8.462307	-8.156207	-8.274415	-7.987163	-8.266321	-8.207889	-8.290391	-8.137630	-8.281997	-8.175744	-8.475604	-7.744727	-8.689732	-8.373454	-8.325966	-7.751046	-8.149660	-8.905180	-8.247260	-8.088310	-8.386053	-8.614751	-8.048905	-8.027196	-8.372942	-8.049149	-8.303469	-8.228927	-8.022414	-8.321573	-8.182170	-8.358129	-8.323398	-8.191384	-8.262410	-8.172179	-8.519131	-8.173666	-8.287856	-7.891097	-8.402634	-8.389233
		3.1760912590556813	-8.478078	-8.085868	-7.063889	-8.262728	-8.308742	-8.778847	-8.184422	-8.287182	-8.485054	-8.071399	-8.395666	-7.268572	-8.086928	-8.314348	-8.340464	-7.910802	-8.105407	-8.404724	-8.424581	-8.149170	-8.363312	-8.421819	-8.445269	-8.253989	-8.320481	-8.009262	-8.305395	-8.269460	-8.290560	-8.130592	-8.326795	-8.189566	-8.463820	-7.804931	-8.692504	-8.364516	-8.385630	-7.837436	-8.172049	-8.872247	-8.276462	-8.120789	-8.373865	-8.666754	-8.108630	-8.053990	-8.421934	-8.092696	-8.405829	-8.191789	-8.052223	-8.310869	-8.195656	-8.356350	-8.254067	-8.230770	-8.303207	-8.165261	-8.498256	-8.156082	-8.330125	-7.945004	-8.489455	-8.439974
		3.1760912590556813	-8.424350	-8.161655	-6.522156	-8.241391	-8.279427	-8.645124	-8.142306	-8.274007	-8.514137	-8.020725	-8.327440	-7.187220	-8.091461	-8.307153	-8.289037	-7.912574	-8.129187	-8.413525	-8.388064	-8.116566	-8.399463	-8.440812	-8.478600	-8.190912	-8.295163	-8.023100	-8.249492	-8.245728	-8.299383	-8.139842	-8.374173	-8.175484	-8.449894	-7.761954	-8.691649	-8.417823	-8.430977	-7.816445	-8.130006	-8.829152	-8.243288	-8.121248	-8.312828	-8.669586	-8.041054	-8.072117	-8.484259	-8.069357	-8.350957	-8.267526	-7.993534	-8.351347	-8.157391	-8.357239	-8.287182	-8.208801	-8.273762	-8.196406	-8.562249	-8.200728	-8.398266	-7.927015	-8.445996	-8.443456
		4.176091259055681	-7.401647	-7.011753	-6.165134	-7.224171	-7.280255	-7.558934	-7.176591	-7.286509	-7.439854	-7.021272	-7.303382	-6.347947	-7.133831	-7.305395	-7.275724	-6.926648	-7.119587	-7.349595	-7.350470	-7.150151	-7.356646	-7.385208	-7.446238	-7.176656	-7.273844	-6.977984	-7.291239	-7.188090	-7.320663	-7.127028	-7.286930	-7.145451	-7.413863	-6.821599	-7.648977	-7.378305	-7.334794	-6.827105	-7.157765	-7.766243	-7.231214	-7.118102	-7.326334	-7.624336	-7.066411	-7.039624	-7.389553	-6.977572	-7.328642	-7.249955	-6.995249	-7.323124	-7.173407	-7.325231	-7.263922	-7.168514	-7.295421	-7.163866	-7.481354	-7.136320	-7.232102	-6.924453	-7.419645	-7.383840
		4.176091259055681	-7.367847	-7.003094	-6.650917	-7.232325	-7.223081	-7.572027	-7.175679	-7.297311	-7.457673	-7.041914	-7.309184	-6.338755	-7.136261	-7.316953	-7.295849	-6.935542	-7.101769	-7.359519	-7.329940	-7.182831	-7.351152	-7.385419	-7.425969	-7.171405	-7.283329	-6.980468	-7.251424	-7.202386	-7.320663	-7.118844	-7.315963	-7.148742	-7.444543	-6.778586	-7.654822	-7.360514	-7.360215	-6.839231	-7.138585	-7.770318	-7.257982	-7.142728	-7.313900	-7.618704	-7.096747	-7.040196	-7.414088	-7.059135	-7.337620	-7.273273	-7.034234	-7.339799	-7.176787	-7.373044	-7.321391	-7.178683	-7.315334	-7.173213	-7.504872	-7.173860	-7.326703	-6.927383	-7.469416	-7.376234
		4.176091259055681	-7.347077	-6.983803	-6.524474	-7.190642	-7.232993	-7.516128	-7.157204	-7.247721	-7.371918	-7.008863	-7.288108	-6.281415	-7.104633	-7.293624	-7.248875	-6.906578	-7.079199	-7.300856	-7.311936	-7.030305	-7.325414	-7.344285	-7.389021	-7.123205	-7.225483	-6.943476	-7.227458	-7.164753	-7.304956	-7.069458	-7.285503	-7.107349	-7.376751	-6.755970	-7.631899	-7.346402	-7.258297	-6.784362	-7.103143	-7.731188	-7.198871	-7.108797	-7.246647	-7.611899	-7.023421	-7.020452	-7.393834	-7.013631	-7.316233	-7.231362	-6.982549	-7.289206	-7.113396	-7.288446	-7.235899	-7.136975	-7.251657	-7.169283	-7.436400	-7.111877	-7.223735	-6.893469	-7.392438	-7.364315
		5.176091259055681	-6.374893	-5.985479	-5.602060	-6.207328	-6.258376	-6.435689	-6.099141	-6.219251	-6.428524	-6.019315	-6.214243	-5.409270	-6.021135	-6.208239	-6.188760	-5.922269	-6.032358	-6.334607	-6.317494	-6.068898	-6.261299	-6.339704	-6.366532	-6.137094	-6.229885	-5.935168	-6.280089	-6.135192	-6.243364	-6.139063	-6.253132	-6.114017	-6.355857	-5.752763	-6.652475	-6.312739	-6.276873	-5.828566	-6.064191	-6.635824	-6.194431	-6.039529	-6.270026	-6.492549	-6.050074	-5.992679	-6.327995	-5.975925	-6.243364	-6.221053	-6.000261	-6.226433	-6.142848	-6.297569	-6.237847	-6.125518	-6.222283	-6.107738	-6.355956	-6.052223	-6.193142	-5.888737	-6.361611	-6.274088
		5.176091259055681	-6.289544	-5.993962	-5.697453	-6.144420	-6.187087	-6.411392	-6.071809	-6.181510	-6.341416	-5.958213	-6.195179	-5.373044	-6.041962	-6.186819	-6.177505	-5.946537	-6.023971	-6.268009	-6.232251	-6.035693	-6.227312	-6.259400	-6.293453	-6.118615	-6.187220	-5.879097	-6.184157	-6.083862	-6.236722	-6.001959	-6.232696	-6.059533	-6.406492	-5.740884	-6.571541	-6.250882	-6.241542	-5.787280	-6.051343	-6.605023	-6.097779	-6.028075	-6.236198	-6.482276	-6.000521	-5.941574	-6.280255	-5.949234	-6.242756	-6.159580	-5.946922	-6.203912	-6.098978	-6.204468	-6.177048	-6.061731	-6.163233	-6.077275	-6.333201	-6.033389	-6.203148	-5.840433	-6.267526	-6.246723
		5.176091259055681	-6.289290	-6.044842	-5.741842	-6.179142	-6.225848	-6.474566	-6.101933	-6.227972	-6.352617	-5.971836	-6.222501	-5.392331	-6.069866	-6.193616	-6.184157	-5.890759	-6.041102	-6.276709	-6.235973	-6.110586	-6.248028	-6.389553	-6.395450	-6.138286	-6.218604	-5.931814	-6.282413	-6.115205	-6.290560	-6.115431	-6.257353	-6.086557	-6.343998	-5.753255	-6.665747	-6.279841	-6.234406	-5.813892	-6.059683	-6.605198	-6.146910	-6.080347	-6.257746	-6.514563	-6.008242	-5.975514	-6.287182	-5.899285	-6.294478	-6.228266	-5.960586	-6.286762	-6.128602	-6.234331	-6.162159	-6.123955	-6.195247	-6.100836	-6.499078	-6.119529	-6.285167	-5.887730	-6.340274	-6.274088
																																																																		
		steyx	0.092349	0.040421	0.397293	0.071788	0.141569	0.095999	0.036822	0.105069	0.061651	0.081097	0.067418	0.093663	0.042770	0.039218	0.054785	0.026283	0.024459	0.086063	0.066812	0.045291	0.060275	0.066354	0.076816	0.050516	0.081953	0.037921	0.061578	0.078977	0.057318	0.085193	0.123956	0.050597	0.045408	0.079294	0.052407	0.152708	0.072835	0.059427	0.057013	0.094887	0.098030	0.074955	0.085176	0.073039	0.066988	0.060788	0.177386	0.074312	0.040033	0.084296	0.055422	0.066832	0.042113	0.051615	0.050493	0.082910	0.070475	0.040705	0.089925	0.071820	0.069030	0.055118	0.073883	0.039758
																																																																		
