			AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
		15000	1.355e+04	2.315e+04	1.181e+04	1.363e+04	1.018e+04	2.204e+04	9.079e+03	9.232e+03	2.094e+04	1.029e+04	2.065e+05	1.405e+04	9.914e+03	9.718e+03	2.701e+04	1.669e+04	1.133e+04	1.128e+04	1.428e+04	1.444e+04	1.114e+04	1.301e+04	1.305e+04	1.002e+04	1.599e+04	1.141e+04	1.455e+04	1.298e+04	1.411e+04	8.820e+03	1.492e+04	7.437e+03	3.050e+04	7.063e+03	1.211e+04	1.387e+04	8.020e+04	1.252e+04	8.635e+03	1.467e+04	1.870e+04	1.468e+04	4.460e+03	2.407e+04	4.306e+04	7.155e+03	2.354e+04	1.203e+04	1.020e+04	2.682e+04	1.276e+04	1.194e+04	1.042e+04	1.035e+04	1.762e+04	1.217e+04	1.581e+04	1.292e+04	1.336e+04	9.879e+03	2.755e+04	1.224e+04	1.501e+04
		15000	1.366e+04	2.426e+04	1.263e+04	1.248e+04	1.209e+04	2.217e+04	1.085e+04	1.142e+04	2.248e+04	1.113e+04	2.285e+05	1.564e+04	1.027e+04	1.071e+04	2.941e+04	1.735e+04	1.348e+04	1.157e+04	2.097e+04	1.511e+04	1.210e+04	1.425e+04	1.418e+04	1.108e+04	1.739e+04	1.167e+04	1.557e+04	1.260e+04	1.555e+04	9.678e+03	1.599e+04	8.725e+03	3.215e+04	7.352e+03	1.263e+04	1.813e+04	9.210e+04	1.360e+04	9.377e+03	1.618e+04	1.990e+04	1.805e+04	4.553e+03	2.784e+04	4.534e+04	7.508e+03	2.592e+04	1.209e+04	1.142e+04	3.017e+04	1.451e+04	1.372e+04	1.259e+04	1.219e+04	1.870e+04	1.351e+04	1.587e+04	1.450e+04	1.503e+04	1.215e+04	2.930e+04	1.588e+04	1.523e+04
		150000	1.094e+05	1.870e+05	1.094e+05	1.123e+05	1.081e+05	2.166e+05	9.289e+04	8.220e+04	1.753e+05	1.117e+05	1.292e+06	1.472e+05	1.087e+05	1.008e+05	2.231e+05	1.650e+05	9.975e+04	9.121e+04	1.564e+05	1.269e+05	9.492e+04	1.215e+05	1.243e+05	9.658e+04	1.528e+05	9.238e+04	1.405e+05	1.227e+05	1.154e+05	8.609e+04	1.308e+05	7.510e+04	2.630e+05	5.698e+04	1.104e+05	1.306e+05	6.196e+05	1.309e+05	9.038e+04	1.337e+05	1.799e+05	1.277e+05	4.793e+04	2.066e+05	3.531e+05	7.500e+04	2.180e+05	1.255e+05	1.051e+05	2.349e+05	1.376e+05	1.050e+05	1.022e+05	1.002e+05	1.555e+05	1.211e+05	1.436e+05	1.334e+05	1.414e+05	1.068e+05	2.355e+05	1.302e+05	1.520e+05
		150000	1.348e+05	1.962e+05	1.260e+05	1.285e+05	1.123e+05	2.282e+05	9.775e+04	9.496e+04	2.004e+05	1.141e+05	1.376e+06	1.459e+05	1.107e+05	1.031e+05	2.247e+05	1.691e+05	1.161e+05	1.136e+05	1.715e+05	1.463e+05	1.209e+05	1.429e+05	1.265e+05	1.090e+05	1.667e+05	1.154e+05	1.564e+05	1.226e+05	1.491e+05	9.143e+04	1.434e+05	7.116e+04	2.705e+05	6.425e+04	1.312e+05	1.380e+05	6.776e+05	1.379e+05	9.542e+04	1.718e+05	1.901e+05	1.409e+05	4.736e+04	2.268e+05	3.780e+05	8.182e+04	2.271e+05	1.263e+05	1.159e+05	2.594e+05	1.443e+05	1.216e+05	1.188e+05	1.147e+05	1.833e+05	1.390e+05	1.545e+05	1.384e+05	1.406e+05	1.006e+05	2.533e+05	1.500e+05	1.591e+05
		150000	1.321e+05	1.732e+05	1.148e+05	1.179e+05	9.909e+04	2.151e+05	9.193e+04	9.430e+04	1.938e+05	1.091e+05	1.344e+06	1.374e+05	1.095e+05	1.021e+05	2.376e+05	1.560e+05	1.151e+05	1.058e+05	1.475e+05	1.323e+05	8.857e+04	1.118e+05	1.223e+05	9.959e+04	1.520e+05	9.080e+04	1.424e+05	1.075e+05	1.194e+05	8.468e+04	1.366e+05	7.834e+04	2.575e+05	5.618e+04	1.237e+05	1.500e+05	6.373e+05	1.349e+05	9.571e+04	1.543e+05	1.657e+05	1.347e+05	4.646e+04	2.215e+05	3.537e+05	8.092e+04	2.656e+05	1.115e+05	1.000e+05	2.546e+05	1.193e+05	1.095e+05	1.100e+05	1.227e+05	1.624e+05	1.288e+05	1.439e+05	1.043e+05	1.233e+05	8.608e+04	2.405e+05	1.303e+05	1.519e+05
																																																																	
																																																																	
		1.1760912590556813	1.086151	1.454926	1.357561	0.856407	0.885771	1.470894	1.066078	0.964040	1.372795	0.934487	2.995746	1.219704	1.192054	1.049741	1.631528	1.365269	0.944827	1.069982	1.418045	1.337888	1.010255	1.303424	1.273088	1.024125	1.356965	1.208429	1.105085	1.424891	1.421412	1.081840	1.375351	0.932600	1.826146	1.010576	1.731093	1.130711	2.386657	1.030922	1.068263	1.491626	1.608682	1.404315	0.802262	1.481856	2.027484	1.279513	1.659067	1.225787	1.295123	1.651815	1.021535	1.066489	1.090506	1.277305	1.519895	1.229306	1.294937	1.441203	1.420392	1.107139	1.463773	1.396930	1.370780
		1.1760912590556813	1.311835	1.519868	1.063410	1.555210	1.122968	1.531390	0.803222	1.102637	1.169984	1.024270	3.023083	1.334611	1.168977	1.209538	1.707711	1.355434	1.071042	1.294031	1.349989	1.443294	1.230144	1.354918	1.087267	1.366225	1.412474	1.192428	1.339134	1.365683	1.136302	1.263981	1.208363	0.891063	1.893173	1.031994	1.359005	1.211056	2.202986	1.215009	0.965967	1.477641	1.367846	1.100736	0.802469	1.655748	1.969694	1.275779	1.491828	1.119824	0.982607	1.807479	1.239265	1.097157	1.186934	1.236002	1.186397	1.419246	1.389391	1.103771	1.148096	1.050714	1.486231	1.167971	1.370485
		1.1760912590556813	1.448489	1.496450	1.265407	1.139491	1.089482	1.567361	1.247033	1.205817	1.441748	1.186511	2.653497	1.342312	1.143369	1.152214	1.631309	1.342358	1.301764	1.029448	1.404773	1.203291	1.084301	1.096624	1.211444	1.210957	1.299538	1.232540	1.433520	1.235570	1.410038	0.740479	1.358967	0.779436	1.838830	0.965057	1.195267	1.319980	2.387166	1.106991	1.243803	1.152399	1.300976	1.120435	0.698798	1.462487	1.809235	0.618066	1.694953	1.205887	0.996119	1.757733	1.113878	1.227116	1.212732	1.221788	1.483070	1.410614	1.224486	1.222483	1.175844	1.217232	1.415450	1.429904	1.322857
		2.1760912590556813	2.108346	2.384040	2.170599	2.147006	1.760199	2.527191	2.102112	2.023349	2.474877	2.033164	3.699276	2.264091	2.037697	2.091043	2.644591	2.289048	2.127674	2.068222	2.342152	2.294915	2.064687	2.296964	2.200792	2.063518	2.275849	2.085018	2.205399	2.137962	2.244744	1.792868	2.218507	1.886712	2.613342	1.956588	2.146794	2.370427	3.184756	2.129734	1.997443	2.262222	2.396791	2.237208	1.526472	2.559997	2.784387	1.864152	2.431936	2.121757	2.164988	2.593286	2.128922	2.132072	2.172948	2.084372	2.311373	2.183656	2.271985	2.207886	2.197277	1.960668	2.581459	2.339250	2.225684
		2.1760912590556813	2.230547	2.461154	2.142990	2.232799	2.042962	2.471596	2.024154	2.077301	2.432798	1.990158	3.673043	2.242440	2.071821	2.067179	2.620887	2.327611	2.070714	2.074628	2.254010	2.190307	2.010650	2.141045	2.171062	2.146480	2.242149	2.048357	2.192847	2.272457	2.194068	1.927385	2.273664	1.896937	2.579461	1.921502	2.111510	2.324466	3.200502	2.212352	1.851712	2.280298	2.357117	2.210194	1.567000	2.588030	2.763217	1.930227	2.444405	2.183308	2.124033	2.652460	2.143445	2.090943	2.060398	2.081579	2.310973	2.105360	2.219980	2.192008	2.157701	2.012185	2.530020	2.307266	2.230557
		2.1760912590556813	2.149821	2.435696	2.094664	2.214386	1.995598	2.508270	2.037419	2.074403	2.362815	1.950111	3.670882	2.203569	2.045103	1.990400	2.588272	2.357323	2.025337	2.110144	2.313288	2.246330	2.034125	2.192551	2.199547	2.030294	2.303163	2.008065	2.224928	2.265517	2.169713	1.885678	2.173286	1.837078	2.585684	1.782653	2.112452	2.246058	3.141542	2.213222	1.936335	2.226218	2.338137	2.198410	1.609684	2.425869	2.773642	1.806027	2.380369	2.167627	2.102476	2.510778	2.188168	2.151096	2.064919	2.118985	2.312092	2.172798	2.223948	2.169805	2.235304	2.016235	2.513811	2.217524	2.218866
		3.1760912590556813	3.179233	3.398571	3.168409	3.188233	3.090186	3.456537	3.036368	3.034812	3.402818	2.993216	4.484137	3.239784	3.074164	3.091207	3.515040	3.322195	3.103414	3.113926	3.296835	3.184919	3.141272	3.201476	3.225670	3.096930	3.239460	3.122204	3.241133	3.204272	3.173982	3.042921	3.208943	2.921596	3.584043	2.873876	3.177310	3.281095	4.131066	3.180602	2.944339	3.274882	3.404018	3.206180	2.706537	3.488552	3.763991	2.948813	3.455874	3.194018	3.127287	3.537983	3.228044	3.137898	3.104877	3.060204	3.333758	3.195980	3.242812	3.186326	3.220587	3.092698	3.550980	3.301331	3.284950
		3.1760912590556813	3.151962	3.354188	3.144550	3.154671	2.917375	3.455227	3.031704	3.019200	3.361551	3.035849	4.475823	3.242496	3.066802	3.003897	3.527955	3.302798	3.102546	3.028178	3.271962	3.198070	3.108047	3.215274	3.127323	3.044073	3.232770	3.088831	3.145565	3.208321	3.182082	3.000256	3.197254	2.929404	3.519780	2.876538	3.163785	3.241845	4.064200	3.147772	2.981256	3.241528	3.363749	3.223141	2.666198	3.456661	3.722478	2.927223	3.419834	3.121370	3.137276	3.517372	3.228778	3.087354	3.113254	3.135592	3.293473	3.172467	3.280283	3.231034	3.194700	3.057953	3.471968	3.205797	3.238219
		3.1760912590556813	3.191839	3.301527	3.160280	3.183473	3.058326	3.490322	3.054902	2.991824	3.400292	3.100367	4.546254	3.241622	3.084966	3.030805	3.537898	3.261248	3.094079	3.048510	3.299338	3.162240	3.085651	3.196075	3.190100	3.073167	3.203015	3.145295	3.185137	3.197765	3.168031	2.950220	3.213455	2.932744	3.540336	2.874203	3.140756	3.202443	4.085514	3.190109	3.018005	3.269275	3.364909	3.276627	2.645983	3.500966	3.729206	2.870180	3.448929	3.170375	3.098312	3.549731	3.205213	3.157275	3.119044	3.093952	3.305264	3.194003	3.240023	3.135870	3.144424	2.998635	3.499109	3.232858	3.236039
		4.176091259055681	4.108147	4.353780	4.071246	4.074916	4.032425	4.348195	3.957419	3.998046	4.320015	4.024760	5.299403	4.157536	4.001469	3.995721	4.426168	4.207017	4.072968	4.030118	4.184527	4.152978	4.039851	4.116257	4.098948	4.003133	4.192569	4.020609	4.169555	4.099845	4.135329	3.961603	4.172711	3.891997	4.431254	3.851340	4.074969	4.160826	4.925471	4.081365	3.933210	4.186479	4.288410	4.162061	3.649050	4.414623	4.626892	3.878407	4.428556	4.079214	4.032985	4.474481	4.129242	4.086877	4.073554	4.066751	4.250211	4.073694	4.203065	4.137175	4.171784	4.086534	4.435076	4.181287	4.155901
		4.176091259055681	4.131863	4.364616	4.072185	4.134586	4.007551	4.343294	3.958015	3.965296	4.321063	4.012592	5.314942	4.147546	3.996234	3.987573	4.431499	4.222391	4.054307	4.052195	4.154645	4.159657	4.047000	4.114428	4.115670	4.000971	4.203829	4.057378	4.162843	4.113169	4.149584	3.945457	4.173843	3.871395	4.484361	3.848961	4.083265	4.142165	4.904187	4.097767	3.936268	4.166548	4.271896	4.166654	3.649332	4.381565	4.634058	3.854603	4.371888	4.080276	4.008619	4.428511	4.105931	4.077031	4.017897	4.014831	4.245949	4.085401	4.199034	4.111293	4.125806	3.994715	4.440047	4.087889	4.176498
		4.176091259055681	4.135369	4.384911	4.101345	4.096325	4.082327	4.345703	4.035451	4.057552	4.351854	4.046587	5.358854	4.194206	4.011520	4.029709	4.468445	4.239280	4.129534	4.063166	4.321647	4.179214	4.082892	4.153914	4.151702	4.044390	4.240369	4.066905	4.192279	4.100414	4.191670	3.985776	4.203971	3.940744	4.507125	3.866389	4.101293	4.258292	4.964281	4.133627	3.972074	4.208926	4.298929	4.256491	3.658255	4.444665	4.656489	3.875551	4.413678	4.082365	4.057507	4.479612	4.161519	4.137442	4.100118	4.085850	4.271766	4.130753	4.200600	4.161351	4.176925	4.084705	4.466833	4.200829	4.182676
		5.176091259055681	5.038981	5.271763	5.038914	5.050378	5.033963	5.335721	4.967965	4.914897	5.243753	5.048062	6.111283	5.167966	5.036107	5.003264	5.348574	5.217491	4.998919	4.960054	5.194375	5.103428	4.977374	5.084503	5.094611	4.984892	5.184050	4.965595	5.147660	5.088792	5.062109	4.934932	5.116685	4.875637	5.419950	4.755756	5.042795	5.115866	5.792133	5.116909	4.956055	5.126211	5.254963	5.106298	4.680627	5.315167	5.547924	4.875053	5.338552	5.098731	5.021541	5.370912	5.138578	5.021015	5.009357	5.000894	5.191724	5.082998	5.157302	5.125101	5.150542	5.028429	5.371969	5.114447	5.181816
		5.176091259055681	5.129591	5.292745	5.100327	5.108920	5.050293	5.358402	4.990101	4.977550	5.301981	5.057204	6.138638	5.164014	5.044055	5.013170	5.351538	5.228124	5.064654	5.055523	5.234206	5.165197	5.082265	5.155054	5.101977	5.037426	5.221915	5.062391	5.194306	5.088564	5.173561	4.961084	5.156651	4.852210	5.432224	4.807851	5.118063	5.139856	5.830958	5.139578	4.979649	5.234982	5.279008	5.149005	4.675456	5.355707	5.577441	4.912854	5.356235	5.101479	5.064070	5.413912	5.159162	5.085083	5.074965	5.059644	5.263220	5.143043	5.188980	5.141251	5.148064	5.002658	5.403630	5.176004	5.201678
		5.176091259055681	5.120992	5.238524	5.060030	5.071392	4.996036	5.332703	4.963464	4.974528	5.287371	5.037910	6.128315	5.138082	5.039216	5.009029	5.375886	5.193027	5.061204	5.024496	5.168831	5.121442	4.947283	5.048507	5.087426	4.998226	5.181859	4.958075	5.153439	5.031337	5.076828	4.927771	5.135354	4.893980	5.410812	4.749586	5.092280	5.176062	5.804344	5.130023	4.980967	5.188319	5.219311	5.129394	4.667072	5.345368	5.548657	4.908063	5.424288	5.047457	5.000038	5.405858	5.076643	5.039338	5.041297	5.089012	5.210705	5.109943	5.157915	5.018335	5.090910	4.934922	5.381025	5.115043	5.181494
																																																																	
		steyx	0.083620	0.038715	0.067089	0.141901	0.096440	0.035812	0.092821	0.055514	0.077179	0.061572	0.083890	0.035965	0.039516	0.048510	0.027388	0.024545	0.078583	0.063112	0.047197	0.057320	0.064848	0.067781	0.046782	0.078703	0.037036	0.056411	0.073576	0.054549	0.075284	0.123789	0.046665	0.044157	0.065218	0.048678	0.137879	0.069881	0.050270	0.054321	0.082558	0.084818	0.069648	0.077454	0.073651	0.060252	0.053034	0.163344	0.071654	0.036682	0.079069	0.051737	0.062638	0.045538	0.044084	0.049852	0.075701	0.073406	0.039769	0.076416	0.065462	0.064100	0.052777	0.071166	0.040847
																																																																	
		1.1760912590556813	1.282158	1.490414	1.228793	1.183703	1.032741	1.523215	1.038778	1.090831	1.328176	1.048422	2.890775	1.298876	1.168134	1.137165	1.656849	1.354354	1.105878	1.131153	1.390936	1.328158	1.108233	1.251655	1.190600	1.200436	1.356326	1.211132	1.292580	1.342048	1.322584	1.028767	1.314227	0.867700	1.852717	1.002542	1.428455	1.220582	2.325603	1.117640	1.092677	1.373889	1.425835	1.208496	0.767843	1.533364	1.935471	1.057786	1.615283	1.183833	1.091283	1.739009	1.124893	1.130254	1.163391	1.245032	1.396454	1.353055	1.302938	1.255819	1.248111	1.125028	1.455151	1.331602	1.354707
		2.1760912590556813	2.162904	2.426964	2.136084	2.198063	1.932920	2.502352	2.054562	2.058351	2.423497	1.991144	3.681067	2.236700	2.051540	2.049540	2.617916	2.324661	2.074575	2.084331	2.303150	2.243851	2.036487	2.210187	2.190467	2.080097	2.273720	2.047146	2.207725	2.225312	2.202842	1.868644	2.221819	1.873576	2.592829	1.886914	2.123585	2.313650	3.175600	2.185103	1.928497	2.256246	2.364015	2.215271	1.567719	2.524632	2.773749	1.866802	2.418903	2.157564	2.130499	2.585508	2.153512	2.124704	2.099422	2.094979	2.311479	2.153938	2.238637	2.189900	2.196761	1.996363	2.541763	2.288013	2.225036
		3.1760912590556813	3.174345	3.351429	3.157746	3.175459	3.021962	3.467362	3.040991	3.015279	3.388220	3.043144	4.502071	3.241301	3.075311	3.041970	3.526964	3.295413	3.100013	3.063538	3.289378	3.181743	3.111657	3.204275	3.181031	3.071390	3.225082	3.118777	3.190612	3.203453	3.174698	2.997799	3.206551	2.927915	3.548053	2.874872	3.160617	3.241795	4.093593	3.172828	2.981200	3.261895	3.377559	3.235316	2.672906	3.482060	3.738558	2.915405	3.441546	3.161921	3.120958	3.535028	3.220678	3.127509	3.112392	3.096583	3.310832	3.187484	3.254373	3.184410	3.186571	3.049762	3.507352	3.246662	3.253069
		4.176091259055681	4.125126	4.367769	4.081592	4.101942	4.040768	4.345731	3.983628	4.006965	4.330977	4.027980	5.324399	4.166430	4.003074	4.004334	4.442037	4.222896	4.085603	4.048493	4.220273	4.163950	4.056581	4.128200	4.122107	4.016165	4.212256	4.048297	4.174893	4.104476	4.158861	3.964279	4.183508	3.901379	4.474247	3.855563	4.086509	4.187094	4.931313	4.104253	3.947184	4.187318	4.286412	4.195069	3.652212	4.413618	4.639146	3.869521	4.404707	4.080618	4.033037	4.460868	4.132231	4.100450	4.063856	4.055811	4.255975	4.096616	4.200900	4.136606	4.158172	4.055318	4.447318	4.156668	4.171692
