		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15000	7.062e-07	1.084e-06	2.068e-07	6.491e-07	5.681e-07	4.771e-07	1.031e-06	4.583e-07	5.129e-07	1.053e-06	5.588e-07	5.711e-07	6.972e-07	4.885e-07	5.406e-07	1.354e-06	9.381e-07	5.866e-07	5.568e-07	5.998e-07	8.255e-07	5.211e-07	5.777e-07	7.021e-07	5.734e-07	7.904e-07	5.658e-07	7.359e-07	6.207e-07	5.889e-07	4.654e-07	7.300e-07	3.254e-07	1.639e-06	3.372e-07	6.552e-07	7.066e-07	6.444e-07	6.966e-07	4.782e-07	7.768e-07	9.654e-07	7.147e-07	2.327e-07	4.533e-07	8.717e-07	3.563e-07	1.198e-06	5.593e-07	5.795e-07	1.336e-06	7.045e-07	5.397e-07	4.598e-07	5.997e-07	9.373e-07	7.027e-07	7.535e-07	5.638e-07	6.985e-07	4.273e-07	1.286e-06	7.040e-07	7.976e-07
	15000	7.312e-07	1.058e-06	2.335e-07	7.046e-07	5.587e-07	5.231e-07	1.107e-06	4.595e-07	5.534e-07	1.006e-06	5.749e-07	6.134e-07	7.229e-07	4.894e-07	5.730e-07	1.307e-06	9.345e-07	6.587e-07	5.347e-07	4.257e-07	7.944e-07	5.691e-07	7.570e-07	7.419e-07	6.028e-07	7.994e-07	5.878e-07	7.802e-07	6.237e-07	6.275e-07	4.557e-07	7.777e-07	3.847e-07	1.638e-06	3.735e-07	6.491e-07	8.453e-07	7.119e-07	7.612e-07	4.981e-07	8.266e-07	9.934e-07	7.788e-07	2.211e-07	5.149e-07	8.467e-07	3.599e-07	1.273e-06	5.650e-07	6.251e-07	1.424e-06	7.809e-07	5.875e-07	5.413e-07	7.272e-07	9.792e-07	7.503e-07	7.482e-07	6.536e-07	7.258e-07	5.282e-07	1.371e-06	8.090e-07	7.509e-07
	150000	5.809e-06	8.953e-06	1.834e-06	5.730e-06	4.424e-06	4.769e-06	9.871e-06	4.351e-06	4.409e-06	9.245e-06	5.251e-06	5.293e-06	6.967e-06	5.129e-06	5.383e-06	1.105e-05	8.679e-06	5.261e-06	4.806e-06	5.975e-06	7.741e-06	4.873e-06	5.983e-06	6.176e-06	5.374e-06	7.563e-06	4.490e-06	7.049e-06	5.717e-06	4.802e-06	4.432e-06	6.639e-06	3.271e-06	1.450e-05	2.872e-06	5.456e-06	6.343e-06	6.180e-06	6.641e-06	4.569e-06	6.952e-06	8.951e-06	6.673e-06	2.479e-06	4.295e-06	7.690e-06	3.564e-06	1.164e-05	5.361e-06	5.559e-06	1.088e-05	6.263e-06	4.776e-06	4.597e-06	6.185e-06	8.559e-06	6.119e-06	7.139e-06	5.222e-06	7.336e-06	4.670e-06	1.114e-05	6.686e-06	7.333e-06
	150000	6.832e-06	9.065e-06	1.850e-06	6.789e-06	5.607e-06	5.058e-06	1.059e-05	4.548e-06	5.238e-06	1.091e-05	5.713e-06	5.849e-06	7.219e-06	4.349e-06	5.513e-06	1.049e-05	8.985e-06	6.316e-06	5.351e-06	6.463e-06	8.030e-06	5.444e-06	6.856e-06	6.729e-06	5.760e-06	8.036e-06	5.367e-06	7.766e-06	6.120e-06	6.338e-06	4.692e-06	7.353e-06	3.133e-06	1.501e-05	3.261e-06	6.377e-06	6.728e-06	6.701e-06	7.098e-06	4.763e-06	8.471e-06	9.937e-06	7.356e-06	2.540e-06	4.771e-06	8.793e-06	4.090e-06	1.233e-05	5.488e-06	6.290e-06	1.216e-05	7.386e-06	5.541e-06	5.361e-06	6.846e-06	9.476e-06	7.570e-06	7.629e-06	6.428e-06	7.422e-06	4.871e-06	1.247e-05	8.129e-06	7.806e-06
	150000	6.799e-06	8.130e-06	1.783e-06	6.193e-06	5.055e-06	4.445e-06	1.054e-05	4.419e-06	5.328e-06	1.072e-05	5.591e-06	5.916e-06	6.977e-06	5.212e-06	5.347e-06	1.268e-05	8.619e-06	6.036e-06	5.875e-06	5.679e-06	7.852e-06	4.288e-06	6.021e-06	6.337e-06	5.577e-06	7.635e-06	4.630e-06	7.426e-06	5.551e-06	5.303e-06	4.490e-06	7.301e-06	3.474e-06	1.424e-05	2.819e-06	6.241e-06	7.605e-06	6.389e-06	6.926e-06	4.609e-06	7.930e-06	9.533e-06	6.996e-06	2.466e-06	4.524e-06	8.314e-06	4.022e-06	1.042e-05	4.953e-06	5.151e-06	1.256e-05	6.345e-06	5.253e-06	5.164e-06	7.259e-06	8.834e-06	7.599e-06	7.553e-06	4.392e-06	6.588e-06	4.227e-06	1.137e-05	6.797e-06	7.492e-06
																																																																	
																																																																	
	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)
	150000	6.480e-06	8.716e-06	1.822e-06	6.237e-06	5.029e-06	4.757e-06	1.033e-05	4.439e-06	4.992e-06	1.029e-05	5.518e-06	5.686e-06	7.054e-06	4.897e-06	5.414e-06	1.141e-05	8.761e-06	5.871e-06	5.344e-06	6.039e-06	7.874e-06	4.868e-06	6.287e-06	6.414e-06	5.570e-06	7.745e-06	4.829e-06	7.414e-06	5.796e-06	5.481e-06	4.538e-06	7.098e-06	3.293e-06	1.458e-05	2.984e-06	6.025e-06	6.892e-06	6.423e-06	6.888e-06	4.647e-06	7.784e-06	9.474e-06	7.008e-06	2.495e-06	4.530e-06	8.266e-06	3.892e-06	1.146e-05	5.267e-06	5.667e-06	1.187e-05	6.665e-06	5.190e-06	5.041e-06	6.763e-06	8.956e-06	7.096e-06	7.440e-06	5.347e-06	7.115e-06	4.589e-06	1.166e-05	7.204e-06	7.544e-06
																																																																	
																																																																	
	0.0001	0.000118	0.000175	0.020776	0.000227	0.000057	0.000081	0.000150	0.000146	0.000117	0.000126	0.000094	0.000165	0.000130	0.000192	0.000109	0.000227	0.000174	0.000091	0.000133	0.000188	0.000186	0.000120	0.000176	0.000184	0.000122	0.000158	0.000201	0.000102	0.000237	0.000226	0.000156	0.000189	0.000128	0.000289	0.000206	0.000509	0.000109	0.000157	0.000089	0.000149	0.000257	0.000216	0.000209	0.000158	0.000090	0.000197	0.000302	0.000222	0.000158	0.000205	0.000205	0.000102	0.000131	0.000132	0.000186	0.000225	0.000165	0.000151	0.000249	0.000233	0.000137	0.000136	0.000198	0.000171
	0.0001	0.000218	0.000223	0.027174	0.000124	0.000333	0.000142	0.000184	0.000066	0.000169	0.000091	0.000127	0.000197	0.000195	0.000169	0.000131	0.000250	0.000179	0.000137	0.000215	0.000173	0.000244	0.000192	0.000209	0.000123	0.000254	0.000193	0.000183	0.000179	0.000251	0.000116	0.000254	0.000132	0.000121	0.000371	0.000213	0.000222	0.000140	0.000100	0.000164	0.000119	0.000257	0.000158	0.000113	0.000169	0.000142	0.000173	0.000297	0.000156	0.000136	0.000115	0.000303	0.000144	0.000145	0.000173	0.000147	0.000113	0.000259	0.000184	0.000118	0.000114	0.000137	0.000157	0.000128	0.000187
	0.0001	0.000257	0.000193	0.031893	0.000197	0.000119	0.000125	0.000191	0.000248	0.000206	0.000160	0.000174	0.000071	0.000186	0.000156	0.000158	0.000222	0.000169	0.000222	0.000120	0.000197	0.000143	0.000140	0.000128	0.000167	0.000204	0.000157	0.000214	0.000241	0.000178	0.000229	0.000076	0.000189	0.000096	0.000301	0.000177	0.000159	0.000179	0.000158	0.000107	0.000230	0.000109	0.000152	0.000116	0.000141	0.000078	0.000130	0.000061	0.000264	0.000161	0.000111	0.000267	0.000121	0.000182	0.000169	0.000158	0.000212	0.000238	0.000134	0.000139	0.000135	0.000199	0.000137	0.000228	0.000158
	0.001	0.001279	0.001483	0.556429	0.001535	0.001128	0.000655	0.001697	0.001619	0.001308	0.001576	0.001120	0.001190	0.001422	0.001263	0.001300	0.001972	0.001267	0.001334	0.001192	0.001701	0.001723	0.001198	0.001618	0.001495	0.001369	0.001366	0.001517	0.001150	0.001354	0.001620	0.000839	0.001296	0.001170	0.001713	0.001605	0.001412	0.001477	0.001260	0.001193	0.001318	0.001394	0.001602	0.001352	0.000854	0.001247	0.001150	0.001141	0.001296	0.001376	0.001476	0.001798	0.001165	0.001410	0.001501	0.001183	0.001453	0.001426	0.001269	0.001371	0.001257	0.000988	0.001834	0.001852	0.001305
	0.001	0.001586	0.001816	0.039224	0.001468	0.001426	0.001255	0.001628	0.001376	0.001559	0.001450	0.001048	0.001158	0.001321	0.001523	0.001360	0.001958	0.001534	0.001293	0.001246	0.001418	0.001299	0.000960	0.001240	0.001396	0.001417	0.001211	0.001367	0.001328	0.001749	0.001435	0.001186	0.001534	0.001285	0.001640	0.001577	0.001257	0.001446	0.001386	0.001421	0.000931	0.001480	0.001514	0.001334	0.001031	0.001472	0.001130	0.001145	0.001462	0.001515	0.001439	0.002170	0.001403	0.001285	0.001067	0.001243	0.001491	0.001286	0.001192	0.001292	0.001207	0.001113	0.001611	0.001795	0.001373
	0.001	0.001387	0.001630	0.032173	0.001243	0.001222	0.001084	0.001189	0.001362	0.001463	0.001184	0.000962	0.001151	0.001288	0.001307	0.001168	0.001823	0.001550	0.001192	0.001003	0.001464	0.001476	0.001110	0.001521	0.001475	0.001101	0.001157	0.001169	0.001393	0.001581	0.001309	0.001074	0.001195	0.001028	0.001635	0.001160	0.001212	0.001286	0.001079	0.001376	0.001168	0.001271	0.001394	0.001331	0.001088	0.000754	0.000982	0.001032	0.001276	0.001454	0.001332	0.001483	0.001389	0.001456	0.001191	0.001382	0.001245	0.001430	0.001222	0.001254	0.001470	0.001161	0.001518	0.001364	0.001100
	0.01	0.014219	0.015122	0.068813	0.013427	0.013988	0.012522	0.013848	0.013313	0.014029	0.013555	0.010728	0.012170	0.013861	0.013497	0.013932	0.015377	0.013811	0.012954	0.013177	0.015009	0.013665	0.014124	0.014704	0.014645	0.013400	0.012118	0.015268	0.012865	0.015254	0.013589	0.013803	0.012200	0.012267	0.015614	0.014574	0.014379	0.015032	0.015168	0.013474	0.011829	0.013270	0.014693	0.013072	0.012930	0.012786	0.013913	0.013803	0.014141	0.014036	0.013768	0.015969	0.014487	0.013919	0.012605	0.011803	0.013633	0.014149	0.013288	0.014581	0.011454	0.013723	0.015635	0.014964	0.014555
	0.01	0.012596	0.013515	0.038807	0.012105	0.012526	0.008791	0.014051	0.012914	0.012723	0.012564	0.010264	0.010665	0.013345	0.013207	0.011333	0.015850	0.011814	0.011857	0.011009	0.012067	0.013868	0.012086	0.015075	0.012131	0.012545	0.011093	0.013603	0.011629	0.013837	0.013353	0.012620	0.011866	0.011747	0.013495	0.014296	0.013285	0.012944	0.011678	0.012357	0.011532	0.012530	0.013479	0.012916	0.010918	0.009894	0.012885	0.011644	0.012693	0.011938	0.012593	0.014688	0.012331	0.013212	0.012713	0.012614	0.012059	0.012149	0.012737	0.014188	0.012630	0.011732	0.013696	0.012153	0.012558
	0.01	0.014144	0.011691	0.143607	0.013419	0.013680	0.011986	0.014912	0.012808	0.012577	0.013321	0.012274	0.009898	0.012659	0.013926	0.012598	0.016613	0.012464	0.012715	0.012294	0.014762	0.010654	0.012947	0.013855	0.013235	0.012900	0.011826	0.014773	0.010601	0.014382	0.013534	0.010892	0.011979	0.012722	0.015305	0.014725	0.013045	0.012870	0.012405	0.012665	0.012182	0.013514	0.013511	0.011425	0.011122	0.012289	0.011518	0.010326	0.013155	0.013599	0.013542	0.016677	0.013467	0.014268	0.012842	0.012670	0.013298	0.013750	0.012767	0.013384	0.012105	0.010293	0.015266	0.014575	0.012845
	0.1	0.105370	0.117370	0.240187	0.103169	0.105873	0.099341	0.107319	0.103935	0.102270	0.092094	0.099414	0.098329	0.097061	0.103009	0.088709	0.117387	0.096952	0.081485	0.096781	0.100149	0.100135	0.106464	0.103966	0.102292	0.098881	0.100405	0.107890	0.101987	0.104417	0.104105	0.088431	0.100441	0.105264	0.112594	0.115717	0.099142	0.109678	0.101271	0.100256	0.097633	0.102013	0.101597	0.104904	0.088818	0.098918	0.101153	0.096634	0.096482	0.104303	0.104365	0.115281	0.106562	0.103468	0.100185	0.101592	0.104451	0.102480	0.100332	0.110522	0.095695	0.111214	0.108834	0.104123	0.102854
	0.1	0.108981	0.124369	0.113481	0.104067	0.112972	0.100287	0.099771	0.103236	0.102751	0.102316	0.101262	0.100440	0.098833	0.099762	0.099846	0.118703	0.107077	0.099915	0.104192	0.099321	0.104834	0.107039	0.091893	0.109464	0.102938	0.102057	0.117167	0.099263	0.107091	0.107444	0.102556	0.102851	0.098826	0.112389	0.113003	0.108753	0.102525	0.100322	0.101128	0.102905	0.099790	0.101904	0.101979	0.093267	0.100066	0.105460	0.091547	0.104507	0.106183	0.102265	0.112584	0.105707	0.103988	0.091218	0.088669	0.104652	0.099028	0.101272	0.105436	0.098168	0.093107	0.110292	0.097723	0.105731
	0.1	0.112840	0.121386	0.128132	0.112965	0.111103	0.109957	0.107126	0.103507	0.110865	0.097749	0.104180	0.107879	0.102476	0.099946	0.105830	0.114582	0.106666	0.112196	0.100056	0.070492	0.100885	0.116898	0.120414	0.115669	0.108216	0.103219	0.121723	0.105238	0.107609	0.114486	0.100419	0.109571	0.116835	0.112320	0.125168	0.107740	0.122649	0.110830	0.110506	0.107187	0.106188	0.104859	0.111125	0.088617	0.113664	0.102436	0.092472	0.111050	0.107265	0.110312	0.120000	0.117170	0.113198	0.107387	0.107521	0.109330	0.105736	0.100560	0.122229	0.102005	0.115093	0.117581	0.112299	0.099540
	1.0	0.896451	1.027191	1.006402	0.918662	0.879756	1.002452	0.955227	0.980102	0.883272	0.898300	0.951555	0.930883	0.987620	1.047447	0.994213	0.968732	0.990640	0.896099	0.899326	0.989402	0.983067	1.000959	0.951697	0.962894	0.964754	0.976543	0.929799	0.950812	0.986370	0.876117	0.976642	0.935378	0.993420	0.994286	0.962466	0.905610	0.920342	0.962117	0.964094	0.983215	0.893076	0.944830	0.952152	0.993587	0.948124	0.930354	0.915725	1.015411	1.017783	0.981000	0.916854	0.939732	0.920231	0.911983	0.914490	0.955637	0.862317	0.959500	0.976562	1.031013	1.017577	0.955403	0.928096	0.972074
	1.0	1.054321	1.040041	1.015182	1.088446	1.115007	1.063201	1.024806	1.024478	1.049349	1.060081	1.035276	1.028667	1.023343	0.888155	1.018223	0.919638	1.025568	1.075796	1.001310	1.070210	1.019769	1.118247	1.090562	1.049111	1.034049	1.037617	1.111410	1.047525	1.055901	1.156358	1.033936	1.035974	0.951508	1.029257	1.092828	1.058482	0.976204	1.043228	1.030438	1.024962	1.088211	1.048907	1.049608	1.018036	1.053201	1.063798	1.050874	1.075603	1.041893	1.110000	1.024719	1.108232	1.067630	1.063550	1.012223	1.058022	1.066798	1.025357	1.202095	1.043099	1.061374	1.069468	1.128401	1.034775
	1.0	1.049228	0.932767	0.978416	0.992892	1.005237	0.934347	1.019967	0.995420	1.067379	1.041619	1.013168	1.040450	0.989037	1.064398	0.987564	1.111631	0.983792	1.028104	1.099364	0.940387	0.997164	0.880794	0.957741	0.987995	1.001197	0.985840	0.958791	1.001664	0.957729	0.967524	0.989423	1.028648	1.055072	0.976457	0.944705	1.035908	1.103453	0.994655	1.005468	0.991823	1.018713	1.006263	0.998240	0.988377	0.998675	1.005847	1.033402	0.908985	0.940324	0.909000	1.058427	0.952036	1.012139	1.024468	1.073287	0.986341	1.070885	1.015143	0.821344	0.925888	0.921049	0.975129	0.943504	0.993151
																																																																	
scaled(min)	0.0001	0.000198	0.000197	0.026614	0.000183	0.000170	0.000116	0.000175	0.000153	0.000164	0.000126	0.000132	0.000144	0.000170	0.000172	0.000133	0.000233	0.000174	0.000150	0.000156	0.000186	0.000191	0.000151	0.000171	0.000158	0.000193	0.000170	0.000199	0.000174	0.000222	0.000190	0.000162	0.000170	0.000115	0.000321	0.000199	0.000297	0.000143	0.000138	0.000120	0.000166	0.000208	0.000175	0.000146	0.000156	0.000103	0.000167	0.000220	0.000214	0.000152	0.000144	0.000259	0.000122	0.000153	0.000158	0.000164	0.000183	0.000220	0.000157	0.000168	0.000161	0.000158	0.000143	0.000185	0.000172
scaled(max)	1.0	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
