		AHCY	AKR1C1	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDKN3	CHD5	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC	ULK2	WSB1
	15000	1.439e+04	9.520e+03	1.244e+04	7.057e+03	6.410e+03	1.272e+04	5.880e+03	9.182e+03	6.534e+03	1.898e+04	1.887e+04	1.556e+04	1.003e+04	8.990e+03	1.600e+04	1.140e+04	1.530e+04	9.834e+03	1.075e+04	1.056e+04	1.096e+04	1.035e+04	1.494e+04	1.236e+04	1.930e+04	1.162e+04	1.052e+04	1.265e+04	1.651e+04	5.406e+03	8.189e+03	6.450e+03	1.991e+04	4.566e+03	1.343e+04	1.334e+04	6.521e+03	1.397e+04	6.930e+03	1.048e+04	1.915e+04	1.173e+04	4.308e+03	7.984e+03	1.822e+04	6.962e+03	1.825e+04	1.195e+04	1.603e+04	1.374e+04	1.469e+04	9.837e+03	7.698e+03	1.014e+04	2.250e+04	1.342e+04	1.914e+04	9.785e+03	1.788e+04	3.577e+03	1.696e+04	1.504e+04	1.238e+04
	15000	1.449e+04	9.207e+03	1.365e+04	7.046e+03	7.441e+03	1.347e+04	6.301e+03	1.038e+04	6.741e+03	1.903e+04	1.977e+04	1.683e+04	1.031e+04	9.925e+03	1.571e+04	1.122e+04	1.795e+04	9.560e+03	9.949e+03	1.012e+04	1.207e+04	1.379e+04	1.588e+04	1.328e+04	2.006e+04	1.235e+04	1.167e+04	1.287e+04	1.772e+04	5.498e+03	8.755e+03	7.855e+03	2.006e+04	5.072e+03	1.312e+04	1.635e+04	7.498e+03	1.540e+04	7.389e+03	1.157e+04	1.954e+04	1.307e+04	4.088e+03	9.052e+03	1.823e+04	7.063e+03	1.911e+04	1.220e+04	1.771e+04	1.532e+04	1.602e+04	1.019e+04	9.624e+03	1.262e+04	2.405e+04	1.482e+04	1.836e+04	1.122e+04	1.881e+04	4.658e+03	1.848e+04	1.878e+04	1.169e+04
	150000	1.464e+05	1.089e+05	1.368e+05	6.985e+04	8.366e+04	1.570e+05	7.460e+04	9.872e+04	8.061e+04	2.117e+05	1.995e+05	1.884e+05	1.328e+05	1.148e+05	1.658e+05	1.449e+05	1.604e+05	1.082e+05	1.497e+05	1.302e+05	1.255e+05	1.348e+05	1.603e+05	1.470e+05	2.090e+05	1.128e+05	1.283e+05	1.500e+05	1.580e+05	7.054e+04	9.720e+04	7.856e+04	2.301e+05	4.960e+04	1.346e+05	1.474e+05	8.765e+04	1.647e+05	8.464e+04	1.226e+05	2.209e+05	1.381e+05	5.676e+04	9.286e+04	1.914e+05	8.121e+04	2.201e+05	1.497e+05	1.735e+05	1.515e+05	1.580e+05	1.028e+05	9.547e+04	1.313e+05	2.485e+05	1.490e+05	1.998e+05	1.145e+05	2.224e+05	5.467e+04	1.880e+05	1.753e+05	1.458e+05
	150000	1.673e+05	1.092e+05	1.570e+05	9.067e+04	8.700e+04	1.717e+05	7.919e+04	1.204e+05	8.795e+04	2.496e+05	2.170e+05	1.955e+05	1.115e+05	1.163e+05	1.583e+05	1.485e+05	1.901e+05	1.261e+05	1.912e+05	1.364e+05	1.485e+05	1.554e+05	1.733e+05	1.628e+05	2.360e+05	1.432e+05	1.423e+05	1.515e+05	2.018e+05	7.357e+04	1.108e+05	7.989e+04	2.392e+05	5.985e+04	1.560e+05	1.551e+05	9.424e+04	1.726e+05	8.913e+04	1.515e+05	2.419e+05	1.523e+05	5.957e+04	1.047e+05	2.224e+05	9.498e+04	2.347e+05	1.572e+05	1.969e+05	1.704e+05	1.862e+05	1.220e+05	1.147e+05	1.424e+05	2.841e+05	1.840e+05	2.207e+05	1.379e+05	2.264e+05	5.599e+04	2.161e+05	2.139e+05	1.558e+05
	150000	1.649e+05	9.670e+04	1.518e+05	7.936e+04	7.642e+04	1.663e+05	7.547e+04	1.240e+05	8.551e+04	2.415e+05	2.198e+05	1.848e+05	1.335e+05	1.130e+05	1.931e+05	1.400e+05	1.827e+05	1.393e+05	1.370e+05	1.328e+05	1.101e+05	1.316e+05	1.657e+05	1.510e+05	2.111e+05	1.175e+05	1.365e+05	1.402e+05	1.611e+05	7.106e+04	1.088e+05	8.328e+04	2.262e+05	4.860e+04	1.536e+05	1.754e+05	8.733e+04	1.680e+05	8.587e+04	1.442e+05	2.312e+05	1.447e+05	5.547e+04	9.704e+04	2.086e+05	9.376e+04	2.069e+05	1.321e+05	1.649e+05	1.798e+05	1.574e+05	1.133e+05	1.080e+05	1.550e+05	2.596e+05	1.816e+05	2.122e+05	9.225e+04	1.933e+05	4.604e+04	1.945e+05	1.775e+05	1.493e+05
																																																																
																																																																
	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)
	150000	1.595e+05	1.049e+05	1.485e+05	7.996e+04	8.236e+04	1.650e+05	7.642e+04	1.144e+05	8.469e+04	2.343e+05	2.121e+05	1.896e+05	1.259e+05	1.147e+05	1.724e+05	1.445e+05	1.777e+05	1.245e+05	1.593e+05	1.331e+05	1.280e+05	1.406e+05	1.664e+05	1.536e+05	2.187e+05	1.245e+05	1.357e+05	1.472e+05	1.736e+05	7.172e+04	1.056e+05	8.058e+04	2.318e+05	5.268e+04	1.481e+05	1.593e+05	8.974e+04	1.684e+05	8.655e+04	1.394e+05	2.313e+05	1.450e+05	5.727e+04	9.820e+04	2.075e+05	8.998e+04	2.206e+05	1.463e+05	1.784e+05	1.672e+05	1.672e+05	1.127e+05	1.061e+05	1.429e+05	2.641e+05	1.715e+05	2.109e+05	1.149e+05	2.140e+05	5.223e+04	1.995e+05	1.889e+05	1.503e+05
																																																																
																																																																
	0.0001	0.000051	0.000047	0.000104	0.000018	0.000028	0.000051	0.000054	0.000050	0.000029	0.000050	0.000099	0.000059	0.000089	0.000046	0.000075	0.000059	0.000047	0.000052	0.000069	0.000066	0.000051	0.000076	0.000093	0.000055	0.000081	0.000091	0.000036	0.000116	0.000114	0.000051	0.000063	0.000061	0.000099	0.000081	0.000259	0.000048	0.000048	0.000039	0.000056	0.000097	0.000103	0.000088	0.000072	0.000037	0.000087	0.000146	0.000084	0.000072	0.000112	0.000061	0.000045	0.000051	0.000051	0.000081	0.000114	0.000070	0.000077	0.000103	0.000122	0.000038	0.000045	0.000102	0.000068
	0.0001	0.000100	0.000061	0.000053	0.000126	0.000055	0.000060	0.000024	0.000076	0.000041	0.000036	0.000119	0.000094	0.000078	0.000058	0.000085	0.000060	0.000067	0.000089	0.000077	0.000089	0.000085	0.000091	0.000057	0.000126	0.000093	0.000083	0.000068	0.000118	0.000055	0.000090	0.000042	0.000055	0.000131	0.000085	0.000107	0.000059	0.000028	0.000073	0.000046	0.000096	0.000070	0.000043	0.000075	0.000057	0.000081	0.000145	0.000056	0.000061	0.000059	0.000100	0.000069	0.000059	0.000072	0.000068	0.000053	0.000117	0.000094	0.000046	0.000055	0.000038	0.000049	0.000060	0.000076
	0.0001	0.000117	0.000053	0.000089	0.000041	0.000047	0.000064	0.000095	0.000088	0.000058	0.000067	0.000040	0.000090	0.000075	0.000069	0.000075	0.000056	0.000115	0.000046	0.000072	0.000047	0.000063	0.000052	0.000081	0.000091	0.000078	0.000095	0.000093	0.000078	0.000114	0.000023	0.000064	0.000041	0.000105	0.000068	0.000072	0.000077	0.000049	0.000049	0.000095	0.000038	0.000065	0.000045	0.000061	0.000030	0.000056	0.000027	0.000101	0.000071	0.000057	0.000085	0.000056	0.000078	0.000070	0.000066	0.000102	0.000108	0.000067	0.000060	0.000067	0.000055	0.000043	0.000111	0.000062
	0.001	0.000762	0.000636	0.000664	0.000599	0.000500	0.000553	0.000621	0.000773	0.000418	0.000606	0.000760	0.000744	0.000714	0.000603	0.000833	0.000676	0.000734	0.000555	0.000652	0.000657	0.000586	0.000781	0.000841	0.000592	0.000746	0.000614	0.000650	0.000912	0.000795	0.000460	0.000505	0.000533	0.000707	0.000547	0.000656	0.000687	0.000434	0.000784	0.000542	0.000578	0.000749	0.000652	0.000571	0.000397	0.000551	0.000546	0.000595	0.000817	0.000850	0.000594	0.000770	0.000736	0.000610	0.000713	0.000711	0.000785	0.000710	0.000639	0.000860	0.000419	0.000656	0.000792	0.000542
	0.001	0.000676	0.000551	0.000835	0.000527	0.000279	0.000790	0.000764	0.000677	0.000473	0.000817	0.000793	0.000799	0.000682	0.000688	0.000933	0.000546	0.000842	0.000641	0.000789	0.000765	0.000638	0.000876	0.000876	0.000736	0.000775	0.000817	0.000552	0.000734	0.000912	0.000341	0.000552	0.000645	0.000732	0.000766	0.000780	0.000869	0.000505	0.000645	0.000627	0.000634	0.000854	0.000661	0.000439	0.000646	0.000641	0.000624	0.000622	0.000744	0.000892	0.000750	0.000649	0.000688	0.000746	0.000609	0.000799	0.000783	0.000759	0.000660	0.000740	0.000340	0.000794	0.001082	0.000637
	0.001	0.000892	0.000691	0.000800	0.000670	0.000593	0.000733	0.000650	0.000821	0.000442	0.000733	0.000762	0.000795	0.000863	0.000708	0.000862	0.000659	0.000805	0.000592	0.000618	0.000564	0.000540	0.000650	0.000791	0.000799	0.000728	0.000720	0.000620	0.000998	0.000898	0.000492	0.000681	0.000694	0.000701	0.000749	0.000685	0.000822	0.000556	0.000802	0.000425	0.000676	0.000806	0.000673	0.000523	0.000743	0.000632	0.000646	0.000677	0.000852	0.000889	0.000888	0.000766	0.000673	0.000536	0.000651	0.000830	0.000678	0.000701	0.000677	0.000697	0.000404	0.000716	0.001029	0.000656
	0.01	0.009352	0.008163	0.008995	0.008588	0.007834	0.007921	0.007965	0.009626	0.006252	0.008729	0.009208	0.009717	0.009283	0.009303	0.009171	0.008182	0.009452	0.008472	0.008387	0.007992	0.009084	0.009708	0.010094	0.008594	0.008496	0.010112	0.008047	0.010100	0.009589	0.007949	0.006822	0.008249	0.009114	0.009451	0.009941	0.010308	0.008408	0.009161	0.007151	0.008047	0.010318	0.008246	0.008560	0.008353	0.009269	0.009219	0.008632	0.009280	0.010413	0.008814	0.009916	0.008944	0.008160	0.007838	0.009145	0.009386	0.009663	0.009470	0.008812	0.007313	0.009206	0.010709	0.009055
	0.01	0.008393	0.007048	0.008052	0.007384	0.005210	0.008036	0.007736	0.008543	0.006102	0.008038	0.008213	0.009342	0.008957	0.007339	0.009240	0.006829	0.008462	0.006772	0.007571	0.008270	0.008365	0.009908	0.008141	0.007878	0.007769	0.009550	0.007106	0.009285	0.009336	0.007282	0.006512	0.007980	0.007730	0.008971	0.009172	0.008644	0.006342	0.008502	0.007041	0.007574	0.009329	0.008226	0.006966	0.006191	0.008623	0.007841	0.007544	0.008289	0.009583	0.008037	0.008672	0.008401	0.007978	0.008244	0.008752	0.008144	0.009474	0.009497	0.008947	0.006101	0.007793	0.008338	0.007651
	0.01	0.009340	0.005826	0.008820	0.008134	0.007203	0.008818	0.007931	0.008205	0.007050	0.008597	0.007968	0.008889	0.009275	0.008244	0.009774	0.007150	0.009115	0.007682	0.008067	0.006045	0.008841	0.009339	0.008971	0.007988	0.008011	0.009920	0.006371	0.009665	0.009284	0.006076	0.006862	0.008284	0.008933	0.009208	0.008996	0.008550	0.006853	0.008627	0.007553	0.008176	0.009354	0.007812	0.007147	0.007998	0.007707	0.006709	0.007798	0.009048	0.009774	0.009239	0.009145	0.009237	0.008171	0.008020	0.008911	0.009042	0.009312	0.008482	0.008485	0.005445	0.008560	0.009942	0.007937
	0.1	0.085938	0.085054	0.081531	0.082029	0.078181	0.082303	0.078173	0.081837	0.075511	0.074530	0.087129	0.082187	0.082980	0.071177	0.093968	0.071228	0.072749	0.081986	0.071438	0.075263	0.084431	0.084566	0.084598	0.078516	0.085368	0.088273	0.080398	0.083948	0.089614	0.065627	0.075426	0.084292	0.085320	0.087846	0.082328	0.089956	0.074894	0.080744	0.076433	0.078030	0.082305	0.084394	0.071612	0.081161	0.084399	0.082771	0.079024	0.082210	0.091295	0.084612	0.087380	0.088048	0.083210	0.081875	0.085584	0.082550	0.088620	0.089308	0.083118	0.087798	0.084497	0.089942	0.078776
	0.1	0.090201	0.090724	0.083752	0.088257	0.077829	0.077091	0.076943	0.080281	0.077152	0.081019	0.088967	0.082082	0.079645	0.078378	0.092807	0.078911	0.086084	0.078967	0.067483	0.079319	0.085603	0.073613	0.089766	0.080469	0.088249	0.093333	0.077524	0.085918	0.095085	0.075373	0.077547	0.080048	0.085881	0.086669	0.090702	0.083741	0.072665	0.082941	0.080072	0.075161	0.082781	0.080878	0.075227	0.081303	0.087821	0.077370	0.082741	0.081663	0.089837	0.082161	0.087859	0.087285	0.072584	0.070959	0.085206	0.078236	0.090754	0.085173	0.083538	0.068481	0.084998	0.079619	0.082369
	0.1	0.090827	0.087741	0.091899	0.088119	0.090347	0.081636	0.082452	0.090755	0.079596	0.081232	0.093211	0.088781	0.081869	0.086530	0.091125	0.077665	0.100994	0.076767	0.062454	0.076014	0.094272	0.098080	0.095414	0.086458	0.091724	0.099197	0.085999	0.087412	0.102054	0.076656	0.082907	0.097485	0.086528	0.096273	0.088609	0.102637	0.083552	0.091431	0.085376	0.082979	0.084467	0.090117	0.071385	0.092179	0.087870	0.078492	0.086640	0.083371	0.099253	0.091609	0.095813	0.090417	0.090744	0.088314	0.091075	0.086397	0.087055	0.097664	0.087884	0.089177	0.092616	0.099418	0.077778
	1.0	0.917677	1.037802	0.921005	0.873562	1.015784	0.951515	0.976184	0.863138	0.951824	0.903671	0.940594	0.993846	1.054526	1.000872	0.961717	1.003000	0.902476	0.868844	0.939736	0.977967	0.980213	0.958748	0.963148	0.957031	0.955647	0.906024	0.945468	1.018791	0.909964	0.983501	0.920455	0.974972	0.992523	0.941474	0.909050	0.925298	0.976710	0.977835	0.977969	0.879273	0.954899	0.952195	0.991153	0.945621	0.922558	0.902500	0.997884	1.023007	0.972352	0.905920	0.944976	0.912156	0.900179	0.918824	0.941050	0.868636	0.947368	0.996663	1.039090	1.046650	0.942198	0.928004	0.970060
	1.0	1.048684	1.040661	1.057002	1.133942	1.056338	1.040606	1.036247	1.052693	1.038493	1.065452	1.023102	1.031299	0.885389	1.013949	0.918213	1.027919	1.069580	1.012580	1.200251	1.024537	1.159854	1.105263	1.041258	1.059896	1.079104	1.150201	1.048637	1.028979	1.162219	1.025747	1.049242	0.991478	1.031776	1.136033	1.053579	0.973635	1.050145	1.024738	1.029849	1.086541	1.045677	1.050103	1.040221	1.066191	1.071979	1.055529	1.064077	1.074260	1.103493	1.018936	1.113636	1.082520	1.081497	0.996501	1.075865	1.072678	1.046468	1.200348	1.057779	1.071921	1.083027	1.132345	1.036593
	1.0	1.033640	0.921537	1.021993	0.992496	0.927878	1.007879	0.987569	1.084169	1.009682	1.030876	1.036304	0.974855	1.060085	0.985179	1.120070	0.969082	1.027944	1.118576	0.860013	0.997496	0.859932	0.935989	0.995594	0.983073	0.965249	0.943775	1.005895	0.952230	0.927817	0.990751	1.030303	1.033550	0.975701	0.922493	1.037371	1.101067	0.973145	0.997427	0.992181	1.034186	0.999424	0.997702	0.968626	0.988187	1.005463	1.041971	0.938038	0.902733	0.924155	1.075145	0.941388	1.005324	1.018324	1.084675	0.983085	1.058686	1.006164	0.802989	0.903130	0.881429	0.974774	0.939651	0.993347
																																																																
scaled(min)	0.0001	0.000089	0.000054	0.000082	0.000061	0.000043	0.000058	0.000058	0.000071	0.000043	0.000051	0.000086	0.000081	0.000081	0.000058	0.000078	0.000059	0.000076	0.000062	0.000072	0.000067	0.000066	0.000073	0.000077	0.000091	0.000084	0.000090	0.000066	0.000104	0.000095	0.000055	0.000056	0.000052	0.000112	0.000078	0.000146	0.000061	0.000042	0.000054	0.000066	0.000077	0.000079	0.000059	0.000069	0.000041	0.000075	0.000106	0.000080	0.000068	0.000076	0.000082	0.000056	0.000063	0.000064	0.000072	0.000090	0.000098	0.000079	0.000070	0.000081	0.000044	0.000045	0.000091	0.000068
scaled(max)	1.0	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
