		AHCY	AKR1C1	ALUsq(Eurogentec)	ARHGEF7	BIRC5	CAMTA1	CAMTA2	CD44	CDCA5	CDH5	CDKN3	CLSTN1	CPSG3	DDC	DPYSL3	ECEL1	ELAVL4	EPB41L3	EPHA5	EPN2	FYN	GNB1	HIVEP2	HMBS	HPRT1	IGSF4	INPP1	MAP2K4	MAP7	MAPT	MCM2	MRPL3	MTSS1	MYCN(4)	NHLH2	NM23A	NRCAM	NTRK1	ODC1	PAICS	PDE4DIP	PIK3R1	PLAGL1	PLAT	PMP22	PRAME	PRDM2	PRKACB	PRKCZ	PTN	PTPRF	PTPRH	PTPRN2	QPCT	SCG2	SDHA(1)	SLC25A5	SLC6A8	SNAPC1	TNFRSF	TYMS	UBC(2)	ULK2	WSB1
	15000	1.456e-07	2.052e-07	1.234e-20	1.230e-07	1.701e-07	2.484e-07	1.852e-07	1.151e-07	1.099e-07	2.893e-07	2.091e-07	1.854e-07	1.577e-07	1.092e-07	1.042e-07	1.674e-07	1.665e-07	1.828e-07	1.521e-07	1.249e-07	1.400e-07	1.522e-07	1.423e-07	1.682e-07	9.367e-08	1.599e-07	1.094e-07	1.698e-07	7.820e-08	1.251e-07	1.426e-07	1.492e-07	1.464e-07	1.167e-07	5.677e-08	6.462e-08	1.732e-07	1.861e-07	2.255e-07	1.090e-07	1.406e-07	1.890e-07	2.336e-07	6.970e-08	1.997e-07	2.196e-07	8.624e-08	2.129e-07	1.402e-07	1.494e-07	1.391e-07	2.203e-07	1.721e-07	1.292e-07	1.090e-07	1.708e-07	9.235e-08	1.845e-07	1.431e-07	1.654e-07	1.341e-07	3.764e-07	1.153e-07	1.682e-07
	15000	1.389e-07	2.119e-07	2.995e-20	1.334e-07	1.658e-07	2.835e-07	1.914e-07	1.346e-07	1.307e-07	3.088e-07	2.312e-07	2.108e-07	1.676e-07	1.145e-07	1.152e-07	1.814e-07	1.720e-07	2.118e-07	1.572e-07	1.785e-07	1.457e-07	1.670e-07	1.521e-07	1.835e-07	1.067e-07	1.747e-07	1.155e-07	1.826e-07	8.210e-08	1.388e-07	1.519e-07	1.645e-07	1.799e-07	1.242e-07	5.950e-08	6.694e-08	2.274e-07	2.236e-07	2.637e-07	1.235e-07	1.585e-07	2.023e-07	2.802e-07	7.204e-08	2.313e-07	2.302e-07	9.099e-08	2.353e-07	1.470e-07	1.620e-07	1.571e-07	2.595e-07	1.949e-07	1.524e-07	1.281e-07	1.867e-07	1.120e-07	1.870e-07	1.633e-07	1.893e-07	1.672e-07	4.040e-07	1.408e-07	1.716e-07
	150000	1.224e-06	1.997e-06	1.152e-17	1.248e-06	1.371e-06	2.462e-06	2.062e-06	1.266e-06	1.003e-06	2.483e-06	2.162e-06	1.792e-06	1.823e-06	1.284e-06	1.246e-06	1.582e-06	1.836e-06	1.595e-06	1.340e-06	1.541e-06	1.507e-06	1.447e-06	1.460e-06	1.626e-06	1.048e-06	1.653e-06	9.758e-07	1.794e-06	9.354e-07	1.137e-06	1.460e-06	1.464e-06	1.555e-06	1.306e-06	5.087e-07	6.837e-07	1.710e-06	1.952e-06	2.369e-06	1.198e-06	1.498e-06	2.170e-06	2.241e-06	8.132e-07	1.932e-06	2.160e-06	9.365e-07	2.161e-06	1.580e-06	1.481e-06	1.467e-06	2.458e-06	1.666e-06	1.248e-06	1.203e-06	1.683e-06	1.123e-06	1.861e-06	1.642e-06	1.889e-06	1.559e-06	3.468e-06	1.253e-06	1.855e-06
	150000	1.430e-06	1.848e-06	6.765e-18	1.448e-06	1.621e-06	2.541e-06	2.188e-06	1.387e-06	1.193e-06	2.924e-06	2.260e-06	1.930e-06	1.739e-06	1.241e-06	1.271e-06	1.582e-06	1.885e-06	1.885e-06	1.677e-06	1.648e-06	1.632e-06	1.777e-06	1.681e-06	1.648e-06	1.161e-06	1.867e-06	1.239e-06	2.006e-06	9.485e-07	1.498e-06	1.527e-06	1.614e-06	1.403e-06	1.334e-06	6.304e-07	8.445e-07	1.791e-06	2.133e-06	2.562e-06	1.271e-06	1.841e-06	2.214e-06	2.392e-06	8.349e-07	2.113e-06	2.552e-06	1.042e-06	2.470e-06	1.602e-06	1.684e-06	1.635e-06	2.523e-06	1.849e-06	1.614e-06	1.385e-06	2.023e-06	1.253e-06	1.964e-06	1.731e-06	1.967e-06	1.559e-06	3.970e-06	1.519e-06	1.944e-06
	150000	1.450e-06	1.677e-06	5.236e-18	1.344e-06	1.472e-06	2.269e-06	2.035e-06	1.233e-06	1.169e-06	2.867e-06	2.135e-06	1.841e-06	1.647e-06	1.346e-06	1.238e-06	1.703e-06	1.789e-06	1.847e-06	1.666e-06	1.402e-06	1.548e-06	1.171e-06	1.366e-06	1.604e-06	1.077e-06	1.653e-06	8.869e-07	1.866e-06	8.487e-07	1.185e-06	1.442e-06	1.532e-06	1.586e-06	1.297e-06	4.853e-07	7.871e-07	2.045e-06	2.002e-06	2.480e-06	1.254e-06	1.666e-06	1.896e-06	2.271e-06	7.415e-07	2.059e-06	2.233e-06	1.022e-06	2.694e-06	1.400e-06	1.320e-06	1.570e-06	2.115e-06	1.721e-06	1.511e-06	1.414e-06	1.671e-06	1.186e-06	1.861e-06	1.070e-06	1.584e-06	1.235e-06	3.468e-06	1.227e-06	1.855e-06
																																																																	
																																																																	
	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)	mean(max)
	150000	1.368e-06	1.841e-06	7.840e-18	1.347e-06	1.488e-06	2.424e-06	2.095e-06	1.295e-06	1.122e-06	2.758e-06	2.186e-06	1.854e-06	1.736e-06	1.290e-06	1.252e-06	1.622e-06	1.837e-06	1.776e-06	1.561e-06	1.530e-06	1.562e-06	1.465e-06	1.502e-06	1.626e-06	1.095e-06	1.724e-06	1.034e-06	1.889e-06	9.109e-07	1.273e-06	1.476e-06	1.537e-06	1.515e-06	1.312e-06	5.415e-07	7.718e-07	1.849e-06	2.029e-06	2.470e-06	1.241e-06	1.668e-06	2.093e-06	2.301e-06	7.965e-07	2.035e-06	2.315e-06	1.000e-06	2.442e-06	1.527e-06	1.495e-06	1.557e-06	2.365e-06	1.745e-06	1.458e-06	1.334e-06	1.792e-06	1.187e-06	1.895e-06	1.481e-06	1.813e-06	1.451e-06	3.635e-06	1.333e-06	1.885e-06
																																																																	
																																																																	
	0.0001	0.000065	0.000095	0.000013	0.000138	0.000047	0.000077	0.000085	0.000101	0.000074	0.000102	0.000080	0.000138	0.000080	0.000108	0.000084	0.000093	0.000100	0.000071	0.000087	0.000106	0.000105	0.000085	0.000112	0.000130	0.000066	0.000101	0.000111	0.000064	0.000121	0.000136	0.000126	0.000118	0.000117	0.000101	0.000111	0.000249	0.000077	0.000120	0.000073	0.000102	0.000145	0.000159	0.000161	0.000120	0.000087	0.000131	0.000183	0.000120	0.000108	0.000152	0.000080	0.000077	0.000087	0.000086	0.000113	0.000144	0.000078	0.000103	0.000158	0.000152	0.000104	0.000094	0.000116	0.000108
	0.0001	0.000152	0.000114	0.000021	0.000068	0.000233	0.000137	0.000093	0.000053	0.000108	0.000068	0.000099	0.000146	0.000113	0.000101	0.000118	0.000105	0.000099	0.000095	0.000151	0.000093	0.000129	0.000138	0.000130	0.000077	0.000152	0.000114	0.000107	0.000118	0.000110	0.000067	0.000192	0.000083	0.000111	0.000130	0.000114	0.000098	0.000089	0.000073	0.000118	0.000078	0.000130	0.000088	0.000078	0.000113	0.000131	0.000114	0.000180	0.000081	0.000082	0.000075	0.000121	0.000119	0.000095	0.000109	0.000101	0.000061	0.000123	0.000123	0.000073	0.000082	0.000094	0.000098	0.000066	0.000108
	0.0001	0.000118	0.000105	0.000038	0.000111	0.000092	0.000123	0.000104	0.000166	0.000132	0.000119	0.000144	0.000054	0.000110	0.000094	0.000106	0.000097	0.000096	0.000163	0.000079	0.000102	0.000074	0.000100	0.000066	0.000105	0.000106	0.000092	0.000115	0.000142	0.000076	0.000132	0.000056	0.000116	0.000083	0.000104	0.000099	0.000060	0.000117	0.000121	0.000094	0.000160	0.000058	0.000074	0.000081	0.000098	0.000082	0.000078	0.000038	0.000131	0.000098	0.000078	0.000117	0.000094	0.000123	0.000112	0.000099	0.000122	0.000117	0.000085	0.000092	0.000083	0.000138	0.000088	0.000122	0.000096
	0.001	0.000754	0.000950	0.286212	0.000974	0.000948	0.000635	0.001074	0.001173	0.000925	0.001396	0.001001	0.001001	0.001000	0.000818	0.000930	0.001202	0.000872	0.001130	0.000909	0.001038	0.001007	0.000987	0.001199	0.001035	0.000817	0.000917	0.000932	0.000878	0.000714	0.000996	0.000673	0.000946	0.001052	0.000744	0.001068	0.000692	0.001395	0.000995	0.000973	0.000903	0.000854	0.000981	0.001102	0.000639	0.001207	0.000906	0.000803	0.000807	0.000985	0.001205	0.000925	0.001059	0.001039	0.001091	0.000793	0.000942	0.000840	0.001003	0.000989	0.000947	0.000796	0.001343	0.001108	0.000826
	0.001	0.000912	0.001110	0.000079	0.000955	0.001165	0.001168	0.000960	0.000910	0.001057	0.001225	0.000917	0.000948	0.000935	0.000893	0.000870	0.001116	0.000944	0.001015	0.000928	0.000826	0.000799	0.000894	0.000819	0.001001	0.001037	0.000857	0.000842	0.000866	0.000963	0.000855	0.000926	0.001056	0.001087	0.000680	0.000959	0.000623	0.001246	0.001040	0.001183	0.000659	0.000882	0.000898	0.001060	0.000729	0.001270	0.000841	0.000876	0.000835	0.001089	0.001104	0.001031	0.001108	0.000936	0.000855	0.000793	0.000930	0.000670	0.000913	0.000932	0.000867	0.000897	0.001188	0.001056	0.000837
	0.001	0.001024	0.001027	0.000053	0.000801	0.001100	0.001011	0.001026	0.000953	0.001044	0.001075	0.000829	0.000942	0.000862	0.000835	0.000746	0.000995	0.000995	0.000956	0.000984	0.000945	0.000900	0.000924	0.000942	0.001049	0.000747	0.000981	0.000744	0.000913	0.000943	0.000815	0.000886	0.000798	0.000937	0.000689	0.000729	0.000619	0.001083	0.000865	0.001176	0.000787	0.000773	0.000857	0.001007	0.000820	0.000849	0.000853	0.000657	0.000740	0.001032	0.001045	0.000706	0.001167	0.001081	0.000844	0.000877	0.000930	0.000818	0.000894	0.000907	0.001035	0.000886	0.001129	0.000859	0.000816
	0.01	0.009788	0.010529	0.000446	0.010158	0.011398	0.012100	0.010277	0.010692	0.011483	0.012792	0.009425	0.010279	0.010804	0.009494	0.010338	0.010066	0.010546	0.010971	0.010916	0.010259	0.009563	0.012396	0.010550	0.011519	0.009714	0.009099	0.011307	0.010235	0.009814	0.009424	0.012165	0.009768	0.011323	0.008999	0.010869	0.008735	0.012052	0.012001	0.010982	0.008759	0.009782	0.011412	0.010928	0.010155	0.011599	0.010812	0.009971	0.009817	0.011550	0.012435	0.009240	0.012121	0.011167	0.010606	0.008876	0.010645	0.009281	0.011117	0.011188	0.010533	0.011316	0.012945	0.011950	0.010548
	0.01	0.010124	0.009616	0.000096	0.009757	0.010551	0.008779	0.010277	0.010484	0.010529	0.011080	0.010162	0.009480	0.011104	0.009494	0.008013	0.010553	0.009942	0.010824	0.008725	0.009651	0.009953	0.011522	0.010910	0.009483	0.008827	0.008914	0.010485	0.008975	0.009882	0.009558	0.011054	0.009456	0.011395	0.007560	0.010653	0.008674	0.010911	0.010049	0.010359	0.009355	0.009153	0.010524	0.011215	0.008670	0.010208	0.010315	0.009018	0.008416	0.009572	0.013304	0.008694	0.012442	0.010875	0.010606	0.010217	0.009875	0.008717	0.011191	0.011796	0.010533	0.010296	0.010879	0.009392	0.009551
	0.01	0.009145	0.008290	0.004217	0.010158	0.011176	0.011291	0.011122	0.010831	0.009522	0.012545	0.011667	0.011762	0.010954	0.009687	0.009284	0.010842	0.009430	0.010537	0.009827	0.010325	0.008955	0.011222	0.010204	0.010701	0.009321	0.008444	0.011694	0.009271	0.009612	0.009424	0.009984	0.009709	0.011772	0.008687	0.010723	0.007971	0.010213	0.010508	0.011274	0.010185	0.009848	0.010452	0.012688	0.008670	0.011599	0.009909	0.007994	0.008760	0.010515	0.010863	0.009760	0.011504	0.011843	0.010681	0.009490	0.010288	0.009281	0.010531	0.010135	0.009204	0.009021	0.011308	0.010705	0.009487
	0.1	0.091082	0.109308	0.027971	0.092525	0.099194	0.105776	0.089594	0.090015	0.101991	0.106273	0.096264	0.094751	0.090824	0.085792	0.087244	0.103185	0.087713	0.107171	0.093658	0.086778	0.087881	0.104573	0.091591	0.102030	0.086695	0.092731	0.097495	0.092340	0.085852	0.096911	0.102280	0.098395	0.109265	0.077343	0.105547	0.081981	0.106293	0.099606	0.091283	0.088396	0.088292	0.092771	0.099551	0.086362	0.103948	0.095508	0.090975	0.098334	0.093693	0.104749	0.098181	0.102100	0.099236	0.097210	0.089730	0.097248	0.081056	0.099349	0.099865	0.098217	0.111647	0.104200	0.099250	0.087496
	0.1	0.106433	0.111481	0.001574	0.091337	0.114315	0.102475	0.088401	0.088857	0.097979	0.104895	0.095669	0.099982	0.090824	0.084629	0.083249	0.103185	0.090653	0.102947	0.097438	0.081616	0.089610	0.103891	0.094719	0.103444	0.085517	0.092731	0.105813	0.089905	0.085852	0.098246	0.096591	0.097093	0.096655	0.088926	0.104845	0.083730	0.093689	0.091720	0.091283	0.087832	0.084276	0.090287	0.101506	0.087504	0.098149	0.094860	0.086226	0.087195	0.091794	0.099933	0.089319	0.093137	0.098606	0.088635	0.081709	0.095295	0.077779	0.097344	0.096624	0.091213	0.092419	0.103539	0.086497	0.089247
	0.1	0.101535	0.115121	0.003820	0.099059	0.111425	0.116955	0.091360	0.103911	0.116523	0.111965	0.105780	0.113680	0.096525	0.088737	0.092037	0.111814	0.093648	0.119279	0.100705	0.116641	0.093258	0.113993	0.101243	0.112854	0.097413	0.101315	0.111713	0.096682	0.090134	0.109005	0.102890	0.107050	0.118772	0.094641	0.109887	0.086736	0.123008	0.110202	0.106747	0.099517	0.095005	0.096640	0.121756	0.090442	0.113680	0.099438	0.090975	0.096369	0.096246	0.108361	0.100878	0.109710	0.111669	0.104551	0.096027	0.104166	0.094329	0.098663	0.110263	0.104393	0.115231	0.111131	0.105626	0.091051
	1.0	0.894737	1.084933	1.469325	0.926733	0.921371	1.015677	0.984248	0.977355	0.894205	0.900290	0.989172	0.966385	1.049914	0.995092	0.995473	0.975139	0.999637	0.898254	0.858424	1.006970	0.964583	0.987713	0.971822	1.000000	0.956786	0.958631	0.943805	0.949876	1.026934	0.892932	0.988937	0.952711	1.026629	0.995174	0.939485	0.885890	0.924991	0.962050	0.958980	0.965351	0.897902	1.036624	0.973783	1.020924	0.949541	0.933045	0.936344	0.885051	1.034483	0.990635	0.941995	1.039177	0.954545	0.856163	0.901799	0.938999	0.945817	0.981885	1.108710	1.041728	1.074431	0.953970	0.939985	0.984259
	1.0	1.045322	1.003984	0.862846	1.075248	1.089382	1.048267	1.044391	1.070767	1.063596	1.060189	1.034009	1.040805	1.001536	0.961767	1.015446	0.975139	1.026316	1.061573	1.074311	1.076890	1.044591	1.212969	1.118926	1.013530	1.059951	1.082737	1.198375	1.062125	1.041316	1.176440	1.034319	1.050325	0.926276	1.016510	1.164245	1.094243	0.968806	1.051257	1.037107	1.024174	1.103497	1.057643	1.039397	1.048167	1.038499	1.102376	1.041826	1.011604	1.048887	1.126421	1.049872	1.066657	1.059396	1.107249	1.038231	1.128696	1.055306	1.036229	1.168805	1.084743	1.074431	1.092059	1.139535	1.031482
	1.0	1.059942	0.911083	0.667829	0.998020	0.989247	0.936056	0.971360	0.951879	1.042199	1.039521	0.976819	0.992810	0.948551	1.043141	0.989081	1.049723	0.974047	1.040173	1.067265	0.916140	0.990826	0.799317	0.909252	0.986470	0.983262	0.958631	0.857820	0.987999	0.931750	0.930628	0.976744	0.996963	1.047095	0.988316	0.896269	1.019868	1.106203	0.986693	1.003913	1.010475	0.998601	0.905732	0.986819	0.930909	1.011959	0.964579	1.021830	1.103345	0.916630	0.882943	1.008134	0.894166	0.986058	1.036588	1.059970	0.932304	0.998877	0.981885	0.722485	0.873529	0.851137	0.953970	0.920480	0.984259
																																																																	
scaled(min)	0.0001	0.000112	0.000104	0.000024	0.000106	0.000124	0.000112	0.000094	0.000107	0.000105	0.000096	0.000107	0.000113	0.000101	0.000101	0.000103	0.000098	0.000098	0.000109	0.000106	0.000100	0.000103	0.000108	0.000103	0.000104	0.000108	0.000102	0.000111	0.000108	0.000102	0.000111	0.000125	0.000106	0.000104	0.000112	0.000108	0.000136	0.000094	0.000105	0.000095	0.000114	0.000111	0.000107	0.000107	0.000110	0.000100	0.000108	0.000134	0.000111	0.000096	0.000102	0.000106	0.000097	0.000102	0.000102	0.000104	0.000109	0.000106	0.000104	0.000108	0.000106	0.000112	0.000093	0.000101	0.000104
scaled(max)	1.0	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
